http://movie.douban.com/subject/1417946/	成长的烦恼 第一季 Growing Pains
(5星)	 这是我最喜欢的电视剧，没有之一            
(5星)	 是美剧启蒙必看的影片才是 其实记忆中关于本片的一切早已远去 只有一些属于八十年代的褪色了和粗糙的镜头感在眼前晃悠.看着剧情简介似乎是有恍若隔世的感觉 这样的剧 在现在这样编剧动不动就砍杀或者玩弄各种噱头的时代再也不会有第二部了吧 什么时候和亲爱的一起重看吧 可以么=v=            
(5星)	 156集，家教必备。            
(5星)	 没看过它的童年是有遗憾的童年。咔咔。            
(5星)	 唯一一部认认真真看的美剧            
(5星)	 看着他长大的...才发现同样是成长却差别如此大...            
(5星)	 再看一遍，两遍，几十遍，几百遍，几千遍也不会腻！！            
(5星)	 现在看还能笑得人仰马翻的.            
(NA)	 80年代孩子的回憶！！            
(5星)	 小学的时候看过，在外面和小朋友跳皮筋，八点钟这电视要开始，趁天黑前赶紧回家看电视，一开门，看我娘敷满黄瓜片的脸，吓得我当时那颗小小的心脏差点就停跳了……现在想想，那时也是我成长的烦恼。            
(5星)	 怀念……记得多年以后我再一次重温主题曲的时候差点哭了……            
(5星)	 百看不腻。            
(4星)	 从小就喜欢。            
(5星)	 重温~              
(5星)	 打算再看一遍。            
(5星)	 最爱Mike            
(NA)	 巴拿马香蕉  小时候对住电视机笑到打滚            
(5星)	 成长的痛，很长。当然，片中除了痛，还有酸甜苦辣。            
(NA)	 US TV            
(5星)	 哈哈哈哈，现在再看会觉得好幼稚            
(5星)	 最好的回忆            
(4星)	 谁没看过？            
(5星)	 2010年再重温童年的回忆，还是那么经典。包括中文配音。我相信，用心，还是什么都做的好的。            
(5星)	 没什么可多说的，绝对是经典中的经典，杰森老爸是我们这代人对父亲的梦想            
(5星)	 他们的烦恼伴我们成长~            
(5星)	 可惜没看全……            
(NA)	 再看一遍…            
(5星)	 ：）            
(5星)	 鼻祖啊鼻祖。。。。。我的美剧鼻祖，中国的情景剧鼻祖。            
(5星)	 超爱……            
(5星)	 原来我们很早开始就看美剧了~            
(4星)	 小时候唯一的乐趣 就是他了            
(5星)	 好有爱。            
(NA)	 好吧 我承认 我小时候觉得 Jeremy Miller 特帅            
