http://movie.douban.com/subject/1423043/	京华烟云
(4星)	赵薇的姚木兰演的还真的不错
(4星)	赵薇演出了姚木兰的味道。
(4星)	唯一一部赵薇演的不错的电视剧
(4星)	我觉得这是赵薇演得最好的片子诶。。邱琦雯好美~
(5星)	相当不错的木兰
(4星)	百看不厌啊= =
(4星)	赞啊。
(3星)	诶。。。我看完就被赵薇的烤瓷牙给魇住了。。。足有俩小时之久。
(4星)	曾经看到每天凌晨5点,虽然是第二遍,仍是泪流不止.
(NA)	不知道为什么对潘粤明很有好感 = =
(5星)	可能是先入为主吧,我喜欢这版.看完&lt;京华烟云&gt;,我才真正觉得赵薇不仅仅是那个小燕子了.长辈们的表演都特别精彩.胡可也不错~黄维德也不错.
(3星)	赵薇挺不错的
(5星)	做女人为作木兰也。
(3星)	赵薇转型之作
(5星)	喜欢木兰..喜欢孔令夫..
(3星)	一般般。不如赵雅芝演的老版本好。
(4星)	不过说实话，我不喜欢圣母型
(3星)	可能电视为了戏剧性的需要，将书中的人和关系改的有些极端。譬如木兰，不是这种完全圣母的形象；而荪亚其实根本不是剧中对木兰那样坏；还有红玉，虽然她在书中也自怜得很，可完全不让我感到讨厌，剧中难看又矫情；等等。可能这样改动更容易吸引观众，但里面没有一个人是正常的，太悲剧了。
(4星)	好忧伤。
(4星)	我喜欢看那些书改编的电视剧
(4星)	不错
(NA)	去你的趙薇
(NA)	补遗 
(5星)	里边的服装很好看
(3星)	我总觉得这个版本假==
(3星)	都说赵薇演得很大气，我没怎么看~对于它的改编很不满，珊珊的理想情人是潘粤明，可惜已嫁作他人夫……
(NA)	 京华烟云 
(2星)	赵薇，不太好。
(3星)	其实还好啦
(3星)	赵薇还是没有姚木兰的气质
(3星)	林语堂笔下的木兰大概是世间最好的女子了。谁能扮演呢？
(5星)	潘粵明~ 
(NA)	记得当时看的时候，总是一看到曾荪亚就气不打一出来。什么狗屁男人哪。
(2星)	赵薇很好，可我真不知道编剧在干嘛？不忠于原著也就算了，别这么折腾作者辛辛苦苦塑造的角色行不？都什么破剧情啊
(NA)	我只是马克一下
(4星)	不错~赵薇在这里很好看
(1星)	矮油! 趙薇那雙眼怎麼嫩大!! 把半張臉都給蓋了吧!!! 眞不待见潘粵明! 長頭髮眞像臭流氓 讲话声音更像! 我还沒看過林语堂原著 但昰單單看縝密的人物關係 就可見林語堂的功力之深厚。但這部劇终究隻拍出了林語堂的外貌 沒有拍出林語堂的精髓 俨然昰一部如厮寻常的抗日热血民国偶像剧。
(NA)	赵薇的一首发现唱的如此单薄
(4星)	我想说赵薇演的还不错 然后姚木兰 简直是女人的典范了~  其实感想就俩字 憋屈=。=
(NA)	林语堂2 电视剧真没什么，原小说值得看一下
(NA)	呀 贼好看 孔立夫帅呀
(4星)	几年前便很喜欢这电视剧，今天看到CCTV11在放便又看了一遍。喜欢姚木兰这个味，赵薇也演出了这个味。不过电视剧好看，主要并不在于演员，说到底还是剧本好，剧本好说到底还是林语堂先生的小说原著写得好。
(4星)	谈不上哪里特好，也谈不上哪里特差，单就一个名著改编来说，还算可以接受···虽然删掉了太多本应做铺垫的东西，奈何电视剧毕竟是大众消费，不可与小说同层而语···待过些日子，读罢小说再来详谈改编论吧
(5星)	木兰出嫁时，父亲拉二胡的那段，心情很复杂。最近今年难得拍得这么好的片子。
(4星)	我还没看过原著，给的四星。
(3星)	杯具看多了人生都是苦的。
(4星)	越来越爱看赵薇
(4星)	少妇型赵薇，感觉挺好的。
(4星)	姚木兰是太太，所以可以把小三养在家里，所以可以忍受丈夫的无能，但每逢听到小三那句这一切都是因为爱啊，都是一地惊悚~~~世事难料，林夕说爱恋大不过天。
(NA)	要再来一次。
(5星)	赵薇的成功转型。
(5星)	回忆。大学。食堂。逃课。
(5星)	原著啊啊!
(4星)	之前只看了人物造型，觉得赵薇挺有姚木兰气质。后来看了一点，发现剧情改动很多，不喜欢。不过还是喜欢潘粤明演荪亚。
(NA)	姚木兰是完美的化身
(4星)	我就是中意贤妻调教富家子的那种
(4星)	改得多了点儿...
(NA)	潘粤明
(5星)	赵薇很努力 只能说旗袍不是有身材就能穿出味道的 陈数就是为旗袍而生的女人嘛
(3星)	虽然好少加电视剧，但呢部真系当初晚晚追来看。不得不承认比原著好看。
(4星)	大时代 家族兴衰
(4星)	其实想给三星。荪亚改的太多了！
(3星)	爷爷在看于是也看了点。8卦一句，我觉得冷清秋和曽荪亚最后结婚是一件奇妙的事情！
(3星)	赵薇演的还不错啦。就是改编得差了点
(5星)	赵薇演得真好
(NA)	是看完了 却不记得了。
(4星)	先前的担心消失了。水准之作。
(4星)	林语堂啊，偶像啊，还是书好看点
(4星)	有人说演的很差。我觉得还蛮好。
(NA)	和小说差别太大。更喜欢小说
(4星)	赵薇的演技其实不错的 把姚木兰刻画地丝丝入扣
(5星)	演得挺好
(4星)	没有看过港版，所以认为这部拍的还算成功。无论赵薇，还是潘粤明，表演还是到位的
(2星)	太对不起原著了
(3星)	不错。
(NA)	演员雷
(3星)	狭隘的爱国主义
(4星)	我爱看时代剧。
(4星)	爱情
(3星)	冲着林语堂看的。后来没特别的感觉。好像。
(5星)	我爱邱琦雯同学~
(4星)	很喜欢精明能干的木兰,很喜欢林语堂先生的作品
(4星)	没有书好，是肯定的！
(1星)	这版的是垃圾~~跟赵雅芝版的没得比~
(4星)	京华烟云 电视剧 林语堂 
(5星)	几个家族 由兴而衰 姚木兰的优秀
(3星)	觉得没有别人评价中的那么糟糕，不过似乎没有原著更能给我触动。回去该再看一遍原著了。
(2星)	除了结尾部分，整一个琼瑶剧
(4星)	姚木兰啊姚木兰。
(3星)	改编的太过了
(3星)	木兰狗血了
(4星)	大爱 
(4星)	喜欢赵薇在这部剧里成熟知性的角色。
(3星)	这剧不错啊~~赵薇驾驭姚木兰这种大家闺秀御姐范还是稍欠火候啊·~~总显僵硬~算是她转型之作吧
(5星)	很好看的
