http://movie.douban.com/subject/1506836/	糊涂侦探 第一季 Get Smart
(5星)	 感谢瑞信DVD，让我重温了这套小时候挚爱的美剧。那个集合詹姆斯.邦德和克鲁索探长于一身的86号特工麦克斯韦.史马特是如此的鲜活。感觉唐.亚当斯的表演并不亚于彼得.塞勒斯这样的笑匠。前两季是不折不扣的经典，第三季中上游水平，后两季着实有些看不下去了。            
(5星)	 天啊找着童年了            
(5星)	 现在的美剧不敢涉及的题材 无厘头史诗            
(NA)	 i love it most of all            
(5星)	 我看过全部你信不信?那,我看过一半?            
(5星)	 童年的回忆啊，恶搞的经典，很多冷笑话貌似就是出自这里哦。比如想让一只狗吹灭蜡烛，就对着它唱生日快乐歌。            
(NA)	 恶搞的祖宗级电视剧……            
(5星)	 超越了时代的电视剧集，什么时候看都会让你乐不可支            
(5星)	 这部片未免也太好看吧。。以前小学时候为了等看这部剧晚上10点都赖着不睡觉，挨过不少骂，我妈最爱学99号说：哦，不，施马特，你又来了。。            
(4星)	 麦克斯维精明和他胸大无脑的99...            
(4星)	 1.10            
(5星)	 还想再看            
(4星)	 亲爱的86            
(3星)	 嘻嘻            
(5星)	 记号            
(5星)	 不是一般的搞啊，超喜欢            
(5星)	 童年对于美国连续剧的记忆，除了它再就是《成长的烦恼》。            
(5星)	 不解释！            
(5星)	 我幽默感大多数来自他的启蒙            
(5星)	 印象最深刻的就是皮鞋电话和机密谈话隔离罩子了。。            
(5星)	 顶级，力荐！！！！！！！            
(5星)	 超级搞笑的            
(4星)	 哈哈，这个真冷感            
(NA)	 哈哈太可爱了太伟大了～～我们的童年是夺么美好阿～            
(5星)	 终于找到了 小学三年级的最爱 我跟我爸总会熬到晚上看完 我记得白天还有重播 我们边看边吃早饭 然后我爸就会送我去上学 嗯 还会接我放学 路上会考我英语单词 小朋友们 长大之后你就会意识到有家长管着是多幸福的一件事            
(5星)	 我和爸爸的专属回忆。或许我想对你说，爸爸，我爱你。            
(5星)	 头，这是秘密谈话对吧，那我们应该把隔音罩降下来。            
(5星)	 GREAT!            
(4星)	 喜剧剧集            
(4星)	 很小了            
(5星)	 小时和我表弟一起看竟然笑到尿裤子。。。            
(5星)	 经典中的经典！！！            
(4星)	 话说我看过这个片5次？你信么？那么4次？那么就1次呢            
(5星)	 里面的桥段简直冷到家了！            
(5星)	 我的神啊~86！            
(5星)	 小时候 中央二套吧？            
(NA)	 终于找到了小时候看的电视剧！            
(5星)	 在在上次和betty说起它之间已经不记得有多久没提起没看过这部电视剧了，剧情都忘的差不多了，不过一想起起皮鞋电话，馄饨组织还是让自己捧腹半天，小时候还经常拿这个和别人开玩笑，呵~            
(5星)	 还是个黑白片，当时吉林台还经常放外国片            
(5星)	 我的小童年.            
(5星)	 话说有段时间一直想找86号进门时的音乐做手机铃声来着~~            
(5星)	 搞笑经典，绝赞            
(4星)	 拿着皮鞋打电话，O(∩_∩)O哈哈~            
(5星)	 想当年。。。。。。。。。            
(5星)	 小时候我还记得熬夜看。            
(5星)	 我还想看。。。            
(5星)	 好看好看好看            
(5星)	 童年,演最后一集时总是返校日!!            
(5星)	 童年的重要美好回忆，哈哈哈哈            
(5星)	 80后的没有看过就没有童年了            
(5星)	 总是让人想起《神探加杰特》印象最深的是他的鞋子电话和烟枪            
(5星)	 共五季138集，后续有80电影版，89电视版，95电视剧版以及08电影版。最好看的是S2和S4。            
(5星)	 天津电视台播的时候好像是中午11点半到12点10分左右，我总是记住这个时段的片子^^            
(5星)	 .            
(NA)	 如果给我那么多工具.我也是个好间谍            
(4星)	 小时候好喜欢看！！！            
(5星)	 o,99号            
(4星)	 season 1:5            
(5星)	 仔细一琢磨`我确实是老了啊~~~~~~~~~~~~            
(5星)	 怀旧啊            
(5星)	 太好看了！！            
(4星)	 86,99 呵呵            
(NA)	 麦克斯韦.精明..            
(5星)	 好老啊，老的我都差点忘记它了            
(5星)	 怀念的经典啊！！            
