http://movie.douban.com/subject/1718150/	天龙八部
(4星)	 坦白说我真的很喜欢这一版，大气，拿得出手的大气才是原著的精神。最美的阿朱和最霸气的乔峰，刘涛和胡军完美的还原了原著！            
(5星)	 其实是华语武侠剧颠峰巨制了，张纪中失常拍出跨时代经典            
(4星)	 张纪中目前金庸剧里唯一能看的一部            
(4星)	 演员大部分尽得我心啊            
(5星)	 这版就是迄今为止我心目中最好的            
(1星)	 一流风景，二流演员，三流剧本~            
(4星)	 这版的阿朱和萧峰演的真是好            
(4星)	 很多人喜欢港版的天龙八部，我却觉得还是这部好。木婉清赞。            
(4星)	 国产的金庸片也就这个还行            
(NA)	 这个版本真好看            
(2星)	 还是tvb版的好            
(4星)	 央视重拍版 还算不错的。            
(4星)	 4星给刘涛的阿朱和驻颜有术的林志颖……            
(4星)	 大概算大胡子拍的最好的金庸剧了。。            
(NA)	 其实就是胡军最出彩 演GAY的里面有这么出彩的 真好            
(4星)	 塞上牛羊空许约。            
(3星)	 看刘亦菲就是有内么点不顺眼            
(5星)	 唯一不错的武侠剧演员和原著人物很像，胡军，刘涛，舒畅……            
(3星)	 我也看过 哈哈            
(4星)	 其实我觉得还不错，演技差了点            
(4星)	 除了主题曲，演员都让我很没有爱。            
(3星)	 也就胡军一人演好了            
(4星)	 刘涛留下了最经典阿朱形象。            
(4星)	 阿朱死的时候,拍得太好了.            
(2星)	 狗血            
(2星)	 真的很不好看！胡军的扮相就是一个叫花子，没有大侠特色！            
(3星)	 王菲的片尾曲经典至极。            
(5星)	 少室山上血战群雄的那一场最是好看            
(2星)	 大家自备小风扇啊            
(4星)	 哈哈，我还是喜欢虚竹~            
(5星)	 阿朱死掉的那段每看每哭，胡军的萧峰撑起了这部剧            
(3星)	 虽然投资大了许多，很多地方都是实景，但还是没有前个版本那种惊心动魄的感觉啊             
(5星)	 金庸：《天龙八部》            
(3星)	 还可以            
(4星)	 我觉得这版拍得很好啊，很有气概，演员也选得好，偏见太严重了。            
(2星)	 太可怕了            
(1星)	 笑了、            
(3星)	 好本子都被央视毁了。            
(2星)	 难看            
(4星)	 过。            
(4星)	 场景瑰丽            
(4星)	 我喜欢这部，气场强大。王菲唱的很好听            
(NA)	 补遗             
(2星)	 不幸地看过一点点 = = 很宏大 适合翻飞            
(4星)	 胡军&amp;刘涛！阿朱死那段哭了好久哦            
(5星)	 不错把            
(3星)	 特效较之以前进步了            
(5星)	 还是不错的            
(3星)	 配音和化妆……            
(4星)	 张纪中拍过的唯一个还能看得            
(4星)	 张纪中的剧中最好的一部，翻拍金庸剧中唯一看得上的一部。            
(1星)	 原著被糟蹋的一塌糊涂！            
(4星)	 算是大陆拍的不错的了            
(4星)	 恩当初看被刘亦菲惊艳了 。。。 （鄙视我吧...            
(5星)	 哈哈 。。。。。。林志颖。。。。。。。。。。。。            
(3星)	 张纪中版里算不错的。            
(4星)	 这版不错            
(4星)	 这版拍的其实挺好。特效真不错。小透明的无形剑气深得我心            
(4星)	 我好喜欢阿朱啊TAT            
(4星)	 我很喜欢这部的~！            
(4星)	 这部拍摄得还算忠实原著。一般比较忠实原著的都会比较不错。现在不少编剧和导演会经常脑子进水，拍摄不忠实原著的作品，于是引来批评声一片。            
(3星)	 看美女呗            
(4星)	 内地翻拍各个金庸剧中唯一还能看下去的……            
(2星)	 真心不喜欢            
(3星)	 阿紫游坦之是亮点            
(3星)	 想当年，下载40集，和同学比着赛看。那时候时间真多啊。。。。。            
(NA)	 胡军演得真好            
(4星)	 张纪中。。。好吧至少比张纪中的其他的好。。。            
(5星)	 侠之大者，为国为民。            
(3星)	 音乐不错，王菲的歌声很美~            
(3星)	 不好也不坏            
(1星)	 张大胡子..            
(1星)	 太具颠覆性了~我靠~烂            
(2星)	 林志颖我本来想用你演林平之的嘛。            
(3星)	 胡军就是靠乔峰奠定的血性男人形象的嘛            
(4星)	 为了萧峰和高虎，改成4星            
(2星)	 我不知道自己为什么看了这部……            
(NA)	 美女太多            
(5星)	 以前不爱看武侠，现在觉得很好看呐。            
(4星)	 风靡一时            
(4星)	 好看的金庸剧，很有进步            
(4星)	 喜欢胡军            
(2星)	 很JIONG很SB。大胡子你可以动笑傲可以动射雕可以动神雕，你动了天龙老子就天天诅咒你。。。你再动飞狐老子就杀去横店。。。            
(5星)	 我还能说什么~大爱啊大爱~            
(5星)	 汀汀让我看的            
(2星)	 难得从头到尾完整看下来的电视剧...            
(NA)	 和黄日华版的差好多            
(3星)	 中国大陆            
(4星)	 少有的能看到大结局的 大概是因为我看书实在看不到结局            
(4星)	 央视重拍唯一一部还不错的            
(4星)	 人人都赞刘涛，我倒觉得舒畅的天山童姥才是最出彩的            
(3星)	 林志颖真是色如春花啊~~            
(4星)	 胡军很适合萧峰这个角色，霸气十足！卡司很喜欢！            
(5星)	 这部好在制作，比较注重细节。但是细看发现片头里面居然有死亡骑士的那把霜之哀伤实在是有点雷人了。还有林志颖个老正太真太给力了。            
(5星)	 塞上牛羊空自许            
(2星)	 胡军一颗老鼠屎坏了一锅粥            
(4星)	 这个胡军演的乔峰很不错，就是段誉太老            
(4星)	 内地最好版本            
(NA)	  - -  没什么好说的，没感觉            
(5星)	 这部各种完美，女孩儿漂亮，胡军感人！只有高虎演的郁闷……虚竹不该傻的时候他过分傻，该傻的时候他又显得心怀多端诡计&gt;.&lt;            
(4星)	 铭刻于心            
(4星)	 最爱的版本            
(4星)	 重温。看到第八集。最早看带着TVB的审美思路。处处别扭。现在看，很喜欢大胡子的武侠风格，大气，野性，不束手束脚。武打招数刚柔并济，镜头角度广阔多变，美人和侠客的风貌也有时代气息。            
(5星)	 中国教育台又在演了，鸡冻鸡冻鸡冻。            
(4星)	 大多数人物符合我的想象，看过原著就会觉得还是胡军比较像。            
(NA)	 好啦我是为了看刘亦菲演的神仙姐姐            
(3星)	 这版完全就不行了。。。            
(4星)	 结构上虽有头重脚轻之憾，王姑娘人色欠佳，虚竹太精明，但黄日华版天龙几大缺憾--阿朱阿紫，其他人物---尤其是副角，比如童姥，场景等。王璐瑶胸前那两团肉啊，太有货了，不过，这是唐朝吗?            
(NA)	 喜欢阿朱+云南美景            
(NA)	 羞涩的看过.....            
(2星)	 毕竟有了一部不可超越的前作            
(3星)	 出来混，啥都要还。            
(4星)	 林志颖的段誉不错啊。            
(4星)	 还不错~            
(5星)	 武侠剧里 已经算是截止到目前为止的最高水平了吧。张纪中，从天龙八部之后，我就开始赞你了！            
(4星)	 比我想的要好。            
(4星)	 张纪中唯一没有毁掉的一部金庸。            
(3星)	None
(4星)	 我觉得国产翻拍金庸最好的一部            
(4星)	 我觉得是张纪中金庸剧里最好的一部            
(3星)	 还是老版本好。            
(5星)	 小學看的時候超喜歡木婉清 覺得木婉清和王語嫣美死了            
(3星)	 看到杏子林。节奏太慢。果断放弃。            
(4星)	 大陆改编金庸武侠小说最耐看的一部！            
(5星)	 这个版也捧红了好多演员哪~            
(3星)	 张纪中的金庸系列里面最好看的一部 但跟香港版的比还是差远了            
(3星)	 还能看看            
(4星)	 阿朱从桥上坠落的时候好美好美            
(3星)	 找那么多美女有屁用。胡军的乔峰演得还算不错的了。            
(3星)	 冲着阿朱看的            
(3星)	 话说，当初我是为了林志颖才看的            
(3星)	 整个看恶心了            
(4星)	 又看一遍，其实拍得还不错，相比邓超那一部《倚天屠龙记》拍得好太多了            
(4星)	 能够拍成这样已经很8错了            
(4星)	 神仙姐姐太迟钝减一星            
(5星)	 个人很喜欢            
(5星)	 敝屣荣华 浮云生死 此身何惧            
(4星)	 其实也还不错            
(NA)	 看到阿朱死我就会哭。从此喜欢上了胡军。只看过这一版天龙八部，剧情挺符合原著的。果然金庸比古龙容易拍片子啊…            
(NA)	 塞上牛羊空自许，先入为主，大爱这个版本。            
(4星)	 喜欢阿朱            
(3星)	 最喜欢段誉 当时似乎还很喜欢阿紫            
(4星)	 段puppy闪亮无敌，张胡子开放结局v5……            
(5星)	 这版拍得很好！！！            
(2星)	 说不上哪不对劲，兴许是港剧早已先入为主了。            
(3星)	 我不喜欢神仙姐姐~~~            
(3星)	 我不怪演员演得不好,导演和编剧太烂,拖泥带水,镜头语言也不够紧凑.....相比之下96年TVB低成本的版本,实在差距甚远,李添胜很无敌阿!            
(3星)	 2003            
(4星)	 我觉得这个还是不错的……            
(4星)	 爱呀。。当初            
(NA)	 家里竟有全套。。。            
(3星)	 气势还是有的            
(3星)	 好喜欢这个版本里林志颖演的段誉啊，好像一直以来我就最喜欢段誉这个角色了，嗯，找老公就要找这样的。            
(4星)	 初中的时候电视节目真是充实呀~~段誉段誉~~            
(2星)	 。。要不是有林志颖我一颗星都不想给            
(2星)	 乔峰很乔峰            
(NA)	 大胡子金庸剧中最能入眼的一部。            
(4星)	 张纪中系列我觉得最好的一部            
(5星)	 大英雄            
(3星)	 看过原著，总觉得改编的都不尽如人意            
(3星)	 哎。            
(5星)	 我最喜欢的一部电视剧,那个时候的魂牵梦萦啊!阿朱姑娘,俺为你流了多少眼泪呦:)            
(3星)	 内地金庸剧里还算不错的            
(4星)	 我觉得刘亦菲很漂亮            
(3星)	 老爸居然比较推崇，估计是胡军的功劳。。史上最木讷最婴儿肥的王语嫣，很有纯真的销魂劲儿。。            
(2星)	 咋感觉那些女的个个都长得差不多样子，审美啊……不喜欢这部，还是喜欢港版。            
(4星)	 爷也看过电视剧            
(4星)	 当时还是看了挺多眼的~~·            
(3星)	 我竟然还是喜欢虚竹。            
(3星)	 。。。那我真是太仁慈了            
(4星)	 这是张纪中唯一一部能看的了            
(NA)	 片尾曲~            
(3星)	 大胡子总算靠谱了把            
(4星)	 唯大英雄能本色，是真名士自风流。胡军版的乔峰真好。            
(3星)	 唯一几部还能看的下去的大陆武侠剧            
(3星)	 林志颖好年轻            
(3星)	 张纪中翻拍连续剧里唯一还不错的。            
(3星)	 凑合            
(4星)	 张纪中少有的可以看得武侠            
(3星)	 难得一个有点意思的。胡军不错。            
(4星)	 。。。加一颗星，区别于tvb的            
(4星)	 刘亦菲。。漂漂！            
(4星)	 当阿朱飘落向桥下时，心里有双手在抓着我的心。            
(1星)	 特技要吐了。。。            
(1星)	 天哪            
(2星)	 编剧太烂！            
(4星)	 粗中有细 哀而不伤            
(4星)	 胡军够豪气！但是陈好演得好古怪，一点都不像。            
(5星)	 张纪中剧水平最高的一部了吧            
(NA)	 喜欢刘涛。            
(4星)	 至少外景很不错，祖国的山山水水就是多娇呢            
(4星)	 我原来喜欢胡军，结果上次看采访他 他孩子都上小学了……哎。。。            
(3星)	 剧好人不好            
(4星)	 场面很美～            
(NA)	 看到刘涛姐姐结婚了 想起这部片子            
(4星)	 在张纪中导演作品中算是上乘之作了。            
(4星)	 这部戏里林志颖的表现让人惊喜。舍弃了他一贯夸张的表情。演员表现都很好，是张纪中多部金庸戏中拍的不错的            
(3星)	 回忆            
(3星)	 唯一能看的张纪中版金庸剧            
(NA)	 胡军像宝宝            
(3星)	 喜欢乔（萧）峰和阿朱这一对的。。            
(5星)	 国内难得经典的一部武侠剧            
(5星)	 这一版的还不错！            
(5星)	 乔峰很不错            
(4星)	 舒畅，很有前途            
(3星)	 張紀中毀了那麽多本金庸，總算成就了一本，犧牲成本太大。            
(4星)	 壮阔的            
(NA)	 王菲 片尾曲《宽恕》            
(4星)	 最大的特色就是美女多，男主角只能算凑合，还有就是比较尊重原著。            
(3星)	 神仙妹妹和段誉叔叔 =口=            
(3星)	 略看～            
(4星)	 多让人蛋疼的片子            
(5星)	 美女多~比黄日华版好多了，张纪中也就这部武侠拍的还可以            
(4星)	 哦语嫣姐姐            
(4星)	 国产金庸剧里这部最好，各版天龙八部里也最喜欢这部。            
(4星)	 7.8            
(4星)	 其实这一版还是可以的，只是后来的胡先生越来越不招我待见了            
(3星)	 陈好阿陈好，我心目中曾经唯一的女神。            
(4星)	 还不错            
(4星)	 挺好看的啊            
(NA)	 为毛这个版本我也看过···            
(2星)	 乔峰像麻匪= =            
(4星)	 复习复习也是好的            
(NA)	 还记得大家一起在教室里看电视剧的盛况啊            
(4星)	 这确实是张纪中拍得最好的一部。。。            
(5星)	 好看啊！凌波微步！降龙十八掌！神仙姐姐~            
(4星)	 当年读六年级的我被萧峰和阿朱的爱情感动的一塌糊涂啊            
(NA)	 虽然1997版本堪称经典 但是这一版的段誉阿紫阿朱段延庆更和我意一点             
(5星)	None
(1星)	 又是张鸡肿这个垃圾SB的，1星都不想给。            
(5星)	 如果说黄日华那一版是很多80后看这剧时理直气壮的回忆“比这版好看多了”，拿着一版就是我这90后理直气壮的喜爱（虽然这种划分很脑残，个人爱好+真实经历╮(╯_╰)╭）            
(4星)	 铁汉柔情是最能把我拿下的了……            
(3星)	 TVB口碑颇好的缘故，是因为承载了太多的回忆，客观评价这版还是不错的··            
(5星)	 比97版好            
(5星)	 好看！！            
(5星)	 这才是男人~！            
(4星)	 对楠大典配的萧峰没什么感觉，还是胡军的原音好些。话说我已经想不起是在哪部动画游戏里认识楠大典的了……            
(NA)	 很好看            
(4星)	 非常喜欢这一版天龙八部，演员选得好，制作也精良，尤其是武打设计这一块，太好看了            
(3星)	 景色不错，别的就不好说了            
(4星)	 这部就是纯粹为了陈好才看的~            
(4星)	 超级喜欢的天龙八部！            
(4星)	 个人感觉是大陆拍摄的金庸武侠片中最好的一部，胡军饰演的乔峰外形不错，气场比黄日华稍微差了一些，可以接受。高虎演的虚竹不错，林志颖演的段誉太失败了。慕容复演得不错，但这个演员太瘦，不够帅，减分。整个武打设计相当华丽，而且贴近原著，经典。            
(4星)	 我很喜欢这个版本，喜欢胡军的乔峰和高虎的虚竹，陈好的阿紫也不错，唯一不够好的是里面的王语嫣不够仙。            
(4星)	 小时候喜欢看武侠。            
(4星)	None
(3星)	 这个版本和上一个版本都很喜欢~            
(3星)	 嗯，胡军太MAN了            
(4星)	 金庸那么多人物我不知道为什么最喜欢乔峰。。胡军这形象我很满意～～            
(4星)	 这版的天龙八部也满喜欢~画面清晰美人儿多~            
(NA)	 還行，無聊時候看看            
(NA)	 林志颖不错，陈好的阿紫不错，其实胡军演得也可以但心目中的黄日华不可超越            
(3星)	 貌似是央视可以拿出手的一部武侠片，成就了胡军和刘涛            
(4星)	 刘亦菲美眉~~~~            
(4星)	 大爱阿紫。            
(4星)	 居然现在才完整看了～晚了很多年呢～            
(NA)	 刘涛版的阿朱真的好漂亮~            
(2星)	 傻的呵的            
(2星)	 和外婆一起看的            
(3星)	 介于及格和不及格边缘。            
(3星)	 初中下晚饭电视剧。            
(2星)	 远不如黄日华版            
(4星)	 我已经闲得乳酸了...........            
(4星)	 为乔峰，为阿朱，为空许约的爱情。            
(3星)	 木婉清真漂亮            
(3星)	 人物没感情似的，没有让人感动，而黄日华的就不同了，震撼人心            
(3星)	 不喜欢这部~            
(4星)	 段誉和王语嫣的演员找的真够那啥啥，完全没原著骚感。萧峰三角恋组倒是选的挺好。            
(NA)	 麻痹 只要是看电视 就没什么不脑残的！            
(2星)	 怎一个囧，怎一个土。            
(4星)	 自觉拍得还挺好的一部            
(2星)	 除了刘涛演的阿朱，其他的都喜欢不起来。胡军的造型= =！            
(5星)	 最喜欢的版本            
(4星)	 宿舍老大又在重温，唉·····我们这一代的金庸剧几乎看的全是大胡子拍的。。这部《天龙八部》大气，胡军饰演的乔帮主最是霸气。。大陆群众演员多，所以大场面都很有声势的。。            
(3星)	 还是喜欢港版。            
(5星)	 喜歡劉濤的啊朱，喜歡胡軍的喬峰，喜歡王菲的寬恕，喜歡兒時的回憶            
(4星)	 還挺不錯的。喬峰的俠氣，段譽的自在天真，虛竹的、well、某些氣質（……）表現出來了~            
(4星)	 当初天天等的那叫一个急切            
(4星)	 张纪中唯一一部还凑合的金庸剧            
(5星)	 小时候看过的 当时真心喜欢里面乔峰啊T^T            
(4星)	 大凡影视不如原著。            
(3星)	 当年本来是奔着刘亦菲的神仙姐姐去看了若干集，没想到刘涛演绎的阿朱惊呆了我，那一眼的惊艳。。。想起来爸爸极爱胡军饰演的乔峰，而我则比较爱最古老的黄日华版。。            
(4星)	 这个也超爱的 阿朱阿紫俩变态受虐狂奠定了我的爱情观啊 ﹁_﹂             
(3星)	 我喜欢黄日华的版本。。。            
(4星)	 《天龙八部》里最喜欢的版本，胡军饰演的萧锋是所有版本中最有男人味的。            
(4星)	 因为林志颖和高虎所以喜欢~            
(4星)	 个人最爱的一版天龙八部            
(5星)	 故事本身根本无需多说，看这版主要就是冲着段誉，也超喜欢这个版本里的虚竹            
(4星)	 就喜欢看这部            
(5星)	 这部其实是江苏投拍的，严格来说不算是央视版。中规中矩，不出错，有出彩的地方。重播的时候经常会看。            
(3星)	None
(3星)	 不管哪一部，我还是最喜欢看阿朱被乔峰亲手打死的那里。            
(NA)	 迷恋刘亦菲，仙女一样美，女人亦动心。喜林志颖，永远年少，芳心相许。整体是黄日华那版最佳！乔峰霸气段誉机灵虚竹傻气阿紫偏执阿朱固执游坦之不值。过去觉得李若彤脸微凶，现在看来却很喜欢，总觉性格坚韧温柔娴淑低调内敛又有才气。演小龙女总演王语嫣，这点很是有趣。大约金庸笔下两奇女子很出世。            
(4星)	 我觉得这是张大胡子最好的一部            
(5星)	 张纪中武侠片中最出色的一部。            
(4星)	 这是冲着林志颖的.....            
(5星)	 胡军一直是我比较喜欢的。。            
(5星)	 我特喜欢胡军~~            
(5星)	 從天龍八部開始領悟了金庸深沉的一面，人性的思考，甚至還有天問。愛這裡的每一個英雄，愛阿朱阿紫。為她們心疼。卻怎曉得情為何物。            
(4星)	 放你妈。。都拍这么多版烦不烦。。            
(5星)	 英雄都是由悲剧造就的            
(4星)	 两个版本我都喜欢啊            
(3星)	 美女如云！            
(5星)	 这个和97版都很喜欢            
(4星)	 刘涛啊            
(4星)	 小时候看过的电视剧29            
(5星)	 如此经典居然只有6.9！！！            
(4星)	 这个降龙十八掌太霸气啦！            
