http://movie.douban.com/subject/1754882/	波士顿法律 第一季 Boston Legal (Season 1)
(5星)	 少当如alan，老应似crane            
(5星)	 james spader我觉得这个不帅又发福的男人真他妈性感！！            
(4星)	 少当如Allen，老当如Danny            
(4星)	 denny crane!            
(4星)	 沒有廢話的好看影劇系列。            
(NA)	 alan太过迷人了啊啊啊啊~~~~~            
(5星)	 很美国，相当美国。一个个案件下充斥着美国主流的价值取向，关于对民主与人权的定义与需求，关于不同政见人群间的对峙与交锋，关于老美式英雄情结下的自傲与自尊。            
(5星)	 爱死alan了。牛逼。            
(3星)	 不好看。。。看似专业的肥皂剧。。。            
(5星)	 了解美国司法制度与法律逻辑的快速切入点            
(5星)	 那么多人推荐我看，其实我就是因为alan长的像绝望主妇那个同性恋夫妇里面的小个儿才看得。。。            
(3星)	 做trial law确实比较精英……            
(5星)	 ALAN SHORE太性感了啦~~~跟DANNY CRANE简直就是一对活宝儿~~~里面所有女人的身材都忒好了吧……            
(5星)	 真经典            
(NA)	 某人力荐            
(5星)	 我最爱的淫贱二人组，我最爱的淫贱阳台时光。            
(1星)	 very cheap. 只是lori很漂亮            
(5星)	 season finale太给力了！！            
(5星)	 你喜欢的            
(5星)	 smart            
(4星)	 前两季不错            
(5星)	 denny crane！！alan shore真是所有女银都爱的泰普。最后一集好桑感            
(4星)	 后来，中国人要来买他们的事务所……            
(NA)	 鞋店事务所里的汤米完全是丹尼的翻版嘛             
(5星)	 Alan就是那种任何妖魔鬼怪都可以被他的魔高一丈喷死的人物，真是尼玛明贱消灾暗箭销魂。DENNY是只道行高深、老奸巨猾的妖孽，每次对着记者的话筒碎碎念超有爱。办公室女王的到来使色戒大开。TARA的脸颊上永远有两坨挥之不去的高原红。LORI是第一眼惊艳，第二眼一般，第三眼平庸，第四眼腻人的镁铝……            
(5星)	 当律师真恐怖啊-_- alan的脸真是圆的要命啊...好看            
(3星)	 编剧还是认真负责的，可惜美国律师们的集体装腔作势让我很倒胃口哎            
(5星)	 这些律师怎么什么案子都接？            
(5星)	 很不错的电视剧，律师们的close是重点，使用简单平易的句子，抓住陪审员的心，台词写的非常好，不过也有比较一般的词。片子看了好几集才确定谁是主角，然后主角alan shore就渐渐萌到我了。tara很美，第二季就没再出现了，很遗憾。            
