http://movie.douban.com/subject/1761707/	天桥风云 모델
(3星)	我恨你。爱情，没错，只要抛开它就没事了，我绝对不相信爱情这个东西。但是一听说你要走，我不敢想象没有你的日子，我到宁愿死在你的手里。
(5星)	太经典了 以致于我看现在的韩剧怎么搞都提不起精神来
(5星)	可以够格翻拍了
(5星)	这是一部相当难得的韩剧啊
(5星)	一辈子都记得远钧~~
(4星)	多早的韩剧了，美好的回忆。
(5星)	我的最爱  怎么居然现在才想起来点。。罪过罪过
(4星)	看的第一部韩剧
(4星)	这是我看过唯一值得回味的韩剧。继承、发掘并且发扬了韩剧中所有的优点，这仍旧是一部辣椒酱+胡椒面+花椒+罂粟的韩剧，但是可了心用了力做足了功夫所找到的最好的调料。张东健擅于驾驭复杂角色，整容天后金南珠有气场，韩宰硕虽然是个悲情备胎，但那一跪真是为自己赢回最佳竞争力，我恨结局！
(4星)	永远记得
(4星)	这部片子算是没有落入韩剧俗套的仅有的几部之一。
(5星)	我們這代人的青春聖經。我們的傷痛，我們的愛情，我們的烏托邦，我們的流亡的心
(4星)	都喜欢张东健的吧？？我喜欢韩宰硕，因为脸够长的o(∩_∩)o
(5星)	时装启蒙课～
(3星)	我还是看过一点的，就一点...
(4星)	挺美的
(3星)	看得第一部韩剧，因为军训没看到结局……
(NA)	这剧的台词写得很好啊，记得赵远钧对李政说，你我不过彻彻底底的无名小卒，云云
(3星)	电视上看的。
(NA)	大概是我唯一完整看完的韩剧
(5星)	好像那时候韩国电视剧没那么多做作的表情，都挺自然的
(5星)	看的时候倒是觉得好看，因为受不了刚从夏娃出来的张东健黑化，年幼无知的我弃了…原来我的童年正是韩剧深度期。
(3星)	少数看过还有印象的韩剧
(3星)	剧情感觉1般 妆巨浓 当时一姐们超级迷韩宰硕 我才看的
(4星)	当年大爱
(NA)	算是看过吧。
(5星)	其实我更喜欢张东健演的李政
(5星)	很小很小时候看的
(4星)	老早了……很喜欢金南珠 ……整容后的样子。。
(NA)	很小时候看的，很伤感……
(5星)	很老的片子了，却是经典~很喜欢里面的韩宰硕 
(4星)	初识张东健。所有人都说他很坏，在剧中，可我就不觉得他坏。欧，天啊，可能我天生就喜欢坏男人吧。
(4星)	少女时代
(4星)	好遥远啊...
(4星)	印象很深！歌曲应该是那样
(5星)	认识韩剧从&lt;天桥风云&gt;开始!人生,人性..经典之作!所有的插曲也都很好听.
(5星)	第一部韩剧..
(NA)	妈妈通过这部片子认识了张东健并且觉得他很有腔调。蛮有男人味的。
(NA)	很早之前看的第一部韩国偶像剧。
(5星)	看的第一部韩剧,太经典了~
