http://movie.douban.com/subject/1761848/	夏娃的诱惑 이브의 모든것
(4星)	 无论何时再看都无比治愈 *_*            
(5星)	 我认为最经典的韩剧~            
(5星)	 唯一喜欢的韩剧。曾经对世界的野心，曾经的煊赫荣耀，曾经的爱恨纠缠，曾经的刻骨铭心，终于变成了一片空白。            
(5星)	 我看的第一部韩剧。“徐迎美和真善美该是一个人的两面而已吧。而更多的时候，我们开心自己的真善美，却铭记内心的徐迎美。人生伤痛大过快乐，那几乎是一定的。”            
(4星)	 喜欢一个人，如果不是全部，那就等于零．              
(5星)	 我爱徐迎美如果我是她，我不会这么坚强善美如若不是有这样的家庭环境她又能比迎美好多少？            
(4星)	 记得那个时候的大多数都喜欢真善美小姐.其实迎美才是现代理想女性呢啊~            
(5星)	 我认为最好看的韩剧，连我妈也喜欢张东健，昆仑差点把他毁了~~~            
(NA)	 影响至深的爱情故事。多么希望在下一个路口遇上那个完美的学长。            
(NA)	 高中时期，因为看了尹享哲理事，迷死张东健            
(NA)	 金素妍啊当时真喜欢她            
(5星)	 迎美当时整一是我偶像            
(5星)	 好吧我又看了一遍。            
(5星)	 故事和主角都不错            
(NA)	 喜欢甄善美。            
(5星)	 这是我最爱的韩剧！            
(NA)	 甄善美的可爱和善良、尹享哲的体贴和理解，这样的爱情才完美            
(5星)	 幸福的人是很幸福的,不幸的人是会拖累别人一起不幸的,但是最后呢...大家还是会想幸福靠拢~            
(NA)	 结婚的结婚 离婚的离婚            
(3星)	 我更喜欢的是辣味的迎美            
(4星)	 初中的时候借阿皎的碟回来看的，后来就很喜欢那种眼神很毒很犀利的女人，开始关注金素妍。            
(5星)	 童年的回忆 喜欢那首轻快的插曲，就是最后蔡琳和张东健在马路拥吻时候放的- -            
(NA)	 唯一能看完的韩剧            
(4星)	 印象模糊 不过小时候在凤凰看的时候应该很喜欢吧            
(5星)	 喜欢里面的金素妍，也很喜欢佑振，喜欢这一对            
(5星)	 佑振哥，我很喜欢你            
(NA)	 喜欢蔡琳的笑            
(5星)	 坏女人金素妍             
(5星)	 我打一开始喜欢的就是迎美啊！从来没喜欢过善美... ...            
(4星)	 我欢喜他。            
(3星)	 陪妈妈看片。。。            
(5星)	 爱看到看过无数遍了。。。            
(4星)	 断断续续看的一部，就喜欢金素妍，觉得特真实，至于另一位女银就没什么好说的了            
(5星)	 当年就爱坏女人= = 我的学长！            
(4星)	 我的偶像张东健，最符合少女想像的理想对象……            
(NA)	 很小的时候看的了~印象很深刻            
(4星)	 就喜欢金素妍            
(4星)	 张东健真是帅的不可救药！            
(5星)	 两三部我看了不止一遍的韩国电视剧之一。            
(4星)	 四个主角都很喜欢。            
(4星)	 看过一万遍有余了吧            
(5星)	 蔡琳：）            
(4星)	 菜小姐听说浑身都整过 不过看着确实不错就是脸太大            
(NA)	 我很喜欢迎美诶            
(4星)	 还是很经典的片子啊            
(NA)	 印象里很多年前看的第一出韩国电视剧。            
(4星)	 凤凰卫视            
(3星)	 很早以前看的韩剧，还不错。            
(4星)	 迎美的诱惑            
(NA)	 CL，CL我们家的CL！！            
(4星)	 老套的剧情。小時候看來，那個狐狸精真迷人            
(4星)	 银理事太完美了呀~~            
(3星)	 迎美，迎美。            
(3星)	 小时候跟着老妈一起看的            
(5星)	 好感人啊~女主播的故事~            
(3星)	 我妈至今都很爱张东健。            
(4星)	 噢噢噢～张东健            
(5星)	 当年看最后一集的时候因为金素妍都快哭死了.            
(5星)	 尹享哲满足女人对男人的所有幻想。            
(4星)	 看了不下五六遍，百看不厌...            
(4星)	 经典韩剧之一~            
(5星)	 好吧我承认，这是属于我自己的经典励志剧~            
(5星)	 挚爱挚爱~~            
(5星)	 多么经典的电视剧，指引着万千少女做起了主播梦，还有可爱的蔡琳和帅气的东健五坝            
(1星)	 只喜欢金素妍的迎美            
(5星)	 高三 晚饭时间            
(5星)	 当年痴迷的男主角            
(5星)	 童话            
(4星)	 有个姐姐长得很像善美~~~            
(5星)	 每个女孩都想要一个嬴享哲            
(5星)	 第一部韩剧            
(4星)	 经典            
(4星)	 高考后看的。。囧            
(4星)	 唯一看过的一部韩剧            
(5星)	 学习的教材            
