http://movie.douban.com/subject/1786735/	倚天屠龙记 倚天屠龍記
(5星)	 虽然马景涛很咆哮，但是我却喜欢这个版本的倚天屠龙记，因为我喜欢里面的杨逍            
(4星)	 很多人骂这部片，我倒觉得这是所有金庸剧里拍得算上乘的一部，叶童演得其实很好，海味非常棒，马就不说了，最好的是孙兴，这部片是他演员生涯的最高峰            
(4星)	 叶童演得很好，周海媚最周芷若，除了马教主，其他元素都是最好的版本，包括主题曲与配乐            
(5星)	 HC杨逍啊！没啥说！！！            
(5星)	 过去看过的东东，总是在某个时刻突然想起，只是因为有些东西印象太过深刻，就像这部倚天屠龙记。曾被拍成过不同的版本，但我觉得这个版本是最好的，演员、改编、摄影、音乐，各个方面都是我心中的绝对经典。我不同意批评马景涛的人们，我觉得他演的还算贴近人物的本性，还有孙兴之杨逍，叶童之赵敏，周海媚之周芷若......那真是一个让我无限怀念的年少时期的武侠梦啊。            
(4星)	 扣了一星是因为马景涛 哦晕 实在是看不惯他 其他每个人都比他有魅力 杨逍哦杨逍（做昏迷状……）我看这个还在上中学 那时候大家说我长的象周止若 我死的心都有了 虽然周海媚是大美女 可我好讨厌这个角色……            
(5星)	 只看了孙兴的部分  我们要说男人不坏女人不爱            
(4星)	 为了杨逍还有杨不悔和殷梨亭            
(5星)	 就冲着李丽芬的《爱江山更爱美人》啥也别说了……            
(NA)	 最记得周芷若  素手裂红衣  太决绝了  好像心碎            
(4星)	 万人迷杨逍哦～            
(5星)	 这个版本是最经典的，喜欢叶童。            
(4星)	 真的很不习惯叶童            
(4星)	 童年回忆，经典之作            
(4星)	 啊！小时候跟着爸爸妈妈看过的。里面的歌我还都会唱呢。。红尘啊滚滚翻呀翻两番，天南地北随遇而安。。。是不？            
(NA)	 我看过，又没看过……只是这绝对是我最深刻的倚天            
(5星)	 虐恋。张翠山、素素夫妻的戏很精彩。场景、特效、动作、剧情、忠实原著、人物性格都完胜十年之后的苏有朋版。荒岛上叶童的嬉皮士打扮很有爱。            
(NA)	 五星杨逍            
(5星)	 以前觉得景涛哥特别二，现在才认识他的咆哮威力！！！！！！！！！！！！            
(4星)	 这是我中意的一部倚天屠龙记            
(NA)	 刀剑如梦。            
(5星)	 以前没看过 真是经典啊 杨逍演的好 还有咆哮哥果然是名不虚传 懦弱的无忌哥哥 只能说 难能 而不够可贵  周海媚后来 真是演的出神入化              
(4星)	 咆哮教主很有爱            
(4星)	 被污蔑得死去活来的殷素素。            
(4星)	 最最難忘是楊逍            
(4星)	 不是时代的关系，这个版本跟现在新拍的各种版本比都有绝对竞争力            
(NA)	 日子久了難以評價，只記得當初最深的感受就是，金庸大師才是真正的言情小說家。這哪是武俠，看看楊不悔的名字，表了情那是肯定，好聽啊，有境吶，哪是一般言情敢比。            
(5星)	 我特别喜欢赵敏            
(5星)	 胡伟立            
(4星)	 虽然不喜欢马景涛，但是这个版本的倚天确实是经典            
(5星)	 这几天又放老安徽台，今天一看，有了更可批注台词的感觉。太硬正老老一代张翠山殷素素这批掉人。白眉鹰王好象是谷峰演带。还有魔教的大部分女的（除了小昭）都是那么的不假美，强！开头结尾的歌也太无暇武侠老            
(4星)	 喜欢叶童的殷素素和赵敏，喜欢为爱不顾一切，又有点使坏的小聪明的感觉，不过改编的很多情节也太悲催了点吧。尤其是翠山素素自刎那段还有后面赵敏遭误会的那段，压抑得很啊。总之就是一部虐心的剧。至于海味的周芷若，黑化以后太有气场了，超喜欢。马景涛的张无忌是雷人，不过雷着雷着也就习惯了。            
(5星)	 18年后重温此片，终于明白金庸想告诉我们魔法师是人类最强的，当魔法师活过100岁的时候，那他就是神一般的存在。            
(5星)	 其实教主版的…还是很好看的拉…我只是对张无忌会爱上许仙比较…错愕…            
(4星)	 教主，哈哈哈。            
(NA)	 我小时候，确实看过...            
(4星)	 叶童不适合赵敏，杨逍最高            
(5星)	 真是我看过的最伤感的电视剧了            
(4星)	 83版最大的功德在于成就了孙兴版的杨逍，成就了“不见杨逍终身憾，一见杨逍误终生”的神话。至今，孙兴版的杨逍仍是不可超越的经典中之经典。            
(5星)	 出现最多的台词是：小贱人、淫贼、大魔头、妖女            
(4星)	 惊涛哥的咆哮！！！！！！！            
(5星)	 爱死杨逍了～            
(5星)	 我还记得``周华建唱的主题曲            
(5星)	 杨逍最赞            
(4星)	 男主角是这版最好            
(5星)	 打五星是因为这个版本有我最喜欢的赵敏、周芷若和小昭。            
(4星)	 当时看叶童演的赵敏怎么就那么别扭呢？要不是她 说不定现在我也是喜欢赵敏的人啊            
(3星)	 讨厌张无忌，他一定是巨蟹男            
(4星)	 就是这部片子，害我不可救药地爱周芷若。            
(4星)	 绝对是最好版本的倚天，尤其无与伦比的原声音乐，最重要的，孙兴的杨逍！！！            
(4星)	 倚天屠龙记最经典的版本            
(4星)	 恩，各个版本的倚天屠龙记都看过了。            
(2星)	 小时候看得金庸的作品最不喜欢的.马景涛演的张无忌太墨迹            
(3星)	 周海媚JJ实在太销魂了！请无视男女主角            
(NA)	 周海楣美得不行~            
(4星)	 那个年代的香港金庸武侠片。            
(5星)	 很精典，所以现在还记着。            
(4星)	 马景涛啊马景涛！            
(5星)	 当年我还很小，他们演的都真好            
(4星)	 你最珍贵            
(3星)	 那时候一直张无忌是眼瞎了么？周芷若多漂亮啊！            
(4星)	 四分全部给周芷若            
(4星)	 只爱这个版本             
(5星)	 最喜欢的版本~！！！            
(NA)	 五星杨逍            
(5星)	 最好的倚天。            
(NA)	 印象最深的是孙兴演的杨逍            
(5星)	 最喜欢的一版屠龙。            
(5星)	 除了杨逍纪晓芙和周芷若之外其他角色都是浮云！！            
(NA)	 小时候的最爱啊  史上最好看的倚天屠龙记             
(5星)	 突然间，长大了，也因此明白爱情，是多么难得的事，原谅我喜欢芷若，却羡慕着忌敏情深            
(4星)	 其实 涛哥在不咆哮的时候……最像画里走出来的张无忌……            
(5星)	 1星給劇本 2星給OST 2星給演員             
(NA)	 最喜欢的芷若            
(5星)	 完整的重温了一遍 太经典太好看了 落泪好几次啊混蛋            
(4星)	 叶童给我的阴影很大            
(4星)	 童年回憶說這個版本好！            
(4星)	 看过那么多版本，最好看就是这版，最爱孙兴的杨逍。第一次看到叶童的妩媚即使是粗糙的。周芷若的素手裂红衣是最决绝最难忘的美。配角也都大亮，配乐也太经典。            
(3星)	 不喜欢叶童扮演的一切女性角色            
(4星)	 第N遍            
(NA)	 补遗                  
(4星)	 海味！！！            
(4星)	 来也匆匆去也匆匆            
(4星)	 “滚滚啊红尘翻呀翻两翻，天南地北随遇而安” 歌都很好听，当时差点就买了滚石的OST了，悔啊            
(4星)	 一见杨逍误终生            
(5星)	 没看过十八集以后没看过赵敏张无忌仅以五星记住几百年前的杨逍纪晓芙仅以五星感谢十几年前的孙兴潘仪君            
(5星)	 我的小昭            
(3星)	 开头黄沾的歌真好，霸气十足            
(5星)	 个人觉得最经典的一版!特别是杨逍            
(3星)	 太长了            
(5星)	 眼泪只为阿离            
(5星)	 刀剑如梦            
(5星)	 个人觉得这个版本才是最经典的            
(NA)	 当年我姐居然从电视报上把剧情全部抄了下来。。。            
(4星)	 喜欢的武侠剧不多，如果不是因为主题曲和插曲，我可能当初也不会看这部戏。            
(NA)	 还是觉得这部更好看点,也许是小时候看过的以后会觉得更顺眼            
(1星)	 没有周华健的歌此片就属一垃圾            
(5星)	 杨逍啊杨逍啊~~            
(4星)	 虽然很傻。青蛇的配乐。而且好多的熟面孔。比如白符，梁王府的侍从。。嘿嘿，还有黑白无常。。。哈哈，还有李公甫~演武当大弟子            
(NA)	 我真的是对马景涛叔叔的琼瑶剧太过敏了…所以…虽然，倚天屠龙记的情节本来就很狗血，女后宫啊，张无忌丫就是一日漫男猪脚啊……所以这么想想，由咆哮教教主马景涛同学来演他也是挺有道理的。            
(5星)	 所谓童年...=w=            
(NA)	 曾经应该都讨厌过张无忌吧.尤其是台湾大叫驴版的.            
(4星)	 除了大颠大丧的人奶马景涛，都不错，当年看过。            
(3星)	 周芷若大婚时候那一双幽怨愤恨的泪眼至今不忘。。            
(3星)	 旧时光            
(5星)	 至今倚天最好的版本。            
(3星)	 给杨逍 纪晓芙            
(5星)	 这版真的是最好啊！这是唯一金庸的电视剧比原著好看的一部。            
(5星)	 小時候好愛看啊            
(4星)	 这版演技最好            
(4星)	 言情版的倚天            
(4星)	 其实我想说叶童演的才最像书里的赵敏            
(3星)	 教主成名作            
(4星)	 教主演得最给力了~            
(3星)	 看得太久了，记不清了，前面还不错，后面就快成琼瑶戏了            
(4星)	 这版的音乐真是绝了！            
(NA)	 范遥太丑 张无忌太抽风 不然真可以脑补下的 矮油 把羊左使许配给谁好嘞 还有 我脚得羊左使是忠犬 又是受 但有没有忠犬受这个物种嘞            
(NA)	 真没少受咆哮帝毒害，否则你们以为我为啥能咆哮的如此传神销魂……            
(5星)	 这个位面里大概没有第二个人能把周芷若演得这么神似了            
(NA)	 叶童的敏敏是最经典的            
(5星)	 叶童的赵敏永远是我最爱,孙兴版杨逍也无法超越.十几年后再看马版倚天屠龙记还是那么经典.咆哮教主只有在此剧中还有那么点魅力.            
(5星)	 教主牛逼！            
(4星)	 孙兴真是多面手啊 超萌杨逍~            
(4星)	 记不真切了            
(4星)	 那时候我是小学四年级。现在看来面目全非的剧情虽然狗血，却多么吸引当年的我。            
(5星)	 爱杨逍！！！            
(3星)	 叶童不是我的菜。            
(5星)	 26. 我才不要当什么圣人，我宁可当个凡人，顾不得什么是对，什么是错，任意为之，那多逍遥快活～            
(4星)	 这个说到这个孙兴啊，真是，虽然每个人不尽相同，但素但素，人，还都有一个阶段是巅峰，是其他时期比不了的啊~哎~            
(NA)	 教主经典~            
(3星)	 来也匆匆，去也匆匆！许仙变性啦！            
(NA)	 杨左使乃傲娇了~~~            
(NA)	 我好纳闷啊。。教主怎么宁愿喜欢许仙都不喜欢周海媚啊。。            
(4星)	 孙兴孙兴！！！            
(4星)	 重温了下逍芙这对的戏，没看过原著的在下表示对杨逍的年纪有困惑。他曾和纪晓芙的师伯比武，这件往事是灭绝告诉纪晓芙，她此前不知说明当时年纪尚小，而且杨逍也老喊人家小丫头……役者看上去年岁相仿，但到底这二人岁数差多少OAO？            
(NA)	 喜欢周芷若，讨厌赵敏            
(NA)	 歌曲不错，赵敏不错，杨逍不错XDDD            
(4星)	 我最喜歡這一版了            
(4星)	 少了一颗星，那是因为马景涛            
(5星)	 童年！童年！            
(4星)	 咆哮帝是童年里的几大帅哥之一            
(5星)	 啧啧，坐忘峰啧啧，杨左使            
(2星)	 就杨逍不错            
(4星)	 最喜欢这版的赵敏和周芷若。。。            
(NA)	 哭的一塌糊涂            
(1星)	 武侠片居然能拍得这么用力煽情真是登峰造极了... 神传已久的孙兴般的杨逍一点也不喜欢，一出场就没好感...一颗星星给海媚            
(NA)	 咆哮张无忌。            
(4星)	 叶童！            
(NA)	 啊啊啊！            
(5星)	 大爱！！！！            
(5星)	 虽然是咆哮帝，但是还是最经典的一版~            
(4星)	 还是小时候痴迷的，只觉得周芷若超美            
(3星)	 叶童绝对是阴影            
(3星)	 记忆里的屏幕很灰，片尾曲好好听            
(4星)	 咆哮帝的经典哇            
(4星)	 给杨逍！            
(NA)	 小时候的记忆            
(4星)	 还好我当年没有看这部，不然定是误终身的下场啊。。。            
(4星)	 周海媚版的很经典，就是马叔老了点- -            
(5星)	 这么多年了……HC依旧一见杨逍误终生            
(4星)	 杨逍还是蛮经典的            
(4星)	 先入为主的经典之作            
(5星)	 相比而言还是这个好看咆哮教主和许仙无人能超越还有杨逍            
(5星)	 里面的光明左使杨逍帅的没话说，铁三角            
(5星)	 虽然只看过这一版，但这部绝对是倚天屠龍記最好的版本～            
(5星)	 杨逍啊杨逍……            
(5星)	 孙版杨逍，叶版赵敏....是我心目中无法超越的经典。            
(3星)	 围观完毕，各取所需。            
(5星)	 少年的记忆...30,31,32,33-1/3...殷梨亭            
(NA)	 额。。            
(NA)	 小时候不懂；现在是来看杨逍的。            
(4星)	 除了马景涛撕心裂肺的吼叫之外，这套电视剧我很爱，里面的歌曲也都很好听            
(5星)	 音乐是重点            
(4星)	 至少比后人的版本好除了咆哮教主- -            
(5星)	 在重温很经典的            
(4星)	 虽然马景涛很暴躁，叶童怎么也感觉像许仙，但是还是最喜欢这版。            
(4星)	 [昔时所看]来也匆匆 去也匆匆恨不能相逢爱也匆匆 恨也匆匆一切都隋风狂笑一声 长叹一声快活一生 悲哀一生谁与我生死与共             
(4星)	 周海媚版芷若惊为天人~我的女神            
(3星)	 这个敏敏太难看了…            
(4星)	 那个周海媚啊。。。            
(1星)	 最二的一个版本。            
(5星)	 我喜欢你，我这辈子都忘不了你。            
(3星)	 这个版的杨逍最靠谱            
(NA)	 最爱的不是这个版            
(NA)	 芷若美            
(NA)	 我就为了杨逍才看            
(4星)	 马马虎虎，但演的还行，歌好听            
(4星)	 最好的版本吧 选角都不错 孙兴的杨逍特有魅力            
(4星)	 真好看            
(4星)	 因为这部片子喜欢上海媚——            
(4星)	 很多好演员!最爱芷若!!!!            
(4星)	 杨逍真tnnd帅            
(3星)	 拍得贼压抑            
(5星)	 就演员而言这是我心中最好的一版倚天，赵敏和杨逍都是经典，还有纪晓芙和小昭            
(5星)	 葉童的亦男亦女讓小時候的額留下心理陰影，全劇只有周是個亮點。劇情太苦哈哈了。。。            
(4星)	 一见杨逍误终生            
(5星)	 我遗失的童年            
(4星)	 换个男一会更好。            
(2星)	 太他妈罗嗦了            
(4星)	 古装经典、小马哥和叶童。            
(5星)	 天天晚上偷着看！            
(4星)	 孙兴的杨逍~永远的经典            
(4星)	 小昭很美。其实叶童的演技不错，只不过她的长相对于这个角色来说是致命的硬伤，而黎姿在扮相和演技上就平衡得多。我很喜欢郡主，多言了。            
(4星)	 我心目中拍得最好的版本了，叶童果真是演技派。而且孙兴版的杨逍多销魂哪。            
(4星)	 跟姐姐一起看的@_@            
(4星)	 从此再无第二个杨逍            
(5星)	 杨逍            
(NA)	 我就喜欢孙兴演的杨左使            
(5星)	 周海媚真美            
(4星)	 儿时回忆            
(NA)	 这个版本我就觉得周海媚演得比较好            
(4星)	 别问我为什么喜欢            
(4星)	 从网站上看 应该是93年 没有96年那么晚            
(3星)	 啊啊这个版本的片尾曲很好听，周华健哦。            
(3星)	 除了一如既往的咆哮和冷艳的周海媚小姐，这是我第一次发现许仙是个女的，哭喊！            
(3星)	 嚎叫派张无忌            
(NA)	 周海媚|孙兴|潘仪君。            
(3星)	 歌很不错            
(5星)	 叶童            
(4星)	 初中一年级的时候猛追            
(5星)	 先入为主，最喜欢这个版本，因为周海媚的芷若太经典了            
(3星)	 音乐不错            
(4星)	 这个版本不错            
(5星)	 小时候看的是这个版本。周海媚啊，孙兴啊，教主啊，叶童啊都好喜欢~【当时完全不知道许仙就是赵敏。。。噗。。。。            
(4星)	 小马哥的咆哮体啊。在荧屏上总是温柔男一枚，顺带那么点二。            
(5星)	 觉得拍的最好的倚天屠龙记，也是对立面的主题曲，片尾曲印象深刻，那首俩俩相忘用地恰到好处            
(3星)	 周芷若在这里的确比张敏美多了。杨逍啊杨逍！这部里的最好了！            
(4星)	 其实咆哮教主在这里很帅的，其实周芷若非常惹人怜爱的~~一见杨逍误终身也是非常靠谱的~~小时候光迷恋杨逍去了~~            
(NA)	 其实这部戏拍的跟原著很不像，但却非常好看……若干年以后才知道不止我一个花痴少女被杨逍迷的死去活来……            
(3星)	 声嘶力竭的小马哥伴随着成长的记忆啊~            
(4星)	 景涛兄啊……我超喜欢杨逍，这版的杨逍最棒！            
(5星)	 亲爹当年也说教主演得太激动啦！哈哈哈哈哈哈！            
(NA)	 周海媚的周芷若太经典了，看过孙兴的杨逍之后的某一天，不小心看了一眼春光灿烂猪八戒的第一集孙兴的太白金星还是什么的，心碎了一地。            
(5星)	 经典            
(5星)	 看过最老的那个版本，当时也没觉得教主那么咆哮。。。演员各种给力，歌也是最棒的。。。刀剑如梦哟            
(5星)	 迄今为止最好的一版倚天屠龙记            
(5星)	 到目前为止改编的最好的倚天，主演演的好，配角更精彩，孙兴的杨逍难以超越的经典，难忘逍芙恋，以后看倚天不看谁主演，只看谁演杨逍。            
(3星)	 其实真的不怎么样            
(4星)	 周海媚的周芷若太正了，那眉间一点红，叶童演得好可爱，不悔，小昭，阿离都好棒啊！            
(5星)	 这才是我心目中的倚天屠龙记啊···            
(5星)	 最好看的一版。            
(5星)	 我是看着你长大的。            
(5星)	 一见杨逍误终身~            
(5星)	 多一星给杨逍。。。            
(NA)	 谁与我生死与共。            
