http://movie.douban.com/subject/1786743/	老房有喜
(4星)	 那时老希望赵薇和苏有朋是一对儿了！            
(5星)	 当初觉得苏有朋同学真是比较帅呆了。            
(5星)	        还记得那年的夏天，似乎整个夏天都弥漫着老房有喜的味道，看了一夏天，笑了一夏天，忘不了苏小鹏手上那花花绿绿的手绳，忘不了吉祥在小鹏家里画的那个大大的人，忘不了我那已经回不去的青春。            
(4星)	 赵薇把手贴在苏有朋轮廓里那一场让我难过了很多年            
(4星)	 颇为费解的是,小苏同学在这里面怎么这么帅?            
(2星)	 经典引语：“我要你知道，这世界上有一个人是永远等着你的，无论什么时候，无论你是在什么地方，反正你知道，总有这样的一个人。”            
(4星)	 现在想起来，总觉得这部电视剧很温馨            
(4星)	 苏有朋太帅太帅了            
(4星)	 当时在剧中苏有朋和赵薇带的手链红极一时啊            
(5星)	 10年之后我又放来看，多么纯真的年代啊            
(5星)	 如果vivi和友朋。。。            
(4星)	 啊哈哈，犹记当年（高一）拿着苏有朋的签名照在同学中招摇过市。。。这戏的场记是我表妹的堂姐            
(4星)	 哈。《最近比较烦》。            
(5星)	 当年觉得挺淳朴挺好挺感动的            
(NA)	 赵薇和苏有朋的外形在这个时期达到鼎盛，之后就双双残了            
(5星)	 我想要你知道，在这个世界上，永远会有一个人在等着你。            
(2星)	 这个剧当年也占据了不少地方台的黄金时段。            
(4星)	 我觉得很好啊！            
(4星)	 青春期记忆。            
(4星)	 赵薇古装好看，苏现代有戏。            
(4星)	 我还挺喜欢，看到最后感动落泪～            
(5星)	 老房子，那些纯净的眼神，那些纯真的爱情，轰轰烈烈，平平淡淡。。。喜欢ING，喜欢那些人，那个年代``            
(4星)	 话说，曾经我也对着苏小鹏流过口水~            
(4星)	 这个电视不错，看的时候有爱情的感觉。            
(4星)	 多温馨的回忆啊            
(5星)	 我真的觉得这部片子还不错来着            
(4星)	 多纯美呐            
(5星)	 真的觉得好看呀            
(4星)	 当时觉得苏有朋太帅了 而且完全摆脱了五阿哥            
(5星)	 当年看很high啊！！！            
(4星)	 当时完全就是冲着苏有朋和赵薇去看的。。            
(4星)	 苏有朋很帅。            
(4星)	 我从这部戏开始认识上海~~            
(3星)	 这部还行 真的 还好我没看那情深深雨蒙蒙 偷乐 这部比较自然的说            
(3星)	 当年的赵薇和苏有朋都好清纯。            
(3星)	 记得最深的场景就是赵薇最后看到苏有朋时，留下的一滴泪～～            
(5星)	 高二那年天气炎热时在福建东南卫视第一次看到，当时觉得情节很搞笑，电视剧里的苏有朋非常帅气！            
(NA)	 哈哈哈 看了个MV突然好想再看一遍这个啊             
(3星)	 上海人阿上海人            
(4星)	 想当年我是多么的喜欢·苏有朋啊······            
(5星)	 ..我觉得很好看啊。。。。            
(5星)	 怀念..            
(4星)	 那个时候，看完还珠格格好迷这个，多希望他俩能在一起，还计算过他俩接吻了几次，汗（─.─||）             
(NA)	 好看！            
(5星)	 好像一下子回到了小时候，就连电视剧里面的阳光都觉得好熟悉。99年的夏天不再有了，99年的南京不再有了，但是我们还有老房有喜。            
(NA)	 只能说，很怀念那年夏天和当时看这部剧的心情，可是再也回不去了，美好的让人心痛            
(4星)	 那时候觉得好好看            
(3星)	 很久之前看的了...            
(NA)	 挺怀念            
(4星)	 妈呀……当年的赵薇和苏有朋……            
(4星)	 那个时候我很喜欢赵薇            
(NA)	 这都有。。。            
(5星)	 好看啊，吴有财比较搞笑            
(NA)	 以前            
(4星)	 一直很爱看            
(3星)	 记忆中很有夏天的味道            
(4星)	 那时候很喜欢看= =            
(4星)	None
(4星)	 当年看的鼻涕一把泪一把啊            
(4星)	 当时觉得好看的不得了。            
(3星)	 还珠后的效应            
(3星)	 现在回想一下真是好雷啊。            
(2星)	 我以前看得还蛮欢乐的            
(4星)	 当时被苏有朋迷得五迷三道。NND，处女男是我死穴。            
(4星)	 给四星纯是为了那个年代的美好回忆            
(5星)	 超爱天天守着电视            
(4星)	 年轻啊·················回忆啊·················            
(5星)	 最最喜欢的一部电视剧！            
(4星)	 像初恋一样的片子            
(3星)	 当年从颜到气场都多么萌的两个人            
(3星)	 赵薇的头发总像是没洗的·我喜欢爷爷。            
(NA)	 小时候很喜欢哈...            
(4星)	 伤痕累累的青春啊。。。            
(4星)	 初中时候看的，当时觉得赵薇和苏有朋真配，呵呵。            
(4星)	 还珠后趁热打铁的一部。不过这片子里，苏小鹏简直就是苏有朋的真实写照。完全可以感觉到他的爱慕和心痛~            
(3星)	 也不知道当时为什么一个劲的希望他们俩在一起            
(3星)	 傻赵薇            
(4星)	 现在看 里面的扮相好土……            
(5星)	 大爱，那么多年，依旧            
(4星)	 想当年。            
(4星)	 当时有被赵薇的古装扮相惊艳到            
