http://movie.douban.com/subject/1786755/	冬日恋歌 겨울연가
(1星)	 看见裴勇俊咧嘴笑就想一鞋子扔过去            
(2星)	 又是残疾人，实在看不下去。            
(2星)	 贼讨厌裴勇俊导致看了两集就看不下去了            
(4星)	 最后一幕真让人心碎。            
(4星)	 我有段时间很迷裴勇俊..眼镜男..            
(5星)	 太经典了，太喜欢了！！            
(1星)	 崔智友和裴勇俊丑的简直天理不容啊。。。            
(4星)	 纯美爱情            
(2星)	 唉，这是我不喜欢韩国连续剧的代表作。。。爱情本身怎么会是这么自私又白痴啊？女主角还满身的无奈，委屈的要死。。。            
(NA)	 大一的那年让我知道什么是爱情的悲剧            
(4星)	 风靡一时，赚取了人们太多的眼泪，还好最终男女主人公走到了一起。现在还有条星星项链~            
(5星)	 高三时跟妈妈一起看的 嘿嘿嘿            
(3星)	 太长，太悲伤！            
(4星)	 白雪皚皚            
(3星)	 要不是顶着蓝色生死恋2的名头，我可不会看~~            
(3星)	 雪景不错，我竟然看完了……            
(5星)	 唯一看过的一部韩剧。哭得稀里哗啦的。            
(3星)	 成人童话故事            
(3星)	 还是很经典的            
(3星)	 小时候很喜欢。            
(NA)	 oops有裴勇俊的初一            
(5星)	 我一向不喜欢韩剧。这是为数不多的例外之一。也许是因为出现得太早，这部剧在我的生命里留下的痕迹，很深。            
(NA)	 高一。            
(4星)	 很喜欢女主角的气质            
(NA)	 其实只有部分是看的电视剧，不过把剧情简介看全了            
(4星)	 原声很赞。            
(4星)	 我很久没喜欢煽情的片子的,但是超喜欢这部,而且喜欢一个人安静地看,偶尔落点泪......            
(3星)	 所有的韩剧我无法突破一个极限就是 第八集就已经是我的极限了....提不起兴趣了之后的.虽然 有勉强自己知道结局,但是....结局是什么啊 到底........            
(3星)	 那一年我十五岁，他也十五岁……            
(1星)	 初中亲戚家 亲戚看得感动死 我都看火起来了转身走了 太傻×了 鸡毛个事纠结个半死 情投意合了那么点事算个屁啊 你们就不会干脆利落一点啊 一对烦逼 受不鸟 男女主角的样子也完全不在我的审美体系            
(NA)	 比是第一部逊色了，一滴眼泪也没掉。            
(3星)	 备忘Mark。那时老妈说要看韩剧，于是就陪她看了这个，结果我愣是看完了，我妈却嫌片长太叨逼。            
(5星)	 这么滥的故事拍得美轮美奂。真是神奇。            
(3星)	 大一时一度盲目暗恋过的学长推荐看的，但是熬死熬死也看不下去了，催眠良药啊～～            
(5星)	 快10年了 总觉得某些部分不大像韩剧 ,那种无奈绝对是真实的            
(5星)	 小时候看过的最最泪奔的东西T T，到现在都很喜欢裴勇俊温柔的笑容。许多人觉得外貌是肤浅的东西，我觉得相由心生，男人过了而立之年的容貌由性情负责            
(4星)	 我真心爱着一个女人，我希望陪伴着那个女人，一直到头发发白为止，我希望生下，像那个女人的孩子，当那些孩子们的爸爸，我希望自己成为我心爱的女人和孩子们温柔的手，成为他们坚强的脚....            
(3星)	 不对 这才是第一部韩剧            
(5星)	 千言万语万语千言，浓缩成一句话：花痴万岁！            
(NA)	 ···· 陪妈妈看的····            
(3星)	 不喜欢眼镜兄            
(5星)	 经典韩剧之一            
(3星)	 有那样一个人那样一段爱情，只有补全了就差最后一块的拼图，自己的人生才有可能圆满。            
(4星)	 唉~少女时代的爱好            
(2星)	 疯了这电视剧 慢死了            
(3星)	 哭死            
(3星)	 初三            
(NA)	 令人羡慕的爱情...            
(4星)	 其实也没看出什么来，就是哭的稀里哗啦的。            
(4星)	 初二，为了你，我连功课都不写了            
(4星)	 温暖的广播站，时断时续的看过            
(3星)	 戴着眼镜，帅气谦和，迷倒了一批师奶级的粉丝。可怜的柔真一直沉湎于过去的恋情不能自拔，无法忘怀。面对的圣诞节的失约，面对着昔日的恋人有了新的身份，面对着已经忘记她的民亨，如此心碎。主题曲悲悲切切，萦绕心头。            
(4星)	 裴勇俊越来越戆了            
(NA)	 踩着你的脚印 一步一步走下去            
(4星)	 师奶杀手啊啊啊            
(5星)	 裴勇俊 哥哥~~            
(2星)	 无论是故事还是拍摄都显幼稚的韩剧，只要挑几部有代表性的看就行了。            
(NA)	 温情。            
(3星)	 太啰嗦了            
(5星)	 这个算我韩剧最爱了..            
(5星)	 初恋的故事..            
(NA)	 让如此多的MM恋上裴勇俊            
(2星)	 腻啊            
(5星)	 看了Ｎ遍　            
(5星)	 从此爱上冬天            
(4星)	 不错。。。            
(4星)	 兄弟，别扮帅了            
(NA)	 记住雪景            
(4星)	 从头哭到尾，高中的时候吃饭时候看的~            
(4星)	 难得被韩剧感动下。            
(5星)	 ~也是经典 歌曲也很好听~            
(5星)	 这是我怀念的。            
(NA)	 娘亲某日在家吼.过来看啊过来看.你看.这是你最喜欢的美少年啊.本不想搭理的某人继续默默看书.娘亲继续吼,过来看看嘛.真的很美啊.你肯定喜欢的啊.我默默的放下书爬过去.指着电视问.哪个..娘亲手指指向裴勇俊大叔...当时我真的默了..默念...娘亲你我的审美习惯真的差的那么遥远么...后来貌似还陪着看过几集.话说.话说这电影是讲失忆的么...靠.韩国咋又失忆了...            
(2星)	 还是大学写生期间大伙凑一起看的            
(4星)	 太悲了，所以没看完~            
(3星)	 从没看过这么慢的电视剧            
(5星)	 笑容融化冰雪            
(3星)	 忘不了 惟珍的眼神与迷惘            
(2星)	 质量还不错。就是讨厌女主角，也想不通为什么男主角会那么红～            
(NA)	 有缘千里共婵娟,无缘对面手难牵.            
(1星)	 我姐姐以前那个对象经常捧着她的手呼气然后深情回望....两人笑作一团            
(4星)	 初恋            
(5星)	 看的第二部裴勇俊的剧集 看了两次 感动：）            
(5星)	 唯一我想要一看再看的韩剧,它真的有touch到我            
(2星)	 太扯了！！            
(3星)	 我妈非常喜欢裴勇俊！            
(4星)	 好象是我看得第一个韩剧  那时候特喜欢            
(4星)	 车祸之后大变身！            
(NA)	 高中陪着我妈才有电视看 什么都不挑的。。。还得跟她讨论剧情才行。。不然会被赶去做作业。。            
(2星)	 很无聊，不是很喜欢            
(NA)	 哦哈哈，冬日恋歌！            
(3星)	 是我瞎了还是怎样~我就是觉得裴勇俊丑死了~为什么广大中国女性都总是对他虎视眈眈~不就是一个文弱自恋近视的傻子么            
(NA)	 记忆中我看过哭得最厉害的一部韩剧，对两位主演含蓄又动情的演出印象很深，电视剧原声带也特别好听，找了很久最后还收藏了一盒，虽然是卡带~            
