http://movie.douban.com/subject/1787818/	红豆女之恋 내 사랑 팥쥐
(3星)	 初识张娜拉~~            
(NA)	 很久了，当时应该很喜欢，看的开忘的也快啊            
(3星)	 对主题曲印象深刻。。。。。。            
(4星)	 初中看星空衛視播的韓劇... 什麽都不記得了，反正中午放學回婆婆家吃飯的時候就會和表姐兩個人追看... 哦，還記得主題曲蠻好聽的。            
(4星)	 青春。            
(NA)	 也只是还好            
(4星)	 很喜欢主题曲。            
(NA)	 当时忽然就爱上了金在元的微笑            
(4星)	 就是那时候爱上金在元温暖的笑笑的样子~            
(4星)	 就是這部戲喜歡上張娜拉的 .. 只是 .. 現在不喜歡了 .. 時間真是無所不能 .......            
(3星)	 想不起情节了,只记得当时狠迷张娜拉的            
(5星)	 很有趣  我是其中一个该多好            
(NA)	 因为金在元，唯一不讨厌的一部韩剧            
(4星)	 虽然没看过这部戏的开头，但是还是被张娜拉可爱俏皮天真善良的模样所吸引~            
(3星)	 那时我纯情            
(NA)	 红豆女之恋            
(3星)	 很喜欢片尾曲 牵动情绪            
(NA)	 初二。。。            
(4星)	 050128 沅陵            
(NA)	 我怎么看过这么多韩剧？？？！！！            
(4星)	 在当时韩剧一片痴情无脑少东中，男2的性格设定算比较新鲜的。            
(4星)	 当年好喜欢看，也曾经喜欢张娜拉，不喜欢金在元，特别喜欢金来沅，好天然            
(4星)	 麻雀变燕子的故事,哈哈            
(3星)	 当年张娜拉很红，然后和何润东好了以后就不红了，哈哈            
(NA)	 原来我从小到大看了那么多韩剧.. 不喜欢这部            
(2星)	 張娜拉可以再做作一點            
(3星)	 不可思议。            
(1星)	 啊呀呀，我怎么看过这么多韩剧，我痛恨我自己！可是那几年电视台不停地在播，一不小心就会看到。我一直觉得张娜拉就像一个装小公主的“拉三”。一颗星是给金来沅的。            
(4星)	 挺欢乐的            
(NA)	 。。。为了金涞阮            
(3星)	 那两个沅我就没搞清楚过。我喜欢穿西装的            
(4星)	 那时候看得多入迷啊~还一直为张娜拉委屈抱不平呢。            
(5星)	 long long ago            
(3星)	 只能说一般            
(3星)	 很好笑。金在元的大牙            
(2星)	 一般都没印象了 不喜欢张娜拉            
(NA)	 很可爱温馨的片子            
(4星)	 啊 小时候跟哥哥姐姐在老家看的。。            
(NA)	 06年的暑假~~            
