http://movie.douban.com/subject/1790861/	神雕侠侣
(2星)	 那个时候任贤齐很红，糟蹋了很多大侠            
(2星)	 晕，吴倩莲简直就是最大的败笔            
(4星)	 很奇怪，我最喜欢这个最不像小龙女的版本……因为我觉得她最像小龙女……汗。。            
(1星)	 囧毙了！滚你娘的～～吴倩莲任贤齐丑的没话讲            
(NA)	 小时候的破电视台，居然放的最多的是这部！！！            
(1星)	 杨过？你确定这真的是杨过？我看导演是该悔过一下了~~~            
(1星)	 可以用恶心来形容            
(2星)	 实在给不出三颗星的剧 = = 童年恐怖回忆之一啊= =            
(1星)	 居然找任贤齐吴倩莲来演主角 金庸要哭粗来了            
(2星)	 我对吴倩莲没意见，但是任贤齐太他妈丑了，丑逼，丑死了，滚你妈的杨过，丑男            
(4星)	 吴虽然小眼可是十分贞洁。            
(3星)	 在厦门看的台湾电视台，第一次知道还可以这样拍金庸。呵呵呵呵。            
(1星)	 不堪回首！            
(3星)	 冲着主题曲，勉强3星            
(5星)	 我觉得还不错啊，读初中时候看的。            
(2星)	 你们太丑了--            
(3星)	 台湾版起码比雷人的新加坡版好太多！            
(NA)	 喜欢这一版多过古天乐李若彤那个。气氛很神秘吖。而且觉得吴倩莲更像小龙女。            
(NA)	 小学。            
(3星)	 唯一较完整看过的一部金庸电视剧，居然是公认最差的一部 囧，其实还好啦            
(3星)	 喜歡李立群啊            
(2星)	 吴倩莲阿姨还是演恐怖片的料子，小时候看见她怎么也联想不到小龙女            
(2星)	 总是觉得这这俩主角形象也不对路，相互之间也没有化学反应···            
(2星)	 姑姑是非洲来的阿啊啊啊啊            
(2星)	 当年被雷倒的电视剧之一。            
(2星)	 雷==            
(3星)	 这卡司我真是不想说啥了 = =            
(NA)	 又翻出來一個            
(NA)	 囧，台湾腔，不好看            
(2星)	 长太丑了            
(3星)	 吴倩莲。            
(1星)	 杨佩佩找这俩主角分明就是为了给观众找乐            
(NA)	 当时每个版本的神雕侠侣都会看，但是这部惊世骇俗的黑皮肤黑人小辫子版本的小龙女还是雷到了很多人…ps，当然我还是很稀饭倩莲姐姐            
(1星)	 糟蹋了吴倩莲            
(3星)	 痞子和小寡妇的组合！            
(NA)	 小齐哥人很好啦，但是还是。。。放过我吧QAQ  吴倩莲。。。。- -            
(1星)	 最烂的神雕侠侣            
(2星)	 我因为此剧非常恨杨佩佩，因为它把我对吴倩莲的爱全都毁灭了~            
(NA)	 偶然看过一些            
(NA)	 今个才想起还有这个版本 普通话 巨不标准            
(NA)	 当年年幼无知啊....            
(3星)	 最丑的杨过和最丑的小龙女= =            
(2星)	 都是任賢齊毀掉的            
(1星)	 那个烂啊，简直没有更烂了            
(2星)	 =。=任贤齐的金庸系列实在不敢恭维。。。            
(2星)	 任贤齐OTZ            
(2星)	 我不接受那么丑的杨过和小龙女。            
(2星)	 这根本是我这辈子看过最难看的神吊的            
(3星)	 小学六年级 不记得是哪个台放 每天早上六点半 边吃早饭边偷偷开电视看一会 看到黑漆漆小龙女 惊了 看到陈红带着大斗笠演李莫愁 又惊了 等看到杨过 彻底惊了             
(3星)	 这个版本其实一般~            
(NA)	 顺死我了            
(2星)	 不好看。尤其是和古天乐李若彤版的对比了之后。            
(3星)	 那只大雕也太。。。            
(2星)	 因为小齐，多给一颗星。。            
(NA)	 最难看的小龙女= =            
(2星)	 这是神雕中我最不喜欢的一部男女主角都那么丑不知道导演是怎么选人的            
(1星)	 巫婆版小龍女            
(2星)	 人物最丑的一部            
(3星)	 电视里放什么我看什么。            
(1星)	 杨佩佩这次很失败。            
(NA)	 这个太……            
(2星)	 只想说————没搞错吧............            
(2星)	 这版好难看！！！            
(NA)	 其实这是我最喜欢的小龙女版本            
(1星)	 只看了一点点就看不下去了...是要恶搞吗？            
(NA)	 任贤齐演戏那叫一个假            
(2星)	 毁了小龙女在俺心目中的形象            
(3星)	 主角气质跟原著形象明显不贴合嘛=。=            
(3星)	 一袭黑衣的龙姐姐啊。。。            
(1星)	 我那个晕啊。。            
(2星)	 真难看            
(2星)	 当年看过一些,然后放下了            
(5星)	 这版很好看啊！            
(3星)	 任逍遥            
(2星)	 姑姑 你为何要穿黑衣裳。。。。            
(NA)	 任太丑            
(2星)	 打扮太恐怖，效果也很烂            
(1星)	 谁来劈死丫的            
(4星)	 这是我看的第一版的神雕吧。一切的角色基调就从那时候奠定了。            
(2星)	 改編得蠻奇怪的            
(1星)	 扣四星为任贤齐            
(NA)	 尹志平1            
(2星)	 我觉得我就是从那个时候起讨厌任贤齐的。。。            
(NA)	 我看过的最杯具的版本= =            
(4星)	 唯一看过最多次也是最完整的神雕。  陈红的李莫愁神似原著            
(2星)	 就记得伤心太平洋了            
(3星)	 这一版的很山寨啊，但是歌曲好听··            
(NA)	 脱力系...            
(2星)	 真丑……            
(2星)	 记得看的很纠结            
(1星)	 =，=            
(2星)	 李立群的欧阳峰还不错啊            
(5星)	 很多人觉得这部不好，但有我最爱的吴倩莲，和当时最爱的小齐            
(2星)	 哈哈哈 小时候就讨厌这版呢              
(3星)	 虽然剧情不是很吸引人，但片头和片尾曲很经典！            
(2星)	 你，任贤齐，我当时就觉得你娘。            
(4星)	 其实我很爱这个版本...            
(3星)	 這個版本有點弱智。。。            
(1星)	 这版的神雕龙儿和过儿太有夫妻相了…            
(1星)	 OMG            
(1星)	 天雷滚滚。            
(3星)	 原来是吴倩莲啊。            
(1星)	 这就是最烂，没有更烂            
(2星)	 演员不漂亮            
(4星)	 怎么说呢？这是评价最差的一部，和原著差的也比较多。但不知为什么，还是对这部感情最深，演得最为朴实，花哨的东西很少。至少他们是用心的。欧阳锋演得非常好。            
(3星)	 剧情烂，男女主角丑            
(1星)	 第一个黑衣小龙女            
(2星)	 这才是雷中之雷。            
(2星)	 主要是人物雷了一点！            
(2星)	 话说当年很期待            
(1星)	 哦。。。杨过。。。小龙女。。。。你们好配            
(4星)	 虽然和原著出入太大吧……            
(2星)	 Hi雷            
(1星)	 看演员就知道有多雷了~            
(1星)	 小白脸行为值得推敲~~              
(NA)	 原来是杨佩佩拍的啊！！改编得最离谱的版本，但是也是印象最深的版本..我的童年～～            
(2星)	 太难看的小龙女 太难看得杨过了 我无语……            
(1星)	 忘记居然还有这个版本            
(5星)	 曾经很喜欢这部剧。            
(3星)	 我還記得宿舍一朵花帥哥同學憤憤不平的神情..憑什麼任賢齊張了一副大叔像..卻淨演些帥哥的角色..哈哈            
(3星)	 这个版本最好看！            
(3星)	 相比还是喜欢古天乐版本的，先入为主了。歌曲方面还是这本版本流传的广泛            
(3星)	 传说中的黑衣小龙女。            
(2星)	 失败啊失败  想把俩都掐死            
(5星)	 神雕侠侣我就喜欢这个版本的            
(2星)	 太莫名其妙了            
(1星)	 因为是任贤齐演杨过，所以很差很差。            
(NA)	 这样的小龙女和杨过，也许唯一登对的一点是—都那么不让人满意（限造型）但表演还好。            
(2星)	 这样的杨过 这样的小龙女 能接受？？？            
(2星)	 吐血之作……除了片尾曲勉强接受以外，啥都不看……            
(2星)	 很可怕...            
(2星)	 囧            
(3星)	 吴倩莲．            
(1星)	 丑得伤神            
(5星)	 最爱的电视剧。一听到主题曲就会心跳加速。。。            
