http://movie.douban.com/subject/1830130/	加菲猫 Garfield and Friends
(5星)	 国配超强            
(4星)	 这是我唯一喜欢的猫            
(5星)	 我是超级加菲迷            
(4星)	  无条件喜爱加菲，只是朋友们的故事略逊色了            
(5星)	 猪肉卷~ 嘿 欧迪            
(5星)	 大爱。            
(5星)	 我唯一喜欢的猫            
(5星)	 喜欢加菲猫，更喜欢牧场里的小朋友！            
(NA)	 Movie一边去~没看过cartoon和comic,别说看过加菲猫~            
(5星)	 这猫简直就是我            
(4星)	 贱贱的加菲            
(5星)	 猫才是这世界上最高智商的动物。            
(4星)	 无特别feel            
(5星)	 88年的动画2D版最经典            
(5星)	 这个是真正不错的 还特意借来漫画书            
(NA)	 非常贱的猫            
(4星)	 小学下午放学时候演            
(5星)	 过。            
(5星)	 偶像加菲            
(5星)	 給加菲的人生哲理和賤樣打10分吧。你值得這麼做            
(5星)	 有一阵子爱的要死啊            
(5星)	 今天先俯吧~            
(5星)	 我全靠这个驱散对爸妈离婚的恐惧 结果他们真的没离            
(5星)	 最喜欢的            
(5星)	 肥肥的加菲。            
(5星)	 大懒猫~            
(NA)	 谢谢ZY            
(5星)	 非常非常的喜欢            
(4星)	 很精彩            
(NA)	 加菲猫和他的朋友             
(NA)	 喜欢的动画剧集            
(5星)	 电影版的不够看啦，TV版的加菲猫才是无敌。记得是王刚配的音，真的，太妙了，加菲～球形也是一种身材，我相信。            
(4星)	 只喜欢加菲猫，不喜欢他朋友们的故事            
(5星)	 太偉大了            
(5星)	 经典。            
(5星)	 哲理啊！！            
(5星)	 肥肥，爱老虎油~~~么么            
(NA)	 kawaii            
(5星)	 这才叫智慧！            
(5星)	 这个非常非常喜欢，招人爱的家伙            
(5星)	 小猪我爱:)            
(5星)	 我最爱你～            
(NA)	 养猫就养加菲猫            
(5星)	 作为加肥忠实的粉丝            
(5星)	 加菲猫是除了侑子姐姐外我最喜欢的动漫形象！            
(5星)	 家肥猫～～            
(5星)	 童年最爱的动画！！当年我就是坏蛋控，爱死这只狡猾的坏酷肥猫哦哦！            
(4星)	 因为我和加菲一样懒            
(5星)	 大爱            
(5星)	 看过这个是必须的            
(4星)	 这只猫在我梦想的范围里面~            
(5星)	 太爱了欧....那只狗~~~&gt;&lt;            
(5星)	 我最喜欢那个带游泳圈的鸭子。。。啧啧，连那个游泳圈上都有鸭子啊。。。            
(5星)	 小时候就想和这猫一样懒。            
(5星)	 偶爱加菲            
(5星)	 太赞了啊，不过我看的可能不全            
(5星)	 还是很可爱            
(5星)	 爱死            
(5星)	 我的最爱            
(3星)	 喜欢            
(5星)	 我爱他一生一世= =            
(4星)	 除了加菲猫部分，对其他的兴趣不大~~            
(5星)	 爱情来得快去得也快，只有猪肉卷是永恒的            
(5星)	 最爱~~~            
(5星)	 竟然有人打一星？！            
(4星)	 童年的回忆            
(5星)	 加菲~~~~猪肉卷~~~~~~            
(NA)	 曾经有玩偶一只。            
(5星)	 大胖子            
(4星)	 买过全套没看完。。。            
(5星)	 加菲猫和它的朋友们            
(5星)	 难得喜欢一部美国动画。至今还喜欢。            
(NA)	 无感            
(3星)	 其实不是很喜欢钾肥            
(5星)	 加菲猫 Garfield and Friends   懒洋洋的哈            
(5星)	 球形 也是一种身材            
(5星)	 欧弟！            
(5星)	 小时候的大爱,就想像加菲猫一样地生活~~            
