http://movie.douban.com/subject/1830586/	天下第一
(4星)	 诶呀一刀和海棠很有爱。            
(NA)	 上官海棠。叶璇饰演这类英气女子是毫无抵抗能力。            
(4星)	 只挑霍建华的部分看~这里的叶璇蛮好            
(4星)	 最喜欢海棠和归海一刀了，居然是个悲情结局  orz  另，飘絮也很漂漂~            
(4星)	 上官海棠 很喜欢很喜欢的女子 自创世纪的Hellen后            
(3星)	 霍建华的睫毛……            
(4星)	 好爱啊！！！！！！！！！！霍小哥美一逼啊！！！！！！！            
(5星)	 其实我觉得不错啊……很久以前看的了            
(3星)	 看了两集，不算差            
(4星)	 当年笑屎了            
(3星)	 记得那时候大家都是为了看陈冠希......结果刚出来就死了==            
(3星)	 张同学戏份太少了            
(4星)	 啧啧    当时   迷啊。            
(NA)	 那麽多人愛葉旋            
(2星)	 很烂但挺喜欢霍的            
(2星)	 看过，觉得一般，我不喜欢。            
(NA)	 补遗               
(3星)	 剧情太飘了~            
(1星)	 看了最后一場廝殺，會覺得是在看超現實主義電視劇。我是很無奈的斷斷續續看完的            
(2星)	 投资巨大啊，那么多明星。可是还是一烂片。幸好就看了最多30分钟。            
(NA)	 张卫健            
(2星)	 奔着璇MM去            
(NA)	 以前的班长每天都要看这部电视剧，估计看过１０遍以上－。－            
(NA)	 当时被霍建华迷的死死的-________-&#39;&#39;             
(4星)	 好喜欢归海一刀            
(2星)	 。。。            
(3星)	 为了叶璇和霍建华。这对搭得真纠结。闷骚男配机智女。喜欢俩人的对手戏。            
(3星)	 当时挺爱看，就是李亚鹏不待见            
(4星)	 好看啊···当年觉得            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 卡司很强大。。。            
(5星)	 我大爱啊啊啊啊啊啊啊啊啊啊            
(1星)	 深呼吸继续打哦            
(4星)	 霍建华好帅~\(≧▽≦)/~            
(3星)	 为什么素心死的时候我哭了？~~~为什么  这是为什么？？？？？？？？？？？？？？？？！！！！！！！！！！！！！！！！！！！！！！！！！！！——因为内时候我太小了  导演都是骗小孩的            
(2星)	 哎……可惜了叶璇和陈仪容            
(2星)	 弱智电视剧            
(1星)	 好傻的片子。。            
(3星)	 囧。。。            
(3星)	 安啦安啦 才知道是王晶的戏 怎么觉得很不王晶            
(4星)	 后来 我居然看上瘾了。。。            
(4星)	 超级华丽丽~            
(NA)	 其实我还蛮待见的            
(NA)	 挺好看的~叶璇好美~            
(4星)	 看了会微笑的喜欢，呵呵。            
(NA)	 霍建华好帅，叶璇也是角色和她很符合。郭晋安也好。不喜欢陈怡蓉。            
(3星)	 电视剧             
(NA)	 冲着很多人喜欢.霍建华,叶璇,高圆圆.只是没有预想的那么好看.有点难过.有个很长的舌吻.            
(4星)	 这部霍霍自己说是演过印象最深的之一~特地来看，冷血一刀确实不错，可是为什么一到感情戏就立刻把他打回原型，感觉像在看偶像剧呢...剧情有一些玛丽苏的概念了，叶璇集万千宠爱于一身，还好不太露骨，否则看不下去了。。。演员阵容强大，看着挺舒服的，连李亚鹏黄圣依也没那么讨厌了，真不容易。。。            
(2星)	 只有霍建华还能看            
(5星)	 五星是给霍建华和张卫健的            
(3星)	 2005            
(NA)	 请改名→有情人偏不成眷属            
(4星)	 算印象比较深的一部电视剧了            
(4星)	 叶璇就这样死了            
(NA)	 叶璇男装好看……但是也就剩下这了，和霍建华的感情戏虽然唯美，却让人感觉幻肢疼……都怪情节渣，慎入。            
(4星)	 嗯 归海一刀很帅的            
(3星)	 陈怡蓉有胡子！！！            
(3星)	 干嘛把人都搞死嘛（┬＿┬）            
(3星)	 很多年前了吧。。            
(3星)	 也就看归海一刀，海棠，铁胆神侯三个人            
(3星)	 乱七八糟的剧情。。不过看着就那样吧~            
(4星)	 初中时候看觉得霍建华好帅啊            
(NA)	 这个我喜欢那个陈怡蓉和郭晋安的组合~~            
(3星)	 当年认认真真看完了的            
(3星)	 回忆！            
(4星)	 海棠死的时候。啧啧。            
(4星)	 记得当时非常爱看            
(3星)	 海棠。            
(NA)	 张卫健TT 我要哭了，张卫健是电视剧之王么。那段时间。我已经累的不想在看张卫健了。            
(3星)	 叶璇和霍建华那条线啊 心头痛啊            
(4星)	 如果忽略剧情、陈怡蓉和李亚鹏的话，还算不错            
(5星)	 就是爱！！！！！！            
(4星)	 叶璇啊~            
(4星)	 一刀啊一刀，海棠啊海棠，有情人未眷属，唉。            
(5星)	 没从头看到尾，但是蛮喜欢他里面的扮相！听高说的就很好O(∩_∩)O哈哈~犀利哥O(∩_∩)O哈哈~            
(3星)	 上官海棠，归海一刀～            
(NA)	 黑色？            
(NA)	 我那时还挺喜欢这部电视剧的说~            
(3星)	 李亚鹏在这个里面还算正常            
(4星)	 就喜欢海马的古装，英姿飒爽。            
(4星)	 挺喜欢霍建华的。            
(4星)	 虽然剧情有点扯 不过还是好好看             
(3星)	 哎呀 海棠这个角色真是喜欢~~~就是这个李亚鹏 咳咳~            
(3星)	 刘松仁还是那么MAN叶璇还是那么抢眼第一次发现华仔可以这么High（现在改名叫霍长卿了TvT）张卫健还是那么无厘头扯淡（虽然只是龙套）郭晋安还是会有傻剧情其他人基本忽略了            
(3星)	 不明白编剧是怎么写的，忒脑残了            
(NA)	 看完了但还是觉得没看完            
(NA)	 我怎么就那么喜欢看一刀和海棠……一刀啊一刀啊一刀啊一刀            
(3星)	 以后不能了.......            
(2星)	 雷人··            
(3星)	 看到最后好人突然变坏人把当时还小的我给吓了···            
(4星)	 冲着我高中还是初中追它追的那么勤快回忆加分= =我爱郭晋安！            
(4星)	 为叶璇多加两颗星星            
(5星)	 多年以前看过的一部电视剧 印象很深 给个五星吧            
(3星)	 纯粹为了看霍建华···            
(4星)	 你不是天下第一，却是她心中的第一。            
(4星)	 剧情脑残，衍生剧情美            
(4星)	 海棠海棠海棠……！叶璇男装太美了~~~~~~~~~~~            
(3星)	 王晶老了。不复当年了。            
(3星)	 好像在富阳的时候经常看这个            
(3星)	 一刀！            
(4星)	 以前真真喜欢这样的故事！！            
(NA)	 当时我好叶璇            
(NA)	 爸爸比妈妈喜欢            
(3星)	 2004年看过，剧情挺烂，不过场景很美            
(2星)	 懒得说了            
(3星)	 很傻的            
(NA)	 全班六点档，－－            
(3星)	 冲着叶璇去的。她女扮男装真有说不出的英气～            
(3星)	 黄圣依....呕！            
(5星)	 海棠，非常喜欢这样的女孩            
(3星)	 叶璇的女扮男装还是很俊俏滴。            
(3星)	 反正加了个李亚鹏就绝望了。。。            
(4星)	 我真的觉得也还好看（殴            
(NA)	 虽然电视剧其实就是肥皂剧……这部也不例外……可是美女帅哥好养眼啊…… 我喜欢霍建华的“小鹿乱撞”，我被黄圣依彻底惊艳了……            
(3星)	 这部戏里的李亚鹏一点也不讨人厌。感觉他没招谁惹谁却被很多人讨厌，很冤。            
(2星)	 实在是乱七八糟            
(3星)	 叶璇和霍建华的戏份太少了            
(4星)	 不错...            
(3星)	 不太喜欢里面的高圆圆            
(3星)	 帅哥美女哗啦啦。            
(3星)	 发现合拍剧大多不怎么样。如果不是因为我们家璇，我是不会去看的。当然，璇在剧中的演技是一流的，男装帅气，女装漂亮。可惜没看到粤语原声版本。            
(3星)	 喜欢海棠，云罗越来越美了            
(4星)	 钟爱海棠一刀            
(NA)	 想当年 咱HC霍建华的时候 那叫个疯狂啊   1刀1刀...  我们班的女生呦..            
(3星)	 Parts..            
(3星)	 总算有一部可以给三星的古装片了……            
(3星)	 当初为了看霍建华...剧本身比较呆...            
(4星)	 NND这部根本就是忽悠人，张卫健有出现镜头的还不到半集            
(NA)	 有些做作，只是为了看帅哥和美女。            
(3星)	 这个..纯粹看看风景            
(4星)	 为了叶璇打了四星            
(NA)	 喜欢张卫健这个男人            
(5星)	 结局太惨...            
(3星)	 很有玩网游的欲望            
(NA)	 节奏很快，剧本还行            
(4星)	 喜欢里面的 霍建华 / 高圆圆 / 黄圣依            
(NA)	 我喜欢归海一刀            
(NA)	 为了海马撑到最后...            
(3星)	 。。。。。。。。。。。。。。            
