http://movie.douban.com/subject/1863923/	鹿鼎记
(5星)	 在黄小明的映衬下~小春更加光辉~哈哈            
(NA)	 比较喜欢这个版本中陈小春的各种幻想镜头            
(4星)	 比较经典，陈小春和马浚伟的配合挺不错的，这七个老婆一般了点            
(4星)	 没看过梁朝伟、刘德华版，在看过的版本里面，这部是最精彩的。陈小春和马浚伟的表演很好，就是七个老婆长相都普通了点~~            
(5星)	 真真把查老的本子演活了。            
(5星)	 陈小春版的小桂子和马浚伟版的小玄子经典中的经典            
(NA)	 超喜欢这一版的鹿鼎记～            
(5星)	 经典中的经典。            
(4星)	 蛮经典的...看过好多次了...陈小春和韦小宝的气质实在太符合了...美女挺多的...            
(4星)	 陈小春的痞气无赖，马浚伟的文弱康熙，真是比梁朝伟版的差不到哪去吧            
(5星)	 虽然女人都很丑，虽然不小心看了太多遍，但是比起SB明的版本，这个还是很好看。            
(3星)	 小流氓，变叱咤红人。            
(5星)	 狠不错的韦小宝            
(5星)	 灵鹫得经，阿弥陀你的佛！～            
(4星)	 这应该是经典了。            
(4星)	 陈小春的版本还是和韦小宝的鬼马很大。黄晓明同学的至今没敢看~            
(4星)	 还是这版顺眼            
(3星)	 受不了这剧，能拍成这种低俗剧，金庸先生不知做何感想！            
(5星)	 百看不厌电视剧            
(3星)	 各大电视台轮番重播~严重疲劳ING~            
(3星)	 I like~            
(5星)	 无敌了            
(4星)	 这版堪称经典。看第二遍，脱离小说而观，陈版韦小宝好玩依旧，但钻营圆滑之能，则更多靠运气，可学性并不强。每个男人心里的老婆都有一个双儿，每个男人的理想都有一个韦小宝。而每个女人心里的老公也有一个人，那就是杨过。所以我喜欢杨过，只因为他眼中只有姑姑。            
(5星)	 最近又开始看~            
(4星)	 都是小学了            
(4星)	 最喜欢的版本。            
(NA)	 我想当韦小宝，为什么要一夫一妻制            
(4星)	 百看不厌            
(5星)	 蛮经典的一版            
(2星)	 男主角这德性就别嫌弃演老婆的丑了            
(5星)	 印象太深了            
(5星)	 我最喜欢这个版本的韦小宝，比黄晓明强百倍            
(5星)	 以那个年代来看，已经非常棒了            
(5星)	 耍宝！！！！！！！！！！！！！！！！            
(5星)	 至今看过最好的一个版本的~            
(5星)	 http://v.youku.com/v_show/id_XMjE1Nzc2Njg=.html            
(4星)	 经典版本            
(4星)	 还是蛮喜欢陈小春的啦            
(5星)	 属于80后的经典之作            
(5星)	 《鹿鼎记》还是这版最经典。            
(5星)	 喜欢            
(3星)	 分是给马浚伟的            
(5星)	 经典的小宝+纯情变霸气小玄子+最爱建宁            
(5星)	 还是最喜欢看陈小春的这版。            
(4星)	 演的最好的一个韦小宝，除了星爷那个外            
(4星)	 那时候马俊伟还是白面小生一个阿，算是我见过最帅的少年皇帝了。陈小春么，在心里已经上升到一定境界了。            
(4星)	 断断续续。            
(NA)	 05年参加完中考，就狠狠的买了碟片，1气看完……            
