http://movie.douban.com/subject/1864236/	水月洞天
(4星)	 真的，我真的挺喜欢看的。            
(1星)	 周易三宝真是俊俏            
(NA)	 南昌地方台播的无名电视剧之一。魔咒是：南昌台总比其他台早播2、3年甚至4、5年，然而默默无名；过了2、3年甚至4、5年，其他台开始后知后觉播放，红遍大江南北。这就是命啊！            
(2星)	 雷！            
(1星)	 脑残到无语...            
(NA)	 补遗               
(2星)	 我真的觉得不好看~            
(NA)	 Ada你别这样啊。。。            
(4星)	 我记得以前看的很起劲啊。。哈哈哈哈哈ORZ。。。。            
(1星)	 有波波，不解释            
(5星)	 俺看的都是狗血剧！            
(2星)	 超垃圾的戏啊..小时候没得看了 才看得。            
(1星)	 不得不打            
(1星)	 山寨片            
(2星)	 还是因为ADA            
(1星)	 03年04年            
(NA)	 陈法蓉在及格线上面，其他都在及格线下面……真是不忍目睹的餐具……            
(4星)	 很曾经            
(3星)	 蔡少芬和她老公……虽然她老公演的基本是个傻子            
(NA)	 蔡少芬和陈法蓉是怎么想的            
(NA)	 其实我一直喜欢天雪…            
(NA)	 蔡少芬的造型实在是让人无语凝咽啊==、            
(4星)	 曾经很喜欢的电视剧。。            
(5星)	 矮唷~ 曾经迷得一塌糊涂(～ o ～)~zZ            
(3星)	 我妈死喜欢看            
(4星)	 好喜歡陳法蓉啊當時            
(3星)	 这帮人后面还折腾了不少魔剧。ADA就是在这里和张晋看对眼的吧？            
(3星)	 于波这个时候走得还是偶像风，一颦一笑拿捏讨巧。不过我却最喜欢老三张晋，没想到没多久他就和我喜欢的蔡少芬走到一起。蔡少芬的豆豆，又是一个古装剧里为爱勇敢善良的女子。            
(4星)	 想当年天天看            
(3星)	 无聊啊~~~~~~            
(3星)	 Ada和陈法蓉真美！拍这戏糟蹋了！完毕！            
(3星)	 导演编剧都是SB啊， 不停的制造感情误会， 妈的全是听一半话就误会的，看的恼火。             
(2星)	 剧情烂 看美女            
(1星)	 唉，其实我真的喜欢赵云啊……            
