http://movie.douban.com/subject/1876781/	越狱  第二季 Prison Break Season 2
(5星)	 抠墙壁的大叔们历险记II            
(5星)	 比第一季好 我喜欢            
(3星)	 第二季就是硬着头皮看完的            
(3星)	 又看下去了，囧            
(3星)	 愚乐            
(4星)	 尽管人类对紧张和悬念总是保有极大的热情。但热情总会消减            
(3星)	 哦哦哦,好看,但好象不是电影啊            
(3星)	 现在继续每个星期跟着这部剧集，无非想知道编剧想编成几季而已。:)            
(2星)	 那个亚裔每次出场，我都有2楞子的感觉。此集木有监狱。            
(3星)	 于是第二季就残了啊            
(2星)	 2.22            
(4星)	 061017ep7            
(4星)	 挺棒的            
(2星)	 不说什么了            
(4星)	 喜欢            
(4星)	 接第一季，一口气花了好几个通宵看……一级一级，累死了！可惜还没有结局……            
(4星)	 圣诞节前只会出１３集，确定？            
(4星)	 很棒的,集集追~            
(4星)	 集各种悲剧于一身。            
(2星)	 编剧的脑子开始进水了            
(3星)	 好的编剧剧本太重要了~            
(3星)	 追到这一季的11集就没有忍下去了            
(NA)	 开始狗血了！            
(4星)	 还是很不错的！            
(4星)	 逃            
(2星)	 BUG、穿帮一堆堆，人物翻脸像翻书，性情大变毋须因由，男主角突然智商降到60以下，个个蠢到无与伦比。情节安排生拉硬扯，牵强附会，实在看得气不打一处来。            
(5星)	 爱上paul kellerman            
(4星)	 离谱太他妈离谱            
(4星)	 Linc终于无罪了，可是Machial该怎么办啊？            
(NA)	  越狱 第二季            
(5星)	 越狱             
(4星)	 有点拖，散            
(NA)	 乱了点。            
(3星)	 已经不如第一季了～            
(3星)	 看时挺激动，看完觉得也就一般吧，比第一季那股风头差远了。            
(3星)	 失望的一季…………相当失望。            
(5星)	 和第一季同样精采            
(NA)	 一般            
(NA)	 亢奋、亢奋~            
(4星)	 没有第一季精彩，却也扣人心弦~            
(4星)	 第二季成就了T-Bag            
(NA)	 彻底被这个男人折服!!....眼神杀人啊...汗~&gt;_&lt;            
(4星)	 很刺激哦~~            
(2星)	 傻逼电视剧            
(4星)	 血腥场面有增无减.            
(4星)	 男主是7国混血也..            
(NA)	 又要等到1月份``哎```````            
(5星)	 逻辑推理，紧张刺激，不是肥皂剧能表达的吖。            
(2星)	 冬瓜的眼泪真不值钱= =            
(4星)	 比第一季少了张力            
(5星)	 我爱的男人。            
(5星)	 同样好！            
(5星)	 比第一季好，但还是啰嗦            
(5星)	 马宏很帅。            
(5星)	 没第一季好看..不过还是看完了            
(3星)	 不好看……剧情发展的很神            
(NA)	 编下去了。。。            
(4星)	 看到那结尾 就果断不再追了。。            
(5星)	 2008.3.1/2010.6.5-7            
(5星)	 Kim探员的遭遇告诉我们：装逼者死于非命。            
(5星)	 其实我最喜欢这一季            
(4星)	 又一天没自习。。。。看完了，不看剩下的两季了。。。            
(4星)	 第一季过于经典，导致续集总是让人感叹不如之前。            
(5星)	 好煽啊囧囧囧            
(4星)	 这一季是我最喜欢的《越狱》            
(4星)	 和第一季比起来，四星半。第二季还是不错的，新人物的出现的确使人眼前一亮，悬念的力度也很高，各演员表演的水平也不输于第一季。但是，由于故事平台的扩大，张力肯定比第一部要略微扩散，情节上的漏洞也开始存在了。            
(5星)	 我们都在越狱            
(5星)	 拖沓，如果没有TB，我真的一度想放弃            
(4星)	 越狱就是从这季开始走下坡路的            
(4星)	 林大块头真讨厌            
(NA)	 哎。又进去了。            
(3星)	 好吧,我承认还可以,但是已经出现不合理的硬伤了...            
(NA)	 美剧            
(4星)	 第2季            
(3星)	 似乎是一种潮流            
(NA)	 唯一的亮色就是alex mahone            
(3星)	 难道长篇电视剧都有这个弊病？为什么都后半段我看得很辛苦？据说第三季更没看头，编剧大人，拜托~~~            
(5星)	 第二 比第一好多了 酷毙了            
(3星)	 地球是个大监狱，你们慢慢玩。            
(5星)	 My dearest Went            
(3星)	 越来越拖沓            
(NA)	 尽都是逃跑—被抓—逃跑～～没意思咯            
(4星)	 越狱在外，怀念高三时每个礼拜等越狱看越狱            
(2星)	 真是佩服编剧胡扯的功力啦            
(3星)	 到了第二季就不好玩儿了……            
(4星)	 没有第一季逻辑感好，但依然吸引人            
(4星)	 相比第一和已出的第三季三集 第二季稍逊一筹 不过同样精彩。            
(4星)	 见第一季。            
(5星)	 呵呵，这个是在电视上看的，比较先进的放的还是原声的，没有那万恶的配音，看起来就是爽诶~            
(NA)	 糙            
(5星)	 好帥啊...wm...            
(NA)	 爱.            
(5星)	 没第一季精彩            
(2星)	 真是有点囧            
(4星)	 逃狱后的种种状况...            
(3星)	 摆脱了重头的监狱戏 有点开始拖 情节发展开始深入 值得期待 Paul是个大好人            
(4星)	 第二季如期到来，我开始怀疑它会不会像日本动画片那样越来越拖，越来越托。。。真的不想一个救哥哥的故事也整个9季来啊，还好第二集没让我失望，特别喜欢mahone            
(4星)	 主角好帅的            
(4星)	 不如第一季            
(4星)	 逃啊逃的            
(3星)	 有点难看起来了，太巧合化，做作            
(3星)	 很拖...不过让我喜欢上了Kellerman            
(3星)	 帅            
(NA)	 好看。等待三。            
(3星)	 看了之后没有欲望看第三季了。            
(4星)	 没第一部好看 情节越来越拖沓了            
(NA)	 lincoln无敌！！            
(4星)	 我必须得认识一下希腊字母            
(4星)	 木有第一季好看            
(NA)	 想看第3季了            
(3星)	 腻乎……太腻乎了……            
(5星)	 还能说虾米..我滴小的的.太帅了~            
(5星)	 第三季 等待中。。。            
(3星)	 rmvb            
(2星)	 看到吐...            
(NA)	 恩 没迷            
(3星)	 鸡肋了            
(5星)	 N个好看!M个精彩!!            
(NA)	 ?????            
(NA)	 美国 电视剧 帅气 越狱            
(4星)	 感觉逊色很多的第二季。可是我还是把它看完了。喜欢Scofield和Sara的那一段。是整部剧里最柔的部分。Scofield从来都没有慌过。当Sara无法和他们一起去巴拿马的时候，我看到了Scofield的软弱。God, they&#39;ve suffered too much...            
(3星)	 放到最后有些情节太过烂            
(5星)	 感觉比第一季好，起码场景不都在监狱里，视觉没那么闷了。            
(NA)	 这个片子觉得挺精彩的。但不知为何在美国跌出了前二十            
(4星)	 第一季更加紧张惊心动魄~            
(5星)	 故事的情节非常好，让人欲罢不能。            
(4星)	 还是很刺激啊            
(3星)	 后面如同鸡肋。            
(4星)	 第二季情节开始没劲了，TBag因此更吸引人，毕竟演得好啊            
(5星)	 觉得还是1比较吸引人哦            
(NA)	 裤兜            
(3星)	 对斯科菲尔德对萨拉的感情之负责印象深刻,但个人还是喜欢那个可爱的疯子,^_^另眼看世界...下面转一篇帖子: 大胆猜测：《越狱》主角的命运掌握在疯子的口中……试试破解越狱第二季的结局：疯子的话可能就是密码      剧情发展不确定因素实在太多了，但目前可以肯定的是，因越狱的目的已经达到，D.B.COPPER的钱也已经找到，M.S狱中的狱友的形象也已经成功塑造到观众耳熟能详了，他们不可能对剧情的发展有太大的作用，肯定会逐步淡出，这是毫无疑问的。第二季剧情的继续很大程度上是在清理这些不            
(5星)	 绝对精彩的剧集 第二季的发展让我更加期待它的后续发展            
(5星)	 ！！            
(4星)	 包工头的榜样            
(4星)	 我竟然看原版的，幸好我可以连蒙带猜啊．．．．．．．            
(NA)	 S2已经让我失去追下去的激情了...            
(3星)	 后面变得好看点            
(5星)	 恩,很好看            
(NA)	 标回来            
(4星)	 虽然没有第一季好看，但依然精彩！            
(NA)	 不置敌人于死地 就等着被敌人置于死地            
(4星)	 想赶紧看第三季。。。恶补啊。            
(5星)	 我的心呐            
(4星)	 第一季经典到不行，到了第二季编剧终于开始脑脱水，估计快编不下去了，虽然剧情不够精彩了不过还是不错看的，这次又进了监狱我真想骂娘究竟要逃到什么时候！我忍。。。继续追            
(4星)	 女医生死了 心碎...            
(4星)	 编剧不给力，米帅依旧给力，主要是第一季太完美。            
(4星)	 累死了，第三季不看了。结束这学期疯狂看剧活动。            
(4星)	 第三季可以不用看了~~            
(5星)	 熬夜的时光 还推荐给我爹了呢！！            
(NA)	 没第一季帅了            
(4星)	 不能说比第一季差多少，故事依然很连贯紧张，但是故事中的角色无论是正反方似乎都变成了超人，有疑惑的地方还是蛮多的，不一一赘述了，有些审美疲劳了吧，看到第二季就算了。喜欢T-bag这个角色。            
(NA)	 这个太随心所欲了伐..            
(5星)	 逃了出来之后依然很精彩            
(4星)	 不合理之处增多，情感戏增多，张力减弱。不过几乎都在情感能理解的范围内。            
(NA)	 温吞            
(3星)	 唉……            
(5星)	 米勒米勒~~~            
(4星)	 第二季也还凑合。            
(4星)	 好爱T-Bag...            
(4星)	 继续补            
(3星)	 season2以后便再也没看过了。。。            
(5星)	 第一季是天才的灵光一现，第二季才验出编剧的真正水平，膜拜一个            
(3星)	 第二季就疲软了            
(4星)	 蛮好看的，我不觉得哪里不好            
(4星)	 第二季还有四星水准，有最开始我很不喜欢的mahon，还有TBAG悲情的一面。。。还有，linc就是一傻逼            
(5星)	 我好爱迈克哦            
(4星)	 我总觉得这些斗争经验都是以后用得上的……            
(4星)	 我的大二            
(2星)	 越扯越看不下去            
(NA)	 很man的哥哥            
(2星)	 一季不如1季  没紧凑情节            
(3星)	 续集一般都差点儿意思            
(5星)	 三峡大学4#307            
(4星)	 终于还是变成寻宝故事了            
(NA)	 只要回想这部电视剧，就告诉自己人可以变得越来越聪明。            
(4星)	 不如1            
(3星)	 凤凰台在放            
(4星)	 内容挺丰富，但实在是很罗嗦……            
(3星)	 没第一季好看 后面的就没再看过了            
(NA)	 偏偏不让它大团圆，            
(4星)	 当年还是很执迷的            
(5星)	 昨天一口气看了第一季的十集，今天接着看第二季。。。真的受不了            
(5星)	 出了FOX RIVER、、也还是很精彩的~            
(4星)	 PB的輝煌，大概從此時正式開始            
(5星)	 我想m和s永远在一起。。            
(NA)	 哦也 开始看            
(4星)	 刚看完第一季，别的不说，我就是感叹编剧的功力，这种东西我恐怕一辈子也写不出来，他怎么编织出这张关系网的？scofield其实不需要什么演技，你只需要面无表情就可以了。            
(4星)	 2009.DVD            
(4星)	 Mahone大叔~            
(5星)	 个人最喜爱的一季，相当精彩，高潮迭起，看不停歇。。            
(5星)	 classic!  深深爱michael那一句&#34;about  before, me too&#34;            
(4星)	 米帥。            
(4星)	 也就那样吧，一般，小腻歪了            
(4星)	 也是不如第一季了            
(3星)	 续集一般都不济？            
(5星)	 太棒了            
(5星)	 说啥也没用，编剧就是神一般的存在啊！             
(NA)	 挑战老子心脏。            
(4星)	 兴奋在保持            
(4星)	 越狱以后的逃亡．．．生活，才能使人卓越的成长．            
(NA)	 编剧极牛。            
(5星)	 大逃亡            
