http://movie.douban.com/subject/1899616/	与青春有关的日子
(5星)	 高洋没死，警察找方言只是在高晋的帮助下跟方言开的一个玩笑，未婚；方言当作家了（影射的是王朔本人），未婚；李白玲因乳腺癌死了；百珊嫁人了（当然不是葛南征），生有一女；卓越因救高洋在广东被扎死；冯裤子拍电影去了（影射的是冯小刚）；汪若海开酒店出了几本书(影射的是海岩）；许逊和乔乔因敲            
(NA)	 我们的青春就像一个忧伤的小婊子,总是在不要脸的美丽,严肃的不正经着!            
(5星)	 我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月，有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。我们敏感，我们偏执，我们顽固到底地故作坚强；我们轻易的伤害别人，也轻易的被别人所伤，我们追逐于颓废的快乐，陶醉于寂寞的美丽；我们坚信自己与众不同，坚信世界会因我而改变；我们觉醒其实我们已经不再年轻，我们前途或许也不再是无限的，其实它又何曾是无限的？曾经在某一瞬间，我们都以为自己长大了。但是有一天，我们终于发现，长大的含义除了欲望，还有勇气、责任、坚强以及某种必须的            
(NA)	 我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月，有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。我们敏感，我们偏执，我们顽固到底地故作坚强；我们轻易的伤害别人，也轻易的被别人所伤，我们追逐于颓废的快乐，陶醉于寂寞的美丽；我们坚信自己与众不同，坚信世界会因我而改变；我们觉醒其实我们已经不再年轻，我们前途或许也不再是无限的，其实它又何曾是无限的？曾经在某一瞬间，我们都以为自己长大了。但是有一天，我们终于发现，长大的含义除了欲望，还有勇气、责任、坚强以及某种必须的            
(4星)	 我不DJ佟大为。            
(5星)	 说实话因为太长了一直没看全过啦。。 最喜欢里面掐琴的几集            
(2星)	 呃，我不否认，我也不曾停止过对80年代的YY。那么看看那年的那些雪月风花也是可以消遣的。做的也像亢奋期的猫。大家都这样，说起来就来劲。连恶意往人身上吐痰都被美化得自然到让人觉得不可思议。            
(4星)	 后面7、8集有点嫌扯，但无大问题            
(5星)	 看过一遍了，最近又在看！            
(4星)	 美好的童年~~            
(4星)	 演员选的太老，剧情有些拖沓，其他还好。            
(3星)	 中国的片子总是带着点那么小矫情.            
(4星)	 当年被同学洗脑了整整半年= = 从那会儿开始就挺喜欢白百何            
(4星)	 50年代京城干部子弟的青春故事。            
(NA)	 王朔的不少东西都在里面            
(4星)	 喜欢那个年代的感觉，随性而冲动，就是感觉那个年代的女孩子好开放啊，跟谁都能说好就好呢？            
