http://movie.douban.com/subject/1940312/	太空学校 Space Academy
(5星)	 终于找到了！！！！！！！！！曾经问过无数人 凡是记得这片得都把名忘了 从第一次想起有这么个片四处去打听到现在已经过去5年             
(5星)	 又是小时候看的剧集，记得20分钟一集，很经典，很怀旧            
(4星)	 补记。            
(NA)	 正好看到人提到才记起~小时候很爱看的说~~            
(3星)	 儿时回忆            
(5星)	 美好的童年……            
(5星)	 又是以前看过的~            
(5星)	 这个今天算是捡到宝了！！！还真把名字忘了！！！            
(NA)	 激光小红点都能出演一个角色 哈哈哈哈哈哈哈            
(3星)	 小学时看过，虽然说是科幻片，但应该是因为投资太少。片中人物在太空中也不穿宇航服，只需要戴着神奇的生命手镯，“跳伞”也是自由落体式……            
(4星)	 童年记忆。发现现在电视台几乎都不播欧美日的电视剧和动画片了，还不如小时候            
(5星)	 小时候看过的第一部科幻真人片吧            
(4星)	 认知科幻太空题材的启蒙片之一            
(4星)	 小的时候也是非常喜欢这个剧集，尤其喜欢太空学校那飞船            
(5星)	 唉唉唉唉唉，没人看过啊！            
(NA)	 清楚记得表兄跟我说：“还飞船，那不就是一个手电筒么？”            
(3星)	 印象非常非常模糊了            
(4星)	 就记得那个机器人了            
(NA)	 没有更多的介绍吗？当年河北电视台放过            
(3星)	 貌似看过，但是现在完全想不起情节了。。            
(5星)	 有一只猩猩叫做亚当，有一个背包可以使人飞起来。            
(NA)	 只有看孩子们的爱情时 最急切  攥着拳头想：去啊 去上去说真话            
(4星)	 童年            
(3星)	 看過，但沒什麼印象了...            
(3星)	 模模糊糊有点印象，但是肯定是看过的。            
(5星)	 儿童需要想像力            
(5星)	 好神奇的一部片子，直到看完星战全集才知道这2部片子不是一回事            
(5星)	 记得特别清楚小时候看过，小时候一直把它和星际迷航弄混，并且奇怪为什么没有影片中没有那个“盘子一样的飞船”。            
(5星)	 每集都有新的期待，充满未知的探险，没有局限于暴力            
(5星)	 我的童年啊~~~~            
(NA)	 童年回忆系列             
