http://movie.douban.com/subject/1949521/	地狱天使
(3星)	 女主角很美            
(4星)	 那一代的花旦，早在年级轻轻的时候就有了代表作。张可颐的出场胜在惊艳，赋予了区学儿这个角色以生命，冷到逼人。            
(4星)	 前半部拍得太好了，相对来说后面就显得潦草。区学儿果然是从地域坠入人间的天使，不是Eric这等没有担当又虚伪无趣的凡人能够消受的            
(3星)	 印象不是太深            
(4星)	 当年的张可颐 太萌了            
(4星)	 当年张可颐是有多美            
(NA)	 张可颐实在美爆了            
(3星)	 开始添加TVB...            
(4星)	 我跟我娘一直认为那个uncle长得很像温总理 o(╯□╰)o            
(4星)	 很迷张可颐.也很迷紫色.附加一句:个人觉得她和张敏有点点相象~            
(4星)	 记得很好看，只是全忘了……            
(4星)	 当年，张可颐多风骚呐！！！爱到死！            
(2星)	 那时候的张可颐短发职业造型真是清爽无比~~            
(3星)	 张演得非常出色            
(NA)	 只记得张可颐很漂亮            
(4星)	 区小姐要不要这么悲惨啊。最后一集要不要这样用区小姐的再次受伤成全所谓的大团圆啊。所以人设本来就是悲剧，我没事就爱找虐o(￣ヘ￣o* )[握拳!]ps张可颐 真心漂亮。            
(4星)	 小時候好喜歡歐學而哦            
(5星)	 原来那男人叫陈启泰            
(NA)	 当时只记得可颐靓到杀气逼人，而后在金枝欲孽见识她的出色内功。            
(4星)	 香港版的魔性之女            
(4星)	 最美的张可颐。            
(4星)	 小时候看的，觉得张可颐真美。苏玉华也美。            
(5星)	 对立面的欧雪儿印象很深刻~怀旧一把系列~相当的怀念！            
(4星)	 穿什么都好看演什么都惊艳的张二小姐代表性的角色            
(3星)	 可颐当年真是360°无死角呀，简直美爆了~~~其他演员都很挫（╮(╯▽╰)╭）。。。。。。最讨厌那个赵抱石了，长的又搓，还一副假正经，根本没人性的。先是贪念学儿美色，之后被人家玩了，有那么快重投前妻怀抱，真TMD伪君子！！            
(4星)	 复仇之路..            
(4星)	 很迷戏里的张可颐.也很迷紫色. ~~ 也是这片让我认识张可颐和陈启泰的            
(3星)	 还是喜欢扮演傻大姐的张可颐，不过剧中陈启泰倒是很出彩            
(4星)	 最爱张二小姐的叶晓冰，其次就是区学儿。一个冷艳邪魅放荡不羁，一个心机重重高傲轻佻，嘴角总挂着不屑的冷笑。其实在卸下浓妆卸下心防之后，她们只不过是寂寞受伤，让人心疼的孩子。             
(3星)	 1996            
(5星)	 我心中是张可颐最好的TVB剧            
(5星)	 张可颐那时候真是惊为天人。虽然后来的金枝欲孽也很好，但在我印象中总是不及区学儿            
(4星)	 最美麗的MAGGIE            
(NA)	 很好的一部片子            
(2星)	  我看上了张可颐            
(NA)	 张可颐可圈可点——那时真是年轻。            
(4星)	 一部戏爱上张可颐~当时美得没话说，再看金枝欲孽里不得不感叹岁月不饶人啊。。。            
(5星)	 张可颐的颜就有五颗星！            
(4星)	 虽然阿ken好性感阿苏好米粒 可是区学儿一出彻底弱。。爆。。了。。2小姐第一部做主角的剧 演戏的节奏感好好~复仇戏码就是用来HC的- - 意外惊喜是后段两个老狐狸还手段漂亮的小玩了一把商战~虽然有bug有套路 但这是印象中tvb唯二的蛇蝎女人做主角的剧之一吧。。惊艳之作            
(4星)	 当时的张可颐简直是惊为天人啊~            
(3星)	 张可颐演的不错            
(5星)	 最喜欢的tvb剧之一，三个主演都让人揪心            
(NA)	 在我还不会手淫的年纪 我就已经被这个姑娘迷的死去活来 本来我几个小时前用了一个贬义的形容词“蛇蝎美人” 是我现在已经是一块被淘洗过的无用的鹅卵石 我已经带上了一个大众的盲目的道德标签去评价一切 所以 我决定用另外一个词去形容 区学儿用那时候孩子的状态 在我眼里 只属于我的女神            
(4星)	 只记得当年看的时候二小姐滴美貌让我惊艳。。。还有阿苏，从这部剧喜欢上她            
(4星)	 张可颐个人魅力放大到了极致。陈启泰那时好有萌点呀！            
(4星)	 哈哈，尚在少年的我就是因为这部剧记住了张可颐，太美了，天使！            
(5星)	 完全地爱上了张可颐啊            
(4星)	 陈启泰和张可颐又嫩又萌            
(4星)	 小时候看被张可颐深深惊艳到 印象深刻到时至今日仍难以忘怀 有的人就是有这种魅力 不管做什么 都能被人谅解             
(NA)	 我居然還有映像            
(4星)	 喜欢张可颐的时候看的~~~~            
(5星)	 小学时候看的 那时候真被张可颐惊艳到了 在校内看到tvb经典角色相册后特地来找的             
(5星)	 我很喜欢的电视剧。张可颐真漂亮！！！            
(4星)	 张可颐的第一部担任女一号的戏！剧中的她好有气质，表演很到位！            
(5星)	   复仇女神奇情剧~            
(4星)	 上世纪的TVB无论是编剧还是演绎，都是十分用心的。            
(5星)	 我最愛的歐學兒!!! ^_^            
(3星)	 不喜欢结局，可怜的学儿            
(4星)	 复仇的女人比男人更令人生畏！            
(5星)	 盛颜时期啊~~~美~~            
(3星)	 讨厌赵抱石这摇摆不定，薄情寡义的男人，替学儿不值！对不疼不痒的大团圆结局表示不满            
(5星)	 很老的港剧..但是非常值得一看~            
(4星)	 命运的悲剧            
(4星)	 唯一看点--“张可颐”            
(3星)	 失望了，这个女主不够厉害……            
(4星)	 第一次被张可颐惊艳到            
(3星)	 小时候看的            
(4星)	 曾经惊艳无比的张可颐！            
(5星)	 张可颐告诉我  什么叫惊艳             
(5星)	 狗屎的结尾            
(NA)	 黑暗，最重要的是里面的人物没有一个喜欢的，看了一集就不看了            
(4星)	 以前很喜欢            
(4星)	 好美的张可颐            
(4星)	 两个我都很爱的女人 让我看着真矛盾呐            
(4星)	 可颐真美～            
(4星)	 从这时起,喜欢张可颐            
(5星)	 张可颐太美！就是这部戏才认识她            
(4星)	 更古老的一部,没想到豆瓣真的有，这个是看了不下3遍- -|当时就是觉得戏里那个男主角很有魅力，可能在另一些人的眼里就是很丑的了，这种事情是常有发生的……随便，女主角也很可爱，我觉得……            
(4星)	 看港剧最疯狂的时段            
