http://movie.douban.com/subject/1960302/	太极宗师
(5星)	 干净利落，真挚动人            
(5星)	 记得樊亦敏和惠英红，当然还有吴京。            
(4星)	 看来看去，吴京的戏还是这个最优。            
(5星)	 估计以后再也看不到这么质朴纯粹的武侠片了            
(5星)	 那个时候看特别好看            
(4星)	 吴京佳作            
(4星)	 这个当年很经典，当时觉得少琪特美丽。            
(4星)	 吴京和樊亦敏（其实我是看这个才知道惠英红的            
(NA)	 格格望着少年逗弄鸟儿的明媚侧脸，一时间有些恍惚            
(4星)	 喜欢男女主的搭配            
(5星)	 武打，帅就一个字！！！            
(5星)	 万人空巷            
(3星)	 真讨厌女主角啊。            
(5星)	 啊啊啊啊啊啊这电视剧好牛气的说~~~当年我可是天天追看的说~~~至今还是非常喜欢吴京~~~ 真帅~~~            
(2星)	 这时候的吴京还可一看。            
(5星)	 这个电视剧我初中同学特别迷，天天晚上看，第二天上课时候还在讨论剧情！            
(5星)	 那个帅阿……            
(4星)	 这是童年啊，那时候我爷爷和后奶奶还在世，我还记得用爷爷家的小电视看的情景            
(2星)	 连我这么喜欢功夫片都真不喜欢            
(2星)	 这个有点印象            
(4星)	 昨晚在电视看到功夫小子闯情关的节目 吴京 于海好可爱的说！想起小时候看过这个很喜欢  还有樊亦敏            
(4星)	 吴京就是靠这个成名的吧            
(4星)	 我噻，第一次认识吴京，当时觉得小伙子挺帅的。            
(3星)	 樊亦敏后来干嘛去了呢            
(4星)	 挺好看的~~~~~~~            
(5星)	 高中体育老师孙大明的太极拳打得也很好。            
(4星)	 小时侯很能看啊            
(5星)	 好看            
(4星)	 吴京里面很帅啊            
(3星)	 很早以前看吴京的一招一式            
(4星)	 当年可爱看了~看了好几遍~~            
(3星)	 还有惠英红哦。亲。            
(NA)	 吴京还木有去HK，木有满脸横肉的嫩            
(3星)	 吴京成名作-。-            
(5星)	 那时候太喜欢了……            
(4星)	 主题曲赞一个！            
(5星)	 -  -我小时候之喜欢看这个片子……            
(4星)	 那首主题曲我还记忆犹新~            
(5星)	 永远的经典！吴京那时候多嫩啊。            
(4星)	 这个片真的很有爱！            
(NA)	 山东电视台么            
(5星)	 关于太极最好的电视连续剧，没有之一，且现在的古装电视剧与之相比，简直就是渣中之渣。            
(4星)	 主题歌好听,吴京很青涩            
(4星)	 小时候看的，原来是袁和平导演。            
(2星)	 不能怪我。貌似有段时间很多台播            
(5星)	 初中时的美好回忆。            
(3星)	 片尾曲很好            
(4星)	 当时最喜欢看在塔里通关的那段            
(4星)	 囧。            
(4星)	 竟然还是袁老爷子导演的。            
(4星)	 小时候好迷这个啊            
(4星)	 属于那种越看越好看的类型。            
(3星)	 男陋女丑            
(NA)	 思思的最爱            
(4星)	 喜欢吴京的笑，像孩子一样可爱            
