http://movie.douban.com/subject/1963192/	谢谢你曾经爱过我
(3星)	 我爱你，就是因为你，你对我太好了，太好了，你让我在最坏的时候，依然相信自己被爱，自己值得爱，我从小缺乏的自信，都被你填得满满的，你陪我走过了我一生当中、最崎岖的路，我想到你的时候，我只有快乐。            
(1星)	 我看过的最洒狗血的电视剧。            
(3星)	 琼瑶类题目是祸水。“世上能有几个能在一开始就遇见侯子的雨薇？”            
(3星)	 not my type            
(3星)	 对我来说，比蜗居好看。            
(5星)	 花了三天時間一口氣看完，對於愛，有了更深的體悟。不管處於何種狀態？對自己坦誠，仍是一切情感的基礎，能愛與被愛都應衷心感謝！            
(4星)	 就这么完了？竟然还是看了四个月。            
(3星)	 三星下            
(2星)	 才几集，看不下去，就停了。            
(3星)	 周一围            
(3星)	 前面还好，后面显得拖沓而不靠谱            
(NA)	 去年暑假噢跳着看完了            
(4星)	 还行吧....            
(NA)	 “曾经”～～多么伤感的词～～爱过～～用同样伤感的“纪念”来封存～～            
(4星)	 还是喜欢看薇薇拍的电视剧。            
(NA)	  谢谢你曾经爱过我             
(5星)	 其实，雨薇跟霍然之间的感情或许真的是激情多一些~我终于开始赞同一开始看到的这样的评论了。。我刚刚想明白的。。            
(3星)	 没事搞爱情是现代人生活乐趣            
(3星)	 赵薇老了，周一围表情过于夸张，庹宗华和秦海璐演的不错，潘虹甘当绿叶。            
(5星)	 结局并不完美。。。            
(3星)	 不喜欢结尾            
(4星)	 几乎是教育片了。“你错了就是错了，因为妈妈从小就告诉你，别人的东西那再好，也是别人的。”            
(3星)	 又是一种莫名的悲伤情绪            
(5星)	 我花痴上了周一围。。。            
(1星)	 为什么看呢？因为赵薇~            
(4星)	 恨也会露出爱的尾巴            
(4星)	 前半部很好看，后半编剧有点囧……赵薇在里面很好看！            
(NA)	 爸第二次住院时看的            
