http://movie.douban.com/subject/1966999/	辛巴达历险记 The Adventures of Sinbad
(5星)	 我依旧记得那个女主角的胸部是那么的。。。。            
(5星)	 童年回忆            
(4星)	 当年看过。。。很想再看。            
(5星)	 就记得这里的辛巴达太。。。。帅了            
(5星)	 哈哈哈！我小时候超级喜欢看啊！            
(5星)	 小时候看的，非常喜欢            
(3星)	 林蕾娜最爱啊            
(4星)	 男女主角最后穿过迷雾终于OO了            
(5星)	 啊啊啊啊啊啊！！！辛巴达太帅了！！！！！！原来我那么小就开始喜欢帅哥了！！！！！            
(5星)	 童年的美好回忆啊啊啊啊啊！！！            
(3星)	 西游记的国外冤家～            
(NA)	 好看呐~            
(3星)	 又是童年电视台的回忆            
(5星)	 辛巴达很帅的 - -~ 还有里面那个黑人，汗            
(NA)	 好多年前看的，当时很喜欢。            
(5星)	 小学时候看的，记得主角男帅女美。            
(NA)	 啊哈哈，竟然找到了这片子，当时正准备小学升初中考试哈~            
(5星)	 每天下午放学必看！            
(4星)	 小时候最爱之一            
(4星)	 辛巴达帅啊！            
(4星)	 总是在安徽台的午夜剧场播放。不过幸好是在暑假播的。            
(3星)	 当时的特效现在看起来很是稀疏了            
(NA)	 系列剧万岁            
(5星)	 小时候老看            
(4星)	 记得当时看觉得里面的特效真的是好的不得了啊！正与邪，魔法与剑，怪兽与宝藏，友谊与背叛。7,8岁的我要等到晚9点之后才能看到是多悲催...估计现在这么迷魔幻史诗和这部剧多少有些关系。            
(5星)	 小时侯就等着这部和超人了，经典            
(5星)	 好经典撒。。            
(5星)	 最美好的童年呀！            
(5星)	 我记得有一集 有个怪物叫“佛根”！！！！！！            
(NA)	 小时候看过~！            
(3星)	 某年放假的时候某台大清早就开始放，得墨特            
(5星)	 这片巨好看。。。在那个年代太魔幻了。。。。很有大海的味道。。。。            
(5星)	 放到某天突然不放了害我连偷偷追都不成了~            
(5星)	 以前不要太迷噢~~~哈哈            
(3星)	 童年啊= =            
(5星)	 男主角的眼睛总是色迷迷的            
(5星)	 小時候覺得超級好看~！            
(5星)	 哇，当年痴迷死            
(4星)	 美剧初体验啊~~打小就爱辛巴达，不光迷书，TV版也不放过，就是不太记得剧情了。            
(5星)	 我喜欢的那个MABEL是一部里面的  不是封面上的这个            
(4星)	 莫非就是CCAV啵的？！            
(5星)	 高中时天天看这部剧，太好看了！！！            
(5星)	 好吧，我偶尔也会花痴            
(5星)	 童年之最帅！            
(5星)	 记不清了。但是感觉超喜欢。            
(5星)	 好看 好看  超级好看            
(5星)	 这礼拜去问了问同学~竟然只有LUX依稀记得...            
(4星)	 没看完            
(4星)	 呀呀呀！！！这个！！！爆爱看当时！！            
(5星)	 儿时的经典。            
(5星)	 当时么看完～            
(2星)	 小时候这片子总是演得很晚，特别是那声效，看完就做噩梦            
(5星)	 我当时迷上了辛巴达，他太帅了。当然，那时的电脑技术仅仅就是把蜥蜴放大了当怪兽，不错了不错了            
(5星)	 女主角的大波与火球给我留下深刻印象            
(NA)	 那时候很萌那女的魔法。。。            
(4星)	 看过几集            
(4星)	 童年时代啊            
(4星)	 小时候…            
(4星)	 这可是我初中时候看的最好看的电视剧之一，帅哥，美女，航海冒险，传奇。又帅身手又敏捷的辛巴达，胸部大大的女主角，初中时寄宿，天天晚上半夜12点偷溜回家，让我妈给我做饭吃，然后在家里看辛巴达，看完还要嘱咐我妈一声明早5点叫我起床去学校。 哈哈            
(5星)	 小时候看这些连续剧最大的遗憾就是经常看不全。。。            
(5星)	 小时候看过，那个痴迷呀。印象太深了~            
(5星)	 也是我的童年美好回忆啊！！！放暑假的时候，下午的时候，吃着冰棍窝在家里看。。真美好。            
