http://movie.douban.com/subject/1968578/	西关大少
(3星)	 后半部佘诗曼的角色太无耻了            
(5星)	 激动啊阿佘搭文初哥            
(3星)	 情节狗血~            
(5星)	 喜欢伍玉卿这个角色的坚韧            
(NA)	 张智霖 佘诗曼 赵雅芝             
(4星)	 冲着张智霖去的            
(5星)	 本来是想看看老了的白娘子什么样子，看了就被电视剧吸引。张智霖演得真还不错。佘诗曼为啥老是一副苦相？我不太受的了。            
(NA)	 tvb众多作品中不足道的一部            
(NA)	 陈键锋            
(3星)	 赵雅芝真是美女~一直觉得前面是流星花园的翻版            
(NA)	 赵雅芝             
(3星)	 张智霖的小酒窝真正乖啊，赵雅芝还是那么美，当然剧情是我不大喜欢的狗血。            
(4星)	 哈哈哈 被我记成西关二少~             
(2星)	 烦赵雅芝啊            
(3星)	 张智霖            
(3星)	 天平男+天蝎女 处女男+双子女+狮子男            
(2星)	 只为Chilam~~~            
(3星)	 好怀念那个无忧无虑的赐官            
(NA)	 其实没看全哈            
(3星)	 为了赵雅芝            
(3星)	 没看完 丢掉            
(1星)	 有无搞错! ! 民国时代 打工的人唱 南泥湾???? 还要大合唱. 基本功课都吾去做, 痴线.             
(NA)	 流星花园+我的野蛮女友+TVB            
(3星)	 年少回忆。            
(4星)	 佘诗曼太贱            
(5星)	 非常好看 演员演技都很好 张智霖！！            
(4星)	 民初版流星花园。前半部是很精彩地，后半部是很多余地。            
(5星)	 喜欢~            
(2星)	 好象就记得主题曲了，还有最后的悲伤            
(3星)	 前半部很后，后面很垃圾            
(NA)	 第一部觉得张灵            
(5星)	 喜欢            
(5星)	 居然可以演20岁            
(3星)	 一个男人的成长 路程            
(4星)	 小时候看的片子···昨天开始重温···            
(NA)	 KC在里面演一个把ssm甩了的贱男...世事好奇妙只求别复合/小时候看的大仙又一hc剧!            
(NA)	 【2003-11-03】            
(4星)	 当年还是买碟看的，不过似乎一般般            
(3星)	 印象最深是佘诗曼被倒得满身夜香...            
(3星)	 当时最大的感受就是赵雅芝好贤惠啊还有张智霖你这个万年童颜，岁月在脸上看不出任何痕迹～            
(2星)	 认识郑嘉颖            
(5星)	 突然想起当年我和同学说，我就看民国的，就爱看佘诗曼装柔弱…            
(5星)	 喜欢死了，喜欢死了！            
(5星)	 张智霖各种帅~~~            
(5星)	 最适合春天下午看的好剧。            
(3星)	 这部可以看成《十月初五的月光》中张智霖与佘诗曼没有在一起后稍稍的安慰剧么            
(3星)	 最后一集成为败笔~~            
(3星)	 我真的不喜欢佘诗曼            
(4星)	 大少太可爱了，躺着唱戏耍赖那一段，唉。            
(3星)	 赵雅芝一个表情演到底啊。主题曲很好听            
(4星)	 虽然不喜欢双喜见一个爱一个的性格，可是我觉得她当初不选择赐官是原因的，我觉得这是一个正确的选择。相爱的人并不一定可以相守一生            
(3星)	 好像有点....感觉不是一部剧，而是前传            
(5星)	 全五星的原因是我高中时候和着我纠结的一段感情看的西关大少，每天看的时候心情都不一样的感觉现在想起来却有几分怀念。            
(3星)	 补            
(4星)	 好感人！何双喜很可爱^^            
(3星)	 佘啊            
(3星)	 刚开始觉得挺好看的，又有赵雅芝，结果看到后面发现有些桥段都是照搬我的野蛮女友，情节也有些拖沓，做作。            
(NA)	 结结实实的看完            
(4星)	 这四个人组合还不错            
(NA)	 阿佘为什么都是一样的角色？不适合诶= =            
(3星)	 太复杂的情节，却没有讲故事的能力，所以……            
(4星)	 好久不见赵雅芝            
(3星)	 忘记什么时候看的了 那个时代 我向往的            
(4星)	 （以前看的，纯添加）            
(4星)	 最后阿佘那个角色干嘛还回来，真破灭。虽然有一点模仿野蛮女友的场景，不过还是自己的特色，被感动。大仙好深情。            
(4星)	 Chilam很帅~~~            
(4星)	 夜香妹~            
(3星)	 广东 西关            
(4星)	 弥补澳门街的遗憾中间一段很喜欢苗苗            
(4星)	 卿姐与天赐爸爸的感情让我很感动。            
(4星)	 还是喜欢chilam演这种调皮的角色            
(3星)	 這類台慶劇還真是容易難看...            
(3星)	 刘松仁和张智霖演得真好，赵雅芝只会那几个表情            
(3星)	 2003            
(3星)	 到底在讲啥？            
(5星)	 很配的俩人！            
(3星)	 张智霖啊~            
(NA)	 张智霖！！！            
(3星)	 老剧情，跌到谷底先翻身！            
(3星)	 笑翻天~~~            
(4星)	 那个年代            
(3星)	 可惜没有看完~~~~唉，什么时候再捡起来            
(3星)	 ....            
(5星)	None
(3星)	 还是不错的。            
(4星)	 还行，比现在的很多都好，才知道，原来排泄物可以有美好的名字---夜香            
(3星)	 没仔细看过            
(NA)	 直接喜欢周天赐不犹豫~            
(3星)	 【好無聊的開始馬克看過的TBB】            
(3星)	 港剧为传承岭南文化做了大贡献，也可以这么说，岭南文化为港剧的发展提供了肥沃的土壤与创作的灵感。            
(4星)	 天赐和双喜前期挺搞笑的，后期不是很喜欢。            
(4星)	 大仙。。。            
(5星)	 有心爱你却爱不到，抱紧了你却又无心装载，才知道与对方失散以后，谁人是最好……最爱明轩，夜香妹&amp;天赐            
(5星)	 西瓜大少，又见君好和初哥哥…            
(4星)	 多一星全为张智霖 后半部分双喜实在是太贱了 天赐下跪都不回头 气死我了！！！            
(4星)	 冲着张智霖来看的，看到后面真是不想看下去，不忍心看他被虐啊~~            
(4星)	 张智霖表现还不错            
(4星)	 那时候看了很爱张智霖啊哈哈~            
(3星)	 双喜和天赐起初的故事就是民国版流星花园。            
(5星)	 ！！！！！！！！！←只能用一排叹号来表现喜欢的程度了            
(NA)	 第一次看是9岁，第二次看是19岁。不喜欢写日记也不喜欢拍照，但是记忆需要载体。呵呵，也许它们就是我的载体吧。分明清楚的看见了10年前那个早熟的丫头对张智霖的迷恋。            
(3星)	 看过一点啦。。            
(3星)	 大仙真心的帅啊，剧情也不错，前期轻松搞笑，可后面就越来越虐了            
(5星)	 一星给张智霖，一星给苗            
(4星)	 我妈喜欢。            
(3星)	 还是蛮感人的。            
(NA)	 那时候 和初恋还一一代入过角色呢 虽然电视剧是大团圆结局 但是呢 现实中就没有和初恋走到最后 不过 也是美好的回忆呵~            
(3星)	 就是为了十几集的周明轩，周明轩死了我也就弃了            
(5星)	 张智霖的那首歌很好听~            
(5星)	 用大牌云集来形容此剧真的不为过。            
(4星)	 夜香妹~~张智霖那时候怎么那么帅！            
(NA)	 前面各种欢乐天赐幼稚的太可爱太搞笑了~张智霖根本就是在赤果果秀面嫩卖萌吧！明轩简直极品男人星星眼~他死以后这剧就突然狗血没劲了- - 所以后面就不予置评了……PS：郑嘉颖的WS形象在我心里已成阴影挥之不去了= =            
(NA)	 也是没怎么看，但貌似不错的剧。。            
(NA)	 那会儿我还在上初中，中午憋在老姐家看，嘿嘿。            
(5星)	 觉得这个能算是TVB经典了~            
(4星)	 最最感动与心疼于大少爷天赐对平凡双喜执着而长久的爱。无论何时，无论何事，他竟都不曾动摇分毫。从头至尾，对这个女子，都是那般地深。            
(NA)	 演员有爱~            
(4星)	 喜欢佘诗曼和张智霖的搭戏~~自从《十月初五的月光》开始。            
(NA)	 张智霖好帅            
(4星)	 我记得有郑嘉颖的            
(NA)	 有张智霖我就爱~            
(4星)	 剧情很有问题，这个阵容很难得。            
(NA)	 初一时在表姐家看完的，印象中片尾曲很好听，张智霖唱的            
(3星)	 因为张智霖看的 不错了            
(4星)	 赵雅芝和刘松仁，怎么样也得加一星啊            
(3星)	 一般            
(5星)	 从此成为芝迷。            
(4星)	 想想还是四星吧。多出来一颗必然是给伍玉卿的。            
(4星)	 断断续续看完的 记忆已经模糊            
(4星)	 喜欢民国的广州            
(5星)	 人生的笔画会如何书写？谁知道呢。            
(4星)	 看的不全，是那种边吃饭边看的，高三时。。            
(3星)	 MS阿佘戏份少了点，皮膚不太好。經典爛尾。            
(4星)	 张智霖我还是很喜欢的            
(3星)	 赵雅芝一个表情演到底啊。主题曲很好听            
(5星)	 很中意老tvb的片子。把人从相遇相知到相爱的过程刻画的很深刻。很现实生活的剧。充满着感动。            
(3星)	 结局有些狗血            
(NA)	 跟着电视台没看完呢            
(3星)	 闹闹还好            
(5星)	 小时候的记忆啊……太纠结了点……不过记得张智霖唱的主题歌很好听~~            
(5星)	 喜欢！！            
(4星)	 张智霖和ssm一共合作过两部戏，一部是让人永远心疼的初哥哥一部就是这个纨绔少爷。两个人如同初恋般美好青涩的爱情很美好，这部剧一直到刘松仁死之前都很好看，刘松仁死后开始崩坏，双喜变心的太快，大仙被虐的我好心疼，如果能够一直保持之前水准就好了            
(3星)	 剧情有点扯，但是男女主演不错            
(4星)	 心水chilam  虽然爱阿佘，但是chilam被她搞得好惨！这般痴情的男人只会在电视里吧~            
(NA)	 一度觉得张和佘超配。            
(3星)	 小时候还是很奇妙的。            
(NA)	 四个演员都很喜欢。前面不错，后面有些狗血了吧。赵雅芝好优雅。结局拿个小屋子说事挺感人的，但是那个小屋子不是很多探案剧里面发现尸体或者绑架强奸人的屋子么。。。。。            
(3星)	 有点忘记剧情了。            
(4星)	 看的时候心里重合了一点《双城》            
