http://movie.douban.com/subject/1998963/	求婚事务所 求婚事務所
(5星)	“我。一耳全聋。一耳重听。重听的那耳，会随着时光流逝， 慢慢丧失仅有的听力。我因此活在恐惧之中。直到遇见你。看着你，那恐惧便自然消失。因为我知道，有一天，当我再也听不到任何声音的时候，我还有生命中发生过最美好的画面陪着我。不离。不弃。”    ——黄小俊
(5星)	最喜欢的台剧
(4星)	断断续续看了两年的戏，今天终于全剧终，落下帷幕了。全局最灵魂的一号男女主角，其实是李家兄妹和黄小俊吧、李一佩和黄小俊这两个各自有着一颗堪比水晶玻璃心的男女主，在最后的最后终于圆满了。小S的那个恋恋风尘，里面也是，三个主角都美好。台湾其实有很多综艺咖都是有故事的人呐。我永远爱李威。
(5星)	看几百遍都是黄小俊T。T
(5星)	非常撕裂地推荐。大S跟蓝正龙赶紧复合吧
(NA)	除了黄小琦 别人都知道自己要什么 不喜欢黄小琦这个角色。
(NA)	if if if!!!
(5星)	值得一看的七单元式拼图偶像剧。
(5星)	豆导这个其貌不扬的老男人， 稀罕你
(5星)	其实这部台剧一点也不恶俗 很感人甚至 配乐也很棒 星空卫视播过
(NA)	只扫了两眼就放弃，HEBE,吴建豪，拜托，受不了了。
(5星)	豆导的经典作品。
(4星)	其实很精致。
(5星)	复习 鸟和树
(NA)	怪怪偶像剧现在回想起来都是豆导拍的厚～凤凰卫视看的
(4星)	就是因为这个片子喜欢上小S的
(4星)	大学时代台湾偶像剧的经典之作
(4星)	纽导的作品不管怎样都要看一看
(5星)	豆 导
(4星)	豆导的温暖与幽默
(4星)	这个好看
(4星)	男女主角矫情死了，完全就是一对猪头嘛。
(4星)	可以了 这是我看过最靠谱的台湾偶像剧了
(5星)	喜欢大S和蓝正龙    小S和伍佰           那段
(5星)	豆导的好片.唐治平真nm帅...身材巨好引人幻想简直
(5星)	八百年前在家看的 我就想回家睡会儿觉 成全我
(4星)	小鸟与大树，还有伍佰
(5星)	可以归为偶像剧吗？的确，不乏偶像，是一部能同时看到众多著名实力演员的饕餮大餐。好剧好导演好演员。很喜欢李康宜，精灵一样的女孩子。
(5星)	对配乐印象深刻 小S难得出现一部戏
(NA)	很有爱
(NA)	o(∩_∩)o...我也是喜欢过
(NA)	怀念高三的每个晚上，自己煮鸡蛋面吃的晚上，边吃边看求婚事务所的晚上，边吃边用小灵通发短信的晚上。
(3星)	不觉得好看
(5星)	我最爱
(4星)	歌不错~
(5星)	最爱的电视剧.
(3星)	第二单元恋恋风尘 徐熙娣和伍佰的演技都很不错 值得一看
(3星)	莫明其妙。
(4星)	近年来看过的最好的一部电视剧了。
(5星)	算是中上水平了～
(5星)	最喜欢的台剧
(4星)	if
(NA)	其实这电视剧有些故事挺好看的.
(5星)	近几年来看过的最好看的偶像剧。。
(3星)	我当初好喜欢叶童那一个故事呢！！
(4星)	曾经特别爱！
(4星)	初中，而且吧居然还有萧萧。。。。。
(5星)	cried so many times T.T
(5星)	我的启蒙台剧。
(4星)	豆导的戏还是挺有趣的
(NA)	果然大俗辣什么的，我也能看的很感动～
(5星)	懵懵懂懂时觉得一切都那么美好
(NA)	情书 毕业生
(4星)	李绍祥……
(5星)	很有重溫的衝動
(4星)	结尾 在机场打开行李箱突然弹出一条婚纱，好棒的创意~~
(NA)	伍佰小S那段最有爱
(5星)	豆导阿豆导，最喜欢哪一出呢？就是一佩和小俊那段，电影院求爱 - 一直被模仿，从未被超越
(5星)	实在喜欢豆导，一个他一个蔡岳勋可能是我看台剧最大的动力了。这部戏是单元剧，却又有几个人物串联起来，每个故事各自精彩，让人印象深刻。不同类型的故事，也满足了不同喜好的观众。就我个人而言，最喜欢的确是听力有些问题的小俊，结尾他的示爱好感人。这部戏的OST也是经典，中岛美嘉的《雪花》。
(NA)	我看过～～其实这个不再是简单的偶像剧，正是这部电视剧让我真正喜欢豆导并且真正发现偶像剧也可以拍的很有思想。我喜欢最后的一段，李康宜和那个男孩，很感动。
(5星)	前几天又看了一遍。。仍然是推荐！
(5星)	精致
(3星)	看了第一单元的前两集，很弱，受不了的追电梯情节看了大小S的两个单元
(4星)	还没有电视剧能像这部一样 在一集内感动我三次
(4星)	多年前在凤凰台看过
(NA)	小学的事了。。。
(5星)	大s和蓝正龙的那集还是很精彩的还有豆子导演的那集那时候看男主角有点迷恋 因为很神似plus 黄小俊 很cute
(4星)	话说我看过好几遍的台湾偶像剧
(4星)	蛮好看的，豆导的片子都很真挚的说~李康宜真是蛮可爱的，还有里面跟她一对的那个小男生，房间里的大面黑板上都是外星人啊，超有爱的~~~~
