http://movie.douban.com/subject/2002924/	冲上云霄
(5星)	 主题歌超爱            
(NA)	 当年曾疯狂追剧.直到看到吴镇宇和陈慧珊没在一起.就放弃了继续往下看....            
(NA)	 太喜欢看了，看了好几遍了，我是不是老了，就喜欢看已经看过的电视剧            
(4星)	 其实蛮烂的。可是吴镇宇和陈慧珊啊，太有爱了。还有四小生！队伍那么整齐，那时候的小璇子也很灵。            
(5星)	 我爱吴镇宇！            
(4星)	 最爱吴镇宇            
(4星)	 正在怀念大学时，在食堂看的电视剧...吴镇宇太爷们了，大爱啊！PS：这个海报太SB了~            
(5星)	 开篇很完美。。结局有点……            
(5星)	 我爱死爱死sam了            
(4星)	 bosca的配音真大叔～            
(4星)	 唐亦琛啊~~~吴镇宇啊~~~            
(4星)	 从此看上bosco&amp;sammul！！            
(5星)	 Ron            
(4星)	 飛機飛機            
(4星)	 看了S4剪辑版……负责凑数打酱油的智障小吃货ROY很！萌！啊！！！！！！这么早就跟BOSCO搞上了！！！！！！！            
(NA)	 从这开始喜欢吴卓羲            
(4星)	 吴卓羲好帅。。            
(4星)	 学粤语和小5哥///前20集还行，后20集存为了学奥语。3点5，又假又感动的港剧。。。            
(4星)	 大学时，一个室友哈的不得了，讲述了一部分情节，所以后来看的时候没有太大感觉了。            
(5星)	 我最愛的TVB現代劇            
(5星)	 看了好几遍            
(5星)	 就算我在荳瓣上只列出注冊后才看過的劇集，我也要加上這個，最愛            
(4星)	 港剧经典嗷嗷嗷            
(5星)	 记得第一次是在姐姐家看的，她们租碟，彼时我尚年幼，觉得不好看。后来偶遇电视台播出，看了一会，越看越津津有味，还甚是诧异当年怎么会觉得不好看。看来，人的品味真是个奇特的东西。陈键锋很帅！！~~~            
(3星)	 没看完。            
(5星)	 当年在电视上追各种沉迷  多年后重新重温粤语版觉得更加经典。事实证明 演技派的吴镇宇演情圣也一样信手拈来并有自己浓浓的特色。影帝不愧是影帝，而且罗马在这剧的衬托下魅力无穷            
(5星)	 这特别好看！！真的！！当年我还领会不到吴妈的美看了一集就放弃了。。现在再看我靠！！吴妈！！！！！太有魅力了好喜欢她~~~~~~~~~            
(5星)	 吴妈在片中角色的命运就像A片里的小萝莉，被大叔玩得死去活来            
(4星)	 这部很有回忆。            
(3星)	 有些女人干嘛来凑热闹。            
(3星)	 好看点是？            
(4星)	 顿时被吴镇宇电到了。陈慧珊和谁搭挡都看得很顺眼            
(5星)	 五粒星全給吳鎮宇            
(4星)	 TVB            
(NA)	 我有碟子!            
(5星)	 虎头蛇尾            
(4星)	 爱的纪念            
(5星)	 吴镇宇太帅了！赞一个！            
(4星)	 我记得曾经看的时候还挺好看的。。            
(4星)	 尼玛，好怀念Issac和Donald            
(3星)	 在城大交换时期看的电视剧，同时的还有《西关大少》……            
(4星)	 大叔控            
(4星)	 过。            
(3星)	 镇宇哥……咱能不跟她么？            
(5星)	 几年前看得...吴镇宇太帅气了,5分全部给他=.=            
(1星)	 TVB总有一些剧被吹捧得不可理喻            
(4星)	 开始添加TVB...            
(5星)	 对吴镇宇改观就是因为这个。。            
(NA)	 丑女 放开小吴            
(4星)	 妈的最近看了好多大叔萝莉剧集啊.            
(5星)	 阿Ron超帅的            
(4星)	 就是看这部啊，觉得你老帅了！！！            
(5星)	 重看一遍达成 那闪闪亮的吴镇宇大哥啊 我都跳戏了 这剧里好人未免太多了一点            
(4星)	 吴镇宇吴镇宇            
(4星)	 吴镇宇演技真好啊            
(NA)	 無可避免被感動。。。呵呵。。            
(NA)	 真是。。。。囧            
(5星)	 想起zy            
