http://movie.douban.com/subject/2024900/	梦幻情侣 환상의 커플
(5星)	 没办法,个个都太可爱,喜欢这些完全不婆婆妈妈的角色们!            
(3星)	 我贼爱女主角傲慢的范儿！            
(5星)	 最喜欢韩艺瑟神经兮兮疯疯癫癫的那傻样儿            
(5星)	 我多么向往这样的性格            
(NA)	 罗丧失            
(4星)	 看这编剧的德行 XD            
(5星)	 瞧你那德行            
(3星)	 安娜每次的非常腹黑不屑的表情很有意思。            
(5星)	 太喜欢罗丧失的表情了！！！哈哈~~~后1/3越看越有意思~            
(5星)	 好好看，不管是剧情还是人物表现都很完美的一部剧。            
(4星)	 如果生活中真有张哲秀这样的男人，一定要狠狠抓住不放啊！            
(4星)	 失忆的富婆遇到曾经的对头。不错的韩剧，韩艺瑟演得很好，完全是刻薄小气但是心地善良的样子。曾经的李朱旺君在里面成了胆小瑟缩的小白脸。            
(5星)	 不错的片子。很喜欢张哲修。            
(2星)	 没觉得怎么有趣，演员也不喜欢~            
(5星)	 这是我看的第一部韩剧，因为好朋友说特别搞笑无厘头            
(3星)	 炸酱面有那么好吃吗？？？女主是99%女王攻，男一攻受各50%，男二99%受，都是些什么鬼样子！不过男一长的很man是我喜欢的类型            
(4星)	 世界的不公平性            
(4星)	 男女主角都喜欢。            
(NA)	 零零碎碎算是看完了。            
(NA)	 其实我不是太喜欢那个李峰三 不过女主角演的很性格            
(5星)	 哈。            
(4星)	 看过的为数不多的韩剧之一，主要是吴志浩太帅~            
(5星)	 我的女王韩艺瑟❤            
(1星)	 0星            
(NA)	 非常好            
(5星)	 为数不多的比较DJ的PC剧之一。PC的女主就应该这样嘛，总哭哭啼啼委委屈屈算啥呀！            
(NA)	 一不小心看了一集韩剧，其实是我下PSP下错了。            
(5星)	 失去的是記憶!另一個你在窺視著我!誰才是真實的全在!            
(4星)	 我就爱轮廓分明的男1啊啊啊～            
(4星)	 哭的我恐怕从此眼睛要肿着过上至少一个星期了~~韩艺瑟真女王！！这就是传说中的女王了！！~~            
(5星)	  这个当口，一则寓言般，一边是梦幻，一边是感动。喜欢。            
(4星)	 韩艺瑟             
(4星)	 服装很差 布景很差 其它都不错            
(5星)	 搞笑得不得了~            
(5星)	 为什么是如此脑残的片名！            
(4星)	 难得还在看连续剧哦，哈哈，干嘛要掩饰，就是这么俗。喜欢里面的少奶奶，咔咔            
(4星)	 &#34;请不要喜欢我 那是你的错觉 &#34;            
(5星)	 这是百年难得一遇的好看的韩剧。一切的感动与幸福都在生活中。            
(5星)	 真的很喜欢的韩剧。            
(3星)	 不错还行~~~邋遢有点不知所谓但心地醇厚善良到家的男人。。。拥有一颗包容他人的心            
(4星)	 吴大叔身材也太好了吧            
(5星)	 好吧这个是韩剧里面的最爱。没有之一。            
(3星)	 唯一主动看的韩剧，还挺有趣的嘛             
(5星)	 大学某一门考试前一天宿舍三个家伙在没怎么复习的情况下看完了，囧            
(3星)	 喜欢女王攻，男一受的情节。话说男一长相很nihong啊~            
(3星)	 很high的韩剧            
(5星)	 腹黑得好可爱。特别是富婆大姐对小朋友们说，记住，失去的东西是不会再回来的。            
(4星)	 韓藝瑟超級美贊的            
(4星)	 不太喜欢女主角。            
(3星)	 公主喜欢的女人            
(4星)	 挺欢乐的剧            
(4星)	 罗丧失！炸酱面！小米酒！            
(NA)	 被人叫去看的，无聊。            
(NA)	 司考那阵儿神马都好看。            
(NA)	 小时候看过美国电影版的             
(5星)	 韩剧 吴志浩 韩艺瑟 2006            
(3星)	 觉得韩艺瑟蛮有范儿的。            
(5星)	 太棒了，我是又笑又哭的。。            
(NA)	 哲秀是个好男人.....            
(4星)	 非常搞笑的韩剧，16集刚刚好，多了就厌烦            
(5星)	 意外的搞笑呢~            
