http://movie.douban.com/subject/2031964/	东北一家人
(5星)	 妈的妈的我就不明白这个为啥不火            
(4星)	 故事发生在我的家乡，而牛小伟和牛小玲的生活状态就是典型的东北现在小青年的生活，很真实~~            
(5星)	 那就是经典。就这时候埋下对东北热情滴种子。            
(5星)	 作为东北人怎么可能不打五颗星呢。。。~            
(5星)	 吕小品多可爱啊。            
(5星)	 还记得 小伟开的店叫做 达达杀猪菜            
(NA)	 翠花，上酸菜～            
(4星)	 初中时看~那一大家子那叫一乱轰！最喜欢他们想法儿躲地震那集~喜欢吕小品这个名字            
(NA)	 wo te 喜欢            
(3星)	 俗气、闹腾，不过随便看看还可以            
(5星)	 这部情景喜剧也非常好看！彭玉老奶奶的表演很精彩。            
(2星)	 二            
(NA)	 完全是冲着赵文卓的女朋友，看看怎么多找几个地方骂她。            
(5星)	 好看我擦。。。            
(5星)	 我就好这口~            
(4星)	 比较逗，但是有点那啥，不过还是蛮好看的~吕小品            
(2星)	 我不喜欢这部情景喜剧 透着一股2气            
(4星)	 达达杀猪菜            
(4星)	 俺们额嘎都是东北银~~~~~            
(4星)	 牛小玲儿和内谁结婚的哈哈哈哈            
(3星)	 豆瓣猜是不是抽风了？？突然比以前多出了几十页……还都是些很囧很离谱的猜            
(NA)	 那東北話聼得我是那個爽            
(4星)	 就是 逗！            
(5星)	 东北那嘎达~            
(3星)	 直率淳朴的一家人，生活处处是笑料。            
(5星)	 .            
(3星)	 连这都有？            
(5星)	 老逗了            
(3星)	None
(5星)	 编辑部的故事和我爱我家第一，这部第二            
(5星)	 心情郁闷就看你了            
(NA)	 我们班全班同学可以一起唱完片头            
(NA)	 我只是马克一下            
(5星)	 喜欢看大厂子里的人生活，离我很近，很亲切            
(5星)	 我看了几遍了都超级喜欢。。。= =            
(5星)	 支持国货。            
(5星)	 俺最稀罕地情景剧！贼拉稀罕！不爱瞅地自己回家抠脚丫子去别捣穷乱！            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 那时候的乐趣所在啊。。。            
(3星)	 [昔时所看] 也算红遍一时的情景喜剧，和本山大叔一起扬起了东北方言之风。            
(5星)	 中国永恒强作一            
(5星)	 百看不厌~            
(NA)	 东北人好乡            
(NA)	 巩汉林同志一生的艺术巅峰            
(4星)	 房间号。。。            
(5星)	 超五星！！！            
(NA)	 瞟过几集            
(4星)	 也很好笑            
(5星)	 李琦是理想中的爷爷            
(5星)	 O(∩_∩)O~每次会拉妈妈一起看~            
(3星)	 军军            
(3星)	 很2很强大            
(3星)	 也许那时候我还太小，也许不还不是很了解东北人 ，有的时候看得有点烦            
(3星)	 没啥感觉            
(5星)	 东北一家银~~~~~~~~~~~~            
(NA)	 斷斷續續看了點            
(3星)	 不知道为什么 那么多情景喜剧 我就是对这部有爱啊            
(4星)	 我爱我家后一部还算凑合的情景喜剧            
(3星)	 老张开车去东北~            
(3星)	 片頭曲神作 後來我們在新疆戈壁灘上迷路還高唱這首歌的改編版走出了荒漠            
(5星)	 我觉得可像我们家了。特别特别像。            
(5星)	 蹄子雪糕~到现在我一吃提子雪糕都无声爆笑啊~~~~~~            
(3星)	 谁能想到牛小玲还嫁给功夫明星了，还是梅艳芳的EX，这世上的事啊。。印象最深的是那个门像窗户一样的达达杀猪菜，前几个月在天津还真看见那样的餐馆了，原来就是临街的窗户改的门。            
(NA)	 李琦是西北人，演东北人却如此地道！ 个人觉得比武林外传好看            
(5星)	 重温中            
(5星)	 。。。。。。。。。。。。。            
(4星)	 ~灰常爆笑的民俗喜剧~            
(NA)	 2~            
(4星)	 那时候真心觉得很好笑啊  特别是背景音笑出来特别带感            
(4星)	 牛小伟的扮演者吕小品，居然以前跟孟京辉玩话剧。这部电视剧一定要看啊，东北那点儿事儿。            
(4星)	 达达杀猪菜！            
(NA)	 我竟然看了那么多情景喜剧= =             
(5星)	 哇哈哈哈。。。            
(3星)	 李琦一人在撑场面~            
(5星)	 真的特别逗，很可爱的一家人            
(4星)	 我爱我家之后最好的室内情景喜剧，仍然是英式作品。其它人还是不灵。            
(2星)	 真没觉得好笑。中国的情景喜剧什么时候学学美国或者棒子国有点内涵好不。            
(5星)	 李琦可了不得，可烦巩汉林            
(3星)	 国产情景喜剧，在《我爱我家》之后比较好的一部了，仅限1部⋯⋯            
(3星)	 老爷爷死了……            
(NA)	 老人家挺搞笑的唉            
(5星)	 我初中时候的最爱            
(5星)	 啦啦啦！我就最喜欢这部            
(4星)	 这部剧证明了我的语言天赋！看的那段时间，爬紫金山爬到顶上跟陌生人聊天，人问我：你是东北的吗………………            
(5星)	 最喜欢 姥姥            
(4星)	 喜欢看            
(4星)	 虽然很低俗,还是很真实的。。我爱东北口音！！            
(4星)	 达达杀猪菜            
(3星)	 真欢乐，我记得。            
(4星)	 翠花，上酸菜            
(4星)	 自然亲切的东北人            
(3星)	 东北一家淫            
(5星)	 生活都市剧，温馨片子，百看不厌，喜爱牛小伟，孙明，哈哈……            
(4星)	 或许……还算真实？            
(5星)	 介也是我最爱            
(NA)	 雪村是被封杀了庅？            
