http://movie.douban.com/subject/2040705/	皇太子的初恋 황태자의 첫사랑
(3星)	不好看的都三星。
(NA)	我也想去，巴厘岛
(3星)	当时是蒋陪我看得.想她.
(3星)	几年前看的 塔希提岛啊 
(4星)	不知道为什么我就是非常喜欢看 看了好几遍还是喜欢。成宥利真的可爱又漂亮 虽然车太贤不帅但很有魅力的说。
(5星)	有时很难忘的一部
(3星)	因为这部剧，知道有个地方叫大溪地！！ =。=
(3星)	跟着我妈一起看的
(4星)	年轻时多爱看呀
(5星)	我就是喜欢
(3星)	成宥利很漂亮
(3星)	蝙蝠侠，你看个个热的嘿咻嘿咻，所以我讨厌热带
(NA)	囧
(NA)	三年前 很喜欢
(NA)	喜欢女一号
(3星)	我看得比较早的韩剧呢
(3星)	我实在看不下去那男主角和男配角……丑就一个字。
(5星)	我看的第一部韩剧~~
(2星)	没看下去。。
(3星)	唉，还不是为了看车太贤。。。
(NA)	和大家一起看
(NA)	http://www.tudou.com/programs/view/sm5cGsY_kiE/
(3星)	噗。。当年年轻不懂事-________-&#39;&#39; 
(NA)	成宥利 好可爱 我的入门韩剧吧 ~
(4星)	很早之前电视有放，很喜欢女主角当时
(3星)	这么幼稚的剧，还是别评了~~~~ 又是那种很为男二伤心不平的~~男主太丑了，又幼稚又小气
(NA)	原来我从小到大看过那么多韩剧..
(NA)	没劲
(4星)	虽然车太贤不是我欣赏的帅哥。但是剧还是很好看的。
(1星)	有Club Med做背景都能拍得如此糟糕，太糟蹋了！
(3星)	成宥利
(NA)	车太贤不怎么像“皇太子”吧~成宥利倒是可爱的很
(2星)	long long ago
(NA)	中学。每天中午。教室里的电视。
(NA)	我妈那个喜欢...
(3星)	男1+女1+男2+女2，over
(3星)	虽然不喜欢印尼人，但想去巴厘岛了女主人公好多漂亮耳环啊。。。
(4星)	经典韓劇之一
(3星)	只是因为女主角纯净的像一枚水果
(3星)	呵
(5星)	05年的暑假~~迷上了《从那天以后》迷上了傻傻的车太贤~~
(3星)	笑笑！！！
(2星)	看不下去的片子~
(5星)	金有彬！朝子！
(2星)	嘻嘻,大喊我不喜欢成宥利~~~~~~~
(4星)	美丽的海岛啊。爱情成了陪衬。
(5星)	每天少想你一点，慢慢的忘记。
(NA)	当时超喜欢看的
(3星)	车太咸
(NA)	看了一部分，没看完
(5星)	喜欢金有彬  还有健熙那小小的眼睛
(NA)	过去疯狂迷恋韩剧的日子
(3星)	美丽的女主角，平凡的男主角编制爱情故事只能热身
(NA)	星期五可真好看~~  虽然演技有点烂~  
(4星)	健熙和有彬,两年前萌刹我也~
(3星)	哪儿找这么好的人哦~有钱~对她又好~
(5星)	世界上有多少人像崔健熙那样对爱如此执着
(NA)	【2004-06-23】
(3星)	很喜欢车太贤的夸张表情~~
(NA)	哎呀，好像还是初中看的~~
(3星)	就记住了巴厘岛，还有他们初次见面。
(3星)	小时候看的
(4星)	为回忆打分。。
(NA)	有点印象
(3星)	这剧情真是莫名其妙，最后几集怎么回事，反转剧吗？
(4星)	高二的寒假，那时觉得男二号帅到崩溃~
(3星)	不喜欢女主 
(2星)	初中那会儿在电视上看的，好艾斯比= =
(5星)	浪漫海边~
(NA)	好像没看完，很无聊的中途弃了。
(3星)	车太贤哭的时候我也觉得很伤心。
(3星)	哎呀呀，N年前看的国语配音版
(4星)	本人的韩剧入门剧集
(NA)	我好雷。。我竟然在看这种东西。。不过车太贤我还是比较喜欢的
(3星)	喜欢手机铃声 卡农
(3星)	小学时候看的。
(5星)	那时候觉得特别好看。
(5星)	成宥利好漂亮，车太贤很可爱因为这部片子，我认识了大溪地。。。
(3星)	累啊，
(4星)	金南镇^^~
(4星)	跟着电视台看，成宥利真是黑啊，那时。
(3星)	比较搞的韩剧，比较搞中的经典。
(NA)	我当时觉得女主角身材不错，这一念头支撑我看到最后，磨饥剧情最烦人
(3星)	意外地招人喜欢的车太贤
(2星)	没看完
(3星)	哈哈 女一 男一 男二 都喜欢
(3星)	成宥利很漂亮可爱 车太贤很有艳福虽然长得很一般
(3星)	哎。宋承宪的女朋友啊。
(3星)	无聊
(3星)	我看的第一部韩剧=_=
(3星)	有点扯。
(2星)	sb
(3星)	女主角长得好看，虽然不是我杯茶，男二号也不错。
(4星)	dujiacun
(3星)	不觉得好看
(NA)	挺好看 
(5星)	很爱成宥利~
(3星)	男二猪的眼睛小的让我好难受啊，每次都想把他狠狠的略过。。
(5星)	也是韩剧的经典
(NA)	我的高中同桌，爱讲一个个故事给我听。
(4星)	巴厘岛 ost很好听呀 
(3星)	还记得你赤脚提着钓来的鱼，以此为借口，求我留下来，留在你身边。
(2星)	在奶奶家的电视上看过一点，唉，那个“蝙蝠侠”真是让人崩溃。
(4星)	是比较早看的韩剧了，因为喜欢海滩也喜欢车太贤所以很喜欢这部剧。
(1星)	装可爱的女人
(3星)	居然比浪漫满屋还让我感动
(4星)	就开头有意思。
(3星)	札幌太美了
(4星)	这是我三年前在一个特殊的场合下看的，纪念下~~~~
(4星)	如果是我就不会选择皇太子
(3星)	em 一般啦
(2星)	男的都是三角眼
(3星)	……
(3星)	很好玩的故事~
(NA)	boring
(NA)	还是喜欢野蛮女友的车太贤
(NA)	喜欢你成宥利 
(NA)	还好...
(NA)	女主角演技很一般，但很喜欢
(3星)	挺好看的……呵呵……感覺很好！只是劇情單薄。
(4星)	如果不是车太贤,谁能演好皇太子呢?看过的第一部韩国电影就是我的野蛮女友啦.
(3星)	断断续续一点点
(5星)	这部剧带我走入韩剧的殿堂！迷死车车！
(3星)	长得都不怎样.
(3星)	看了前几集就很想去日本阿
(1星)	人生中看过最差的电视剧之一。
(4星)	好看 搞笑
