http://movie.douban.com/subject/2046853/	义不容情
(4星)	 沒料到我所失的 竟已是我的所有...每次響起這首歌眼前都是蓬蓬頭的劉嘉玲..            
(4星)	 正好重播，周海媚短发都这么美。刘嘉玲也不是没有演技的。            
(5星)	 20年前的经典港剧，又重温一遍            
(NA)	 童年回忆            
(NA)	 回忆            
(4星)	 内流满面啊当年            
(5星)	 小时候            
(5星)	 完全是因为回忆。            
(5星)	 一生何求？温兆伦第一次演坏人吧？            
(4星)	 前半虽感情戏较拖沓，胜在真实细腻，后半大事件一个接一个，可惜这戏剧性实在有些硬来。PS：发现港剧一个甚好玩的特点，角色老是大喊“你听我说啊，你听我给你解释啊”，——他他妈的就是不说！            
(5星)	 倪楚君。最后上楼梯的那一双腿……            
(4星)	 以前好沉重            
(3星)	 久远回忆            
(4星)	 这部剧到现在内容已经差不多忘光光了，但就是对温兆伦塑造的丁有康这个恶人形象无法忘怀，这绝对是港剧史上最最经典的一个恶人形象，也绝对是温兆伦演艺的巅峰之作。虽然现在想想觉得编剧对这个角色的刻画确实有些过了，丁有康不少恶行其实是支出远大于收益的，极其折本，正常的恶人一般不会如此。            
(5星)	 最近一直在疯看啊，不错不错~~~            
(5星)	 感谢江苏卫视重播。温sir演技太好了            
(3星)	 怀旧            
(4星)	 记忆中...            
(3星)	 超级好听的歌。            
(5星)	 经典            
(3星)	 天天看，不停了。            
(3星)	 一生何求            
(5星)	 当时的印象深刻。            
(4星)	 还行吧，觉得不如创世纪            
(4星)	 那个时代十大剧集，刘嘉铃演的就占了三部，那也是港剧发展最值得人怀念的一个时代吧。            
(NA)	 恩 童年记忆            
(5星)	 还是不错的            
(NA)	 和《我本善良》同时期看的，对温兆伦葛格这种软弱的善恶交集型人物大好ing            
(3星)	 断断续续看的，没什么太大感觉            
(5星)	 很经典的香港电视剧,在我不同的年纪看了2遍了            
(5星)	 小时候很喜欢，刚豆瓣电台放《一生何求》就想到了这部电视剧。            
(5星)	 小时候看的时候各种为结局揪心呐~             
(5星)	 儿时的回忆，充满泪水的回忆。。。            
(5星)	 哭泣声绝无意义，它不会扭转分开的心意，梦似是失去收结一首诗~            
(4星)	 日华你饿不饿啊，我给你煮碗面。            
(4星)	 奸角可饶，贱角难忍。我和我娘都觉得后面几集绝对是周海媚睡了编剧给她加那么多虐戏，虐你妹！            
(4星)	 经典            
(4星)	 当年和老妈一起看，看得太纠结了            
(4星)	 最后出现在教堂里的女人并不是楚君，而是他妹妹。            
(4星)	 配乐好，又喜欢看大家年轻的时候：）            
(5星)	 当年的蓝洁瑛真美丽            
(5星)	 那歌曾好听！ ~！ 当时的大家都好年轻啊~~~~~~~~            
(4星)	 还是觉得很好看...算下来 第一次播的时候我就一点点大...            
(4星)	 电视剧频道又再放一刚 还悬疑结尾那个肯定是他阿妹 一家门打发下午就看这个了 以前刚放的时候很多姐姐都老喜欢老喜欢温兆伦的~歌也蛮好听的 哈哈             
(4星)	 又在放了呀 那时候的打扮。。。            
(5星)	 感触很多 讲不清了            
(5星)	 经典电视剧，什么时代看都不觉过时，年轻的黄日华和年轻时的爸爸好像啊            
(3星)	 情义两难全            
(5星)	 重温            
(5星)	 1989            
(5星)	 为毛以前的港剧那么经典的？真是感慨。不知不觉看了好多好多。            
(4星)	 资产积累阶段的挺有代表性的故事            
(5星)	 前面节奏比较慢，但故事确实经典，演员演技一流            
(4星)	 细细个阵时，中午食饭必睇，睇到哭到阿妈都唔认得咁惨            
(5星)	 经典中的经典            
(5星)	 冷暖X何有，回头多少个秋。。。            
(5星)	 儿时最深刻的记忆。。            
(NA)	 刘嘉玲            
(4星)	 后来的很长的一段时间我都搞不清哪个女主是刘嘉玲还是邵美琪。。。            
(5星)	 很欣赏温兆伦的演技            
(4星)	 童年的记忆            
(NA)	 当年经典            
(5星)	 温兆伦演技无敌            
(3星)	 一生何求            
(5星)	 感人至深的亲情、爱情，或许也是最让我纠结的一部电视剧            
(5星)	 结局不能交流            
(5星)	 因为当时觉得温兆伦比较帅，还喜欢看他的片子!            
(5星)	 每看每哭            
(NA)	 TVB            
(5星)	 最近总会听到《一生何求》。            
(NA)	 英文名居然是looking back in anger            
(4星)	 09年看的第2遍……            
(5星)	 6岁时看的……            
