http://movie.douban.com/subject/2072170/	春日 봄날
(4星)	 该以什么得知你就是永远，心？            
(5星)	 池珍熙笑起来真好看。还有赵寅成，笑起来哭起来可爱起来都好看。            
(3星)	 我坦白我是猛烈跳帧看完的 一来高姐姐脸盘真不是一般的大 二来赵寅成演技虽然高出如今花美男之水准不止一截但一比李善均就弱得叫人不想看 最后池珍熙一加盟我就觉得是个老年偶像剧 不过今晚高姐姐拿了百想大赏为此加上半颗星好了             
(4星)	 喜欢赵仁成            
(3星)	 2004年 看来我那阵真是迷他            
(4星)	 好久才看到这么不矫情的韩剧女主角  赵寅成真的是穿什么都好看啊            
(3星)	 韩版心之金币。            
(3星)	 真的很喜欢赵仁成，可是实在看不下去了。。。            
(4星)	 为了演员，投四星            
(5星)	 一个总让她开心的笑，一个总让她感动的哭。可是如果让我选择的话，我也会选择那个总能让我笑出来的人。            
(4星)	 这俩男人。。分我一个吧。。随便哪个都行。            
(4星)	 我都不记得是怎么看的...貌似是陪麻麻看...然后..就很喜欢赵寅成~            
(4星)	 4颗星全给赵寅成！&gt; &lt;            
(4星)	 什么叫幸福。就是受伤了以后还有同时深爱着你的两兄弟为你一起做手术。而且两人都很帅。            
(NA)	None
(NA)	 最先喜欢哥哥啦最后喜欢弟弟啦            
(4星)	 隐约记得看过，还挺伤感。            
(NA)	 【2005-01-08】            
(3星)	 2005            
(3星)	 不明白这个当年为什么那么红            
(4星)	 主演们演技没得说，老套得让人猜到结局的剧情放在早几年才会大火啊，只能说片子生错时代了。            
(4星)	 那时候的星空卫视啊！看了多少韩剧。男主几乎是见一个爱一个。            
(3星)	 还是狐狸里的高贤贞可爱一些~~~            
(3星)	 就赵寅成一个可看～～～～            
(3星)	 这不就是天堂的金币么。。。。。女主长得和酒井法子太有差距了。。。。3星全是给赵寅成的。。。。。。。帅啊。。。。。。            
(3星)	 冲着赵仁成去的，激泪片            
(NA)	 成成比巴厘岛进步了喔            
(5星)	 哥哥教会了她哭，而弟弟却教会了她笑            
(NA)	 春日赵仁成            
(4星)	 不是电影啦            
(NA)	 不知道为什么就看了，可能是看韩剧的惯性。            
(3星)	 女猪不行            
(5星)	 太好看了~            
(4星)	 非得这样才能证明爱的深刻么...            
(3星)	 太悲了点。            
(NA)	 我最喜欢的韩剧            
(4星)	 赵寅成太帅了。。。这角色就是他的！中期不喜欢贞恩。。。            
(4星)	 虽然剧情很磨 但是很萌很美好啊~~~ 赵寅成还能再帅一点吗~~见血就又晕又吐的医生和见老爹就结结巴巴的儿子 太好玩了~~            
(4星)	 很喜欢.            
(NA)	 一度迷恋的赵寅成~还是蛮好看的！            
(5星)	 ╮(╯▽╰)╭            
(3星)	 赵仁成在“巴厘岛的故事”后接演的这部剧真的不咋滴。。            
(5星)	 这样美好的两个男子，随便分一个都是美妙的生活。呵呵，赵寅成演的还真不错。在每一部戏中，都不会留下上一部的影子。            
(4星)	 喜欢这样的ending            
(4星)	 我爱赵寅成            
(4星)	 当年为了这部剧，发誓说“我要努力学习，交换去韩国！！！”。。。除了脑进屎，还是脑进屎            
(5星)	 love 高贤贞            
(NA)	 人一生不可能只爱一个人            
(NA)	 我妈妈特爱看            
(NA)	 难得能看完一部韩剧。留作纪念。            
(4星)	 喜欢高贤贞            
(5星)	 最平淡的故事，最揪心情节，最优秀的演员            
(5星)	 我很喜欢这部剧的浪漫古典的风格，配乐很棒            
(4星)	 只看过开头赵仁成出场后的几集，然后他就成了我最喜欢的韩国男演员。他说看着这边站着，不要让我看到你的背影。他说我抱了哥哥，快点说我很乖，听到你的赞美心情会好一点。他穿着红色的大衣失落地从她那里走出，手指无意识地划着墙壁，脚步越来越快，越来越快~PS.主题曲好听！            
(4星)	 其实我一直想说这剧不错的。。。            
(4星)	 纠结人心的一部剧。。过程太痛苦。。。            
