http://movie.douban.com/subject/2073666/	陆小凤
(NA)	 西门吹雪            
(3星)	 李吹雪同学根本就是卖肉担当……他只负责洗澡和……不识字！！！不过怎么说都被水鬼同学好多了 但是这里面的花公子长的作孽不说，一开始竟然还……没瞎！偶谢特 反倒是瞎了我的狗眼。还有林小凤同学没了胡子果然……值得一看XDDDD            
(3星)	 很喜欢李铭顺和《我不后悔》            
(4星)	 我就是喜欢这一版            
(3星)	 凑合看了些 为了我们家阿尊            
(3星)	 这部还是可以的，林志颖留小胡子的帅气程度勉强可以和我拼一下，嘿嘿。            
(NA)	 李铭顺            
(4星)	 扶额……看过这一版花满楼之后我居然对其他的版本都接受不能了囧RZ            
(3星)	 至于造型那胡子我真是  = =            
(3星)	 很喜欢西门吹雪！！            
(5星)	 从这部喜欢陶红的，还有她唱歌很好            
(NA)	 没办法就是喜欢这版。。            
(4星)	 片儿有古龙的调调            
(NA)	 记得当时看陆小凤和花满楼啥的就觉得腐毙了……            
(2星)	 原来西门吹雪是一个不识字、爱吃路边摊、爱劈柴、爱裸聊、扛着大剑到处跑、没人帮他洗衣服的邋遢汉子，瞎了我算了             
(4星)	 我不后悔我曾爱过 只是天涯从此寂寞             
(2星)	 重新看了一遍之后= =就觉得号糟糕= =            
(3星)	 扮相难看            
(4星)	 當年覺得好帥啊!!!            
(NA)	 童年回忆。            
(3星)	  李铭顺 林志颖 陆小凤之决战前后             
(3星)	 这个剧情差别比较大。            
(5星)	 太爱这版的西门吹雪了 很有feel即使都是李同学 孙版的看着无感            
(NA)	 我可是为了林志颖才去看的            
(3星)	 ……还是孙耀威的陆小凤好看orz            
(NA)	 叶孤城应该穿白衣的。。。            
(1星)	 最不靠谱的小凤凰……            
(5星)	 这是电视剧            
(4星)	 人看着都很舒服~N年前放假在家天天盼着看~炮灰结尾            
(4星)	 还算不错！            
(3星)	 陶红的歌好听  初中看的            
(NA)	 剧中西门吹雪的形象比较符合我的想象……            
(3星)	 大家都嘲笑这版是鲁迅版陆小凤，但是它贡献了一个完美的西门吹雪啊！之后看何润东接受无能⋯⋯我一直觉得李叔的杨过其实也很不错，最后摘面具的那一刻啊，看哭了哦~            
(4星)	 我最喜欢的陆小凤            
(3星)	 选角都对我的口味，只有花满楼有点。。不过看习惯了觉得还挺俊美的。。            
(3星)	 粗糙得无语。。。。。。。要不是看在演员。。。。。            
(4星)	 当年很喜欢啊 看过书之后才知道 居然把几个故事编在了一起...             
(4星)	 林志颖很适合            
(2星)	 林志颖你能别粘胡子吗。。。            
(4星)	 美好的回忆            
(3星)	 林志颖一直都在装风流倜傥……            
(3星)	 太悲催了，林志颖就不适合这个胡子啊            
(4星)	 让我想起了小时候            
(2星)	 鲁迅先生你好,鲁迅先生再见!            
(3星)	 太可怕了            
(2星)	 当时就觉得很难看...全部都不是我想象中的样子            
(3星)	 我为什么会把李铭顺和李刚的儿子弄混？            
(NA)	 哈哈            
(1星)	 真是要多烂有多烂啊            
(3星)	 冲着花满楼看的，结果喜欢上了老实~            
(3星)	 书比较好看哦～            
(3星)	 小胡子。。李绮红  西门吹雪            
(4星)	 四条眉毛            
(5星)	 小志，还有陶虹            
(4星)	 大爱西门吹雪！            
(3星)	 童年回忆，陶虹那千年不变的发型            
(3星)	 古龙的电视剧啊……            
(4星)	 几个选角无比靠谱            
(3星)	 因为这个喜欢林志颖。            
(4星)	 四条眉毛的男人。            
(5星)	 哈哈哈，我还是很爱陆陆这个版本。            
(3星)	 陶红看起来太老了。。。。。            
(1星)	 这也叫陆小凤？！            
(5星)	 印象很深的一部古装片……            
(2星)	 陶虹，啊！！！            
(4星)	 年少时的记忆            
(NA)	 剧情还行，造型太雷。。。。            
(NA)	 没有后面那一部好看            
