http://movie.douban.com/subject/2076923/	花木兰
(4星)	 此片导演最成功的地方是找到了袁咏仪来演花木兰。            
(4星)	 其实最让我激动的是赵文卓误认为自己爱上男人的jq桥段。。。啊我腐得好早啊。。。            
(4星)	 孙兴太逗了 小吉利            
(5星)	 当年不畏中考的压力，一个劲的看啊看，看完了直播看重播，第二天回学校了还不忘和组织交流。。。主题曲也很好听，最喜欢苏永康的那首《我不是爱过就算的人》，陈慧娴的那首《我也有懦弱的时候》到现在还能琅琅上口。MS杨佩佩拍的那些电视剧的主题曲我都萌呐！嗯，我就这点出息。。。            
(3星)	 波澜壮阔的 澜            
(5星)	 苏吉利~~~            
(3星)	 之前屈中恒爆料，这部电视剧拍摄时男女主角相当不和~            
(4星)	 當年看這個硬是讓我把木蘭辭給背了下來= =            
(5星)	 那时侯觉得李亮就是理想型            
(5星)	 好看！苏吉利！            
(4星)	 同事说，你觉得那些咚咚好看是因为那是你童年时看的。好吧，确实是。            
(5星)	 苏吉利~~~~            
(4星)	 苏吉利！！            
(4星)	 “我也有懦弱的时候”            
(5星)	 最喜欢的花木兰，正点了去。小吉利萌史个人            
(5星)	 我儿时笑到抽筋 一度以为自己爱上李亮            
(3星)	 赵文卓真不好。。他妈要给他纳妾，，我都气死了。。为花木兰觉得冤，，委屈。。安            
(4星)	 当年相当喜欢啊 都记得李亮个臭不要脸的还要搞小三            
(4星)	 loli时期的我曾被他们河边相见的一幕秒过            
(5星)	 偶的择偶标准啊，还没人能取代的李亮啊。            
(4星)	 先入为主，先爱上了靓靓，才爱上了花木兰。从此还记得一句古语，有心栽花花不开，无心插柳柳成荫。            
(4星)	 谁在你心中？有多重？硝烟之外，是不愿战争的善良之心            
(4星)	 喜欢这两人搭配 很有感觉 服装很漂亮 喜欢的场景：木兰换回女装约李亮在河边见面 木兰舞剑李亮斗酒            
(4星)	 小吉利            
(4星)	 经典。            
(NA)	 杨佩佩是导演的吧？            
(4星)	 小时候看过的。。哈哈～孙兴好可爱啊。。演个小神仙叭貌似。。            
(3星)	 初中时候看的            
(5星)	 对赵赵很有爱。            
(4星)	 很喜欢的演员，很喜欢的剧情~            
(3星)	 那点夫妻情谊很真实            
(3星)	 3.5            
(5星)	 真的好喜欢这个电视剧！上高一时第一次看，从此迷上了！赵文卓好帅！            
(4星)	 我记得最后花木兰的老公变坏了？            
(5星)	 杨佩佩出品！！必属佳作！！忘不了啊忘不了，靓靓还有关礼杰，我都萌到极点。            
(4星)	 孙兴好好笑= =            
(4星)	 小学看的，很喜欢！            
(4星)	 小学时看的XD            
(5星)	 我儿时的古装电视剧最爱之一！            
(2星)	 。。。            
(5星)	 很好看~~~            
(5星)	 袁咏仪好漂亮            
(4星)	 一直觉得赵文卓很有男人味 想起来小时候背的“唧唧复唧唧 木兰当户织” 不过剧情相去的有点儿远            
(5星)	 很好看。            
(5星)	 为了孙兴那句“焦恩俊”才五星的            
(4星)	 此片甚好，暑期作业做小抄时必备。盛年之后的袁大姐英姿飒爽，年轻时一直帅的发指但死活没红起来的赵大哥也甚得我心。            
(2星)	 看着看着就忘了我在看电影了~            
(NA)	 娘娘腔的苏吉利~~~            
(5星)	 电视剧花木兰，那时疯狂喜欢起袁咏仪。里面增加很多可爱有趣的情节，作为电视剧看，对于初中生的我，爱不释手了！            
(4星)	 我觉得这片儿不错~哈哈哈哈！            
(3星)	 2010.04.04 这个剧播得到不是很频繁……电视台有放就又看了下~ 袁咏仪还是挺可爱的，现在看表妹也挺可爱的~ PS：今天正好还看见那个大穿帮，就是苏吉利指着余承恩（焦恩俊饰）大叫：焦恩俊，你。。。。不知道是不是戏外也这样吵的。。。哈~            
(3星)	 前半部好看            
(3星)	 蛮好玩的····            
(NA)	 情节忘记了，因为这部才开始喜欢的袁咏仪            
(4星)	 木兰诗在这里背的滚瓜烂熟            
(5星)	 还不错啦            
(NA)	 补遗               
(5星)	 小的时候超爱看，天天追看，还看了一遍又一遍啊，囧            
(NA)	 全部看完了哦            
(3星)	 很逗啊            
(3星)	 还真是，孙兴大爱……            
(NA)	 最后一集的片尾曲很好听，苏慧伦的。            
(4星)	 有点搞笑,很喜欢主题曲&lt;天下大乱&gt;.            
(5星)	 很好看很好看的剧~            
(2星)	 毫无意思            
(NA)	 = =!苏吉利！            
(4星)	 唔。這是小時候看的電視劇了我記得。當時炤神看的我好開心﹃_﹃            
(4星)	 大二的时候重播我和室友每天都看。。。躺在床上拉着窗帘床上堆着一堆吃的。。。好幸福 。。            
(3星)	 靓靓的花木兰真心不错，就是剧情什么的弱了些            
(4星)	 补tag            
(4星)	 我小學的時候看的，還邊看邊寫作業            
(5星)	 当年超喜欢这剧，苏吉利是萌点~~            
(4星)	 木兰额头一颗朱砂痣的造型很靓            
(5星)	 小时候看李靖和花木兰军中暧昧戏好羞涩的~            
(3星)	 小时候看过的 不太记得了             
(3星)	 他好美            
(3星)	 当时我就觉得雷您知道么            
(3星)	 =.=            
(4星)	 现在还能想起背景音乐的调子 还有开头的唧唧复唧唧 木兰当户织            
(5星)	 很喜欢的一部，萌。只有这部里面我才觉得赵文卓帅。            
(NA)	 上部很好看            
(3星)	 我怎么没马克这个。。。            
(5星)	 必须是初中最喜欢看的中国人演的连续剧 没有之一             
(4星)	 其實當年覺得趙文卓蠻帥的，後來就……            
(5星)	 可是超喜欢啊。我小时候看到李亮喜欢上花木兰的时候就很激动。天哪。原来我从小就喜欢看女扮男装。            
(4星)	 哈哈哈哈现在想想李将军的确是gay木兰和苏吉利才是真爱啊还是穿越时空爱上你呢！            
(4星)	 主题曲超好听            
(5星)	 我童年的最爱...孙兴!!!            
(5星)	 当时很迷这个...包括《木兰辞》            
(3星)	 笑過了，就忘了。            
(2星)	 是爱情片 不是历史片            
(4星)	 赵文卓只有在这部里能看啊……第一部小时候看得挺激动的（虽然还是更喜欢杨丽菁那版？），第二部就觉得完全多余了。            
(5星)	 很喜欢赵文卓的古装            
(3星)	 太长，简直像肥皂剧，老是孙兴和袁咏仪扮傻            
(3星)	 =&#34;=            
(3星)	 那个时候觉得袁咏仪巨美丽            
(4星)	 当年的赵文卓好帅啊T T            
(4星)	 当时想死了李亮你就做件好事跟庄小倩在一起吧，花木兰还是赶紧跟苏吉利跑路吧。            
(4星)	 真的是不错的。话说我看了好几次。。            
(3星)	 其实作为选角来说我还是挺喜欢这部电视剧的，毕竟男女主角都很有气势，但是改编得实在有些过火跟花木兰原来的剧情拉得挺远的，其实感觉都没必要时打花木兰这个招牌了。            
(4星)	 从前 非常喜欢的            
(4星)	 初中看的吧，当时记得很爱            
(4星)	 小时候看的。            
(4星)	 OST 好听  回想起来 靓靓在里面好灵啊            
(3星)	 前半部不错，后半部。。。            
(4星)	 当时还是很喜欢的            
(3星)	 孙兴喊：“焦恩俊！”   的时候我囧了            
(4星)	 刘孜那时候还行            
(NA)	 赵文卓这个傻逼。            
(4星)	 哈哈            
(NA)	 还是初中时候看的呢            
(5星)	 /ll这个根本也巨好看啊,还有焦恩俊的/l            
(4星)	 喜欢袁咏仪，喜欢孙兴            
(3星)	 暑假看的，没什么大印象。            
(5星)	 颠覆            
(4星)	 赵文卓~            
(2星)	 当时看了会就隔掉了            
(3星)	 差點忘記還有她了~            
(NA)	 《天下无敌》好听~            
(3星)	 对赵文卓没什么好感            
(NA)	 其实我满喜欢袁咏仪            
(5星)	 很温馨，很搞笑            
(4星)	 童年啊童年的^-^当初很喜欢木兰的            
(NA)	 还是这个版本最喜人哈哈～靓靓好靓～            
(4星)	 袁咏仪的侠骨柔情...            
(4星)	 虽然是六年级时看的 虽然他们穿的衣服都巨厚毫无美感 但还是很喜欢一说话一堆哈气的感觉 还有片尾曲～            
(4星)	 很喜欢袁永仪演的这个花木兰的角色～            
(4星)	 喜歡袁詠儀            
(1星)	 实在是很不好看            
(3星)	 孙兴！！！！！！超可爱            
(NA)	 很久远            
(5星)	 老娘就是觉得这部剧则进瑟特了怎么地了吧            
(3星)	 挫折不断但中是个好结局...            
(NA)	 其实花木兰是姑娘            
(3星)	 假期里很喜欢看。            
(4星)	 重温一下            
(3星)	 爱啊,年轻的赵文卓.            
(2星)	 一般            
(4星)	 很久以前看的了/            
(NA)	 那时候袁靓靓真好看            
(4星)	 好笑~            
(NA)	 乌拉拉拉乌嘎嘎            
(4星)	 给小时候的，因为小时候很喜欢            
(5星)	 豆导！！！！！！！！            
(5星)	 是很滑稽的            
(5星)	 不得不说这部片子给萝莉时代的我留下的印象是不可磨灭的，各种狗血桥段直戳萌点，自此之后任何版本的花木兰都是浮云啊浮云，除了主角之外一干配角的谐星气场实在太欢乐了……            
(3星)	 最像花木兰的演员            
(NA)	 【1998】            
(4星)	 也是。。竟然看完了！！            
(4星)	  1998 袁咏仪 赵文卓 孙兴             
(5星)	 中学的时候好爱看啊~~~            
(3星)	 = =            
(4星)	 当时看的时候 就一直很期待 木兰什么时候能被拆穿啊~            
(5星)	 童年回憶。            
(3星)	 淡淡的记忆            
(3星)	 这得是上小学的时候看的吧。。。            
(5星)	 小时候好喜欢看啊~~            
(5星)	 记得片头曲很好听            
(4星)	 不错啊            
(3星)	 当年的赵文卓啊 和独自啃着鸡爪子 再去写作业的夜晚            
(4星)	 李亮搞小三的时候 怒了            
(3星)	 3.5星            
(3星)	 记得孙兴很可爱            
(5星)	 小时候最爱好么            
(NA)	 当时 李亮都要把我气死了            
(NA)	 蓦然发现 我嫂子挺像袁咏仪！            
(3星)	 矮油 那个时候我好萌袁同学的            
(5星)	 好看好看            
