http://movie.douban.com/subject/2078864/	绯闻女孩 第一季 Gossip Girl
(2星)	 四个主角的名字连起来：SB+NC            
(4星)	 情义三千，不敌胸脯二两；黄金满屋，不低帅脸一张            
(3星)	 十来岁少年们和他们父母们的换妻俱乐部故事。            
(NA)	 这是一个根本没有剧情的美剧，所以我以为里面的人物和衣服会像传说中和网络口碑所说的那么好看。但是其实那些华丽的衣服太用力了，撞色也没有玩好，显得很低幼也不高档。从剧情到衣服都不好看，我被骗了。            
(4星)	 大爱Serena            
(2星)	 看的胃涨气 2星已经很高了            
(5星)	 感觉是质量蛮高的一部美剧,首先剧情发展比较快不拖沓,其次,虽然是所谓的&#34;gossip&#34;,但是有非常多的温暖的场景,是一部看起来相对比较让人开心的电视剧,再次,这部片从技术上来讲可以看得出来很用心.            
(4星)	 这种片，要一次过下载整季来看才过瘾。            
(NA)	 为了电视剧（能榨出东西的也就前三四集吧，铺设好了轨道，后面的东西往公式里填充就成了。但不管是不是造梦，GG里的人物塑造至少有了些圆形人物的苗头，没看到模式化的正反派让人感动的内牛啊TAT……）            
(4星)	 永远是朋友，偶尔打一pao            
(NA)	 这种美剧是难看呀，是有八卦的人就喜欢看八卦的片子呀。。。            
(3星)	 NP.            
(5星)	 Chuck Bass, I love you!S3E7,C u guys on DVD.            
(3星)	 弃。            
(5星)	 srena van de woodsen            
(3星)	  There’s nothing gossip girl like more than a good cat fight. And this could be a classic.            
(4星)	 第一季还是可以看的。            
(4星)	 布蕾克莱弗利 新女神！！            
(4星)	 s们了解的是s而不是little j ，little j们也最了解自己。            
(NA)	 如果天生有钱就是这种混乱的人生那我还是觉得现在这样比较好....            
(4星)	 How to be a bad girl            
(4星)	 好吧，我承认第一次把一部美剧看完。第一季的GG快要完了竟然[挖鼻屎]我好惶恐呀。真心大爱N和S，我在等待我的NS，其实我开始对BC感兴趣了。S是标准好女人，敢爱敢恨；B虽然是大小姐，但也有善良的一面；C和B是同一世界的人；N就是很帅；D也喜欢的；J是嫉妒心强的小女孩。哎哟喂，我要开始补全GG。            
(4星)	 最喜欢Lily，然后是Serena            
(NA)	 弃之弃之            
(1星)	 看過的最次的美劇。            
(NA)	 第一季真的很不错啊，不管是老一辈的还是小一辈的，真值五星的            
(NA)	 第一季覺得很好看！！            
(NA)	 随便都可以发生关系的哦。。。            
(3星)	 纯属个人魅力            
(NA)	 你有那么多的过去，叫我如何过得去？            
(2星)	 瞎编            
(4星)	 上流社会的浮夸和养眼。            
(4星)	 i love drama,gimme more!            
(3星)	 到最后，我喜欢上了chuck bass......            
(4星)	 不错的架构剧。最喜欢的人大概是Chuck。            
(4星)	 “人生朋友分三种：一辈子的 一杯子的 一被子的。得意时，朋友们认识了你；落难时，你重新认识了朋友。”这句话在这儿用再恰当不过            
(4星)	 很複雜.okay.我能接受            
(5星)	 好看！我家chuck帅无边！s和b巨美！            
(4星)	 作为新剧，第一季总体表现还是不错。期待第二季。            
(5星)	 昂~            
(NA)	 青春年少，纸醉金迷            
(NA)	 多角恋。各种勾心斗角，貌合神离。上流社会的精致生活。            
(2星)	 可能是没看过韩剧的缘故，这个是见过的最狗血的搞笑片，每次都笑翻，星星全给blake lively的笑容和肉体- -            
(NA)	 纯粹为了看OX露点            
(5星)	 這才是真正的豪華偶像劇！            
(4星)	 狗血的不一般            
(5星)	 看得很欢乐就是了0A0            
(NA)	 猪猡推荐            
(5星)	 很少看美剧 也很少去喜欢去坚持 但这是一部让我觉得很赞的片。女人之间的战争 大人世界的尔虞我诈 权利 地位 金钱 爱情 友情 亲情相互之间的重量究竟要如何避免和权衡 如果可以我希望我的世界是永远单纯的 我想我并不适合过这样复杂的生活 。只是这剧的男女关系实在是非常混乱。            
(4星)	 我真的好喜欢小混球Chuck和小贱人Blair.！CB这俩满肚子坏水的小孩之间才是真爱。             
(3星)	 蛮有趣的 话说剧本真强            
(NA)	 不对胃口            
(4星)	 为“练听力”看过两部美剧：Gossip Girl&amp;Lie to Me            
(5星)	 揪心的斗            
(NA)	 大概没有哪个女孩不爱看gossip girl了吧！！！            
(3星)	 挺没劲的            
(5星)	 看完了看完了……真佩服我的速度……            
(4星)	 看在你们都还养眼的份上四星吧。            
(4星)	 這個浮華多變的圈子。            
(5星)	 Blair对待感情体现了天蝎座女孩的特性，梦想与报复永远是她爱情的主题。             
(4星)	 I like Lily&amp;Rufus the best            
(3星)	 所以说不能期望值很高            
(4星)	 其实还行把也就            
(1星)	 够gossip ,soap，，，学美语倒是不错            
(4星)	 大爱S            
(2星)	 编剧垃圾，不跟了            
(2星)	 纽约上流社会的小p孩就是这样吗？            
(4星)	 好看呀～～            
(4星)	 总的来说是一部很不错的电视剧，情节紧凑扣人心弦，偶尔出来几个让人莫名其妙的人物但编剧很快能帮其完成从陌生角色到熟悉角色的过渡。此外，时尚元素的亮点——身为Patricia Field《欲望都市》的助理Eric Daman，在这部电视剧中选用了设计师Abigail Lorick，其后Abigail迅速走红。            
(4星)	 衣服~性~乱七八糟~所谓富人区            
(3星)	 偶可怜的偏执啊。。。。。居然被我扛下来了            
(4星)	 I love ban            
(5星)	 完了，我竟然开始追美剧了。人生。            
(4星)	 所有的美剧都只能看第一季啊～            
(5星)	 life, family, relationship, friendship, money and so on            
