http://movie.douban.com/subject/2085015/	绿光森林
(5星)	男主角实在很有气质啊
(3星)	这个片子还真是做作的可以呀～
(4星)	阮经天很王子阿...
(2星)	阮经天的囧时代
(2星)	弱智。
(3星)	只是泡沫剧而已
(2星)	漫漫长夜……无心睡眠啊-_,-
(2星)	不是叫威廉的就是王子，那个口音啊........我要抓狂。PS:为什么那个女主角要叫苏菲，NND，很容易让人想到弹力贴身嘛~~结局那个狗血啊.........
(2星)	阮经天好可爱。
(3星)	05 05 05。。。。。。OST 故事情节扯淡虽然 一个人的星光 勇敢的幸福 无法开口 刻在心底的声音 谢谢
(3星)	电视上看的。
(3星)	過。
(3星)	冲着阮经天看的，恋爱谈的很拧吧，而且这帮人根本没有正事儿做，天天就谈恋爱。不过看在是2005年的片子也就凑合了吧~~~
(3星)	立威廉近看皮肤太差颧骨太高，但是气质不错，阮经天可以。另外里面的人穿西装都很不错。
(NA)	我只是在想...以后我要列个豆列叫囧囧有神..明明这不是算新的了么...
(NA)	好肥啊
(2星)	要不是有阮经天我才不看类
(4星)	几乎不看偶像剧的我，无意中在心情极其低落的一段时间里遇到了它，或许这些梦幻般的情感故事颇为老套，单纯的不足以逗留太久，而它着实给了我温暖与力量，一种很美的感觉……
(NA)	补遗      
(NA)	更喜欢欧文。
(3星)	我的威廉王子呢 ...
(1星)	我想给零星！！！！！！！！
(3星)	一般般。
(2星)	大家就当是我为了把鬼片滤过去吧...囧...
(3星)	立威廉~~~
(4星)	小天啊 帅啊
(4星)	王子哇王子
(3星)	最后卡农~
(NA)	王子好帅  剧情很温暖
(3星)	Williams*______*
(2星)	要不是有LOLI我才不看台湾傻*偶像剧类。。
(2星)	女猪脚惨不忍睹！
(3星)	看台劇總是看得人心裡發顫，即使愚蠢白癡也覺得美好了。小天啊真是好看得無法無天。
(NA)	我恨我看过
(2星)	女猪脚双下巴！~
(4星)	原来我这么早就喜欢上刘品言的啊。
(1星)	路过。打分。
(2星)	kill time
(3星)	挺狗血的剧情。
(3星)	算是通过这部剧知道的立威廉这个人吧。长得挺立体的一帅哥，却不耐看，演技也一般般。
(NA)	纯小天
(2星)	哈哈哈哈哈哈哈
(1星)	不喜欢
(2星)	嘿嘿，立威廉很帅。
(NA)	我都说是阮经天啦 都没人信
(3星)	……没看完……
(4星)	忘记具体内容啦..我爱小天!
(NA)	立威廉好帅啊。。。and makes think of someone...
(2星)	除了阮经天，里面的人没一个能看的
(1星)	哈。第一部被我打1星的片子。
(3星)	sweeties加威廉王子非常野力
(3星)	闲的蛋疼时看过几集
(3星)	绿光。因为阮经天所以加一星 ^^
(5星)	阮经天呀，魔障
(3星)	欧文
(3星)	小天 小天 小天。
(3星)	只要相信，就一定可以看到幸福的绿光
(2星)	一直都觉得立威廉演偶像剧是糟蹋，我不得不说喜欢他的样子和气质。
(2星)	这部剧真的很不怎么样。
(NA)	还有点年轻的吧 会一集一集的等着看
(3星)	它真的不该叫偶像剧。。。
(2星)	做作~~
(3星)	单纯的童话 简单挺好 就是假
(4星)	刘品言还真是清新
(3星)	里面音乐还可以
(2星)	实在是无聊啊= =
(3星)	有两个俊男，很养眼。
(4星)	星星全部给阮经天。
(3星)	如果不是威廉，我才不…
(2星)	只有风景好看
(1星)	跟着湖南台看了最后一集，这一对实在是完全不搭！
(2星)	一般一般~~剧情可以用来哄哄小孩~
(3星)	 电视剧
(3星)	喜欢男2
(3星)	很想说...女主角的坏话.
(2星)	女主是好命的肥婆
(2星)	阮经天多帅的！
(3星)	阮经天同学.很帅很骑士.后来发现合滨公园,那年夏天宁静的海里都有他.做MV男猪比破电视男2累死都得不到女猪的心开心多了吧
(NA)	只要你相信
(1星)	我居然看了,完全鄙视我自己.
(5星)	小葵很少追偶像剧 可是真的有被感动
(2星)	我居然看过这个。
(2星)	差强人意。没有好的剧本，缺少让我感动的东西。
(4星)	只要相信，就能看到幸福绿光。
(4星)	爱上立威廉的王子气质。
(2星)	不是很喜欢的~
(NA)	【2005-10-23】
(3星)	某个暑假一直沉浸在此剧中。。。一边看还要一边骂刘品言是面坨子脸= =
