http://movie.douban.com/subject/2119419/	我和僵尸有个约会1 我和僵尸有个约会I
(5星)	 无法形容7年前第一次看到时的喜爱。            
(5星)	 山本龙一的百年孤独！            
(5星)	 显有这么一部电视剧里面几乎每个人物都让人觉得心疼。。请允许我矫情一回。            
(3星)	 唉。。。。还不是为了看马小玲的美腿。。。。。            
(3星)	 万绮雯的腿很漂亮，所以，她最经常穿的是短裙；杨恭如 的五官不错，架上个眼镜更显秀气，况天佑的扮演者的墨镜也不错， 所以说，化妆技术仍然很重要。特效 是我们观看电影电视的原因之一。            
(5星)	 马小玲啊..            
(3星)	 中国神话故事西洋吸血鬼僵尸中国近代历史美少女战士各种穿越超级赛亚人东洋和尚赌片N角恋灵异事件，各种元素数不胜数啊，在那个年代拍这样一个玄幻片也挺不容易的，看花絮演员连替身都没有，剧情狗血洒的有点多，如来和观音根本就是来捣乱的，不过剧情从技巧角度来说还不错啦，假结尾一个又一个。            
(5星)	 我看到亚视又在播了，好怀念。            
(5星)	 蓦然看到他，况天佑，尹天照，最初的彻夜不眠。            
(NA)	 况天佑。            
(3星)	 反反复复乱七八糟的一部关于将臣的子孙们作乱的故事。那个捉鬼的那个女的最后却去喜欢好吸血鬼，可怜了眼镜娘..总之是一部稀奇古怪，效仿漫画情节严重的片子。            
(5星)	 大爱啊大爱 不管是马小婷还是珍珍 都要把我迷死了 唯一的缺点就是尹天照实在是挫的没办法说 恶！            
(NA)	 现在看来有些罗嗦            
(3星)	 马小玲太美好了昂            
(5星)	 二年级            
(4星)	 帅            
(5星)	 哈哈，好看！            
(4星)	 我一直觉得尹天照挺帅的            
(4星)	 哎呀呀，被我发现了！            
(3星)	 妈的 最后剧情珍珍承认自己在骗山本的时候，山本悲痛欲绝又深情的表情森森打动了老娘，蓝后山本是帅气的狂叫，我正在花痴铁汉柔情的大反派的时候，山本就他妈变身东海龙王了！！！！！！！！！！！！日啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 当年好爱看            
(5星)	 强调生命永恒的悲哀孤独，求死而非求生，下一世一定会再见，愿永世与共。            
(3星)	 剧情很弱，完全没有传说那么好，不过万绮雯的美腿，杨恭如的美貌，加上陈启泰的英俊，加一星吧。所谓三角恋，也就是况天佑的摇摆不定而已。            
(5星)	 永远的马小玲！            
(5星)	 终极反转剧啊            
(3星)	 2.7－－－木哈哈！看到友鄰Tag這個我發現我也看過！！            
(5星)	 某人给我的推荐 看完了感觉是很不错 。            
(4星)	 前世或有约            
(4星)	 白看不腻的电视剧。“况天佑和马小玲”，就算只是名字被放在一起,很多人都会感觉幸福。            
(5星)	 就一直没看完过，因为怕看到恐怖得……虽然身边的都在看但是我发现我从小就有点固执，说不看就真的不看            
(5星)	 当年看的时候 真是太好看了！ 记得是小学的时候，租碟每天看 每天放学就看            
(4星)	 超短裙！            
(4星)	 十分难得````````亚视还有能看的电视剧            
(4星)	 我操，当时小学我妈妈硬不给我看，说要我去背诵            
