http://movie.douban.com/subject/2119420/	我和僵尸有个约会3 我和殭屍有個約會III 之永恆國度
(5星)	 看到最后发现其实我喜欢的不是男猪女猪，而是完颜不破 超爱他那股孤单和隐忍 从那时候开始起喜欢那种斯斯文文的戴眼镜的那种 可惜现实生活中那种人是禽兽的概率很高……            
(4星)	 编剧实在太有才了！！！            
(4星)	 当年租碟和一群人一起看的             
(5星)	 引用神话故事，将人王伏羲、盘古、瑶池圣母、嫦娥、地藏王、天书等传说中的故事人物加入剧情，造就了一个赶世界末日前拯救人类的英雄故事，其中又穿插不同人物之间的爱情故事。情节起伏高低，连绵不断；台词精警难忘，道尽人世间的希望与无奈。只有一句，陈十三是僵尸故事前无古人后无来者的鬼才。三辑            
(5星)	 况天涯。最好听了。            
(NA)	 第三部是最雷的。偏偏小玲是最美的&gt;&lt;.            
(4星)	 &#34;信就一定行,不信就不行。&#34;编剧陈十三整三部下来就没停止过不时雷人不时感人的戏码。            
(NA)	 开场不够华丽，解决注定不完满。            
(4星)	 高中时看的啦QAQ            
(3星)	 第三部，劇情為唯美而唯美，為悲情而悲情，欲深沉反淺薄，綫索冗雜零散，可能和萬二蚊傷得太重有關。陳啓泰說，僵屍三再不拍，他們都要變老僵屍了。有點傷感的説法。也是，杜汶澤退出，張國權老成，尹天照下巴鬆弛……歲月不留人。歲月可留情？傳説，就此結束。            
(5星)	 最好看的一部！ 编剧想象力太丰富了。            
(NA)	 劇本依舊寫得用心            
(5星)	 台词太刻意去感动人，配乐让我感到仿佛一切都在归于平淡，不忿过为什么又出现大劫让他们去救世，怀疑过小玲会不会因为是天佑的皮相而爱上箭头，然而不满和失望都随着渐渐看完而消逝。。既然陈十三从筹备一的时候已经想好作出三部曲，既然已经不可能再有僵尸四的诞生，那么我相信这会是最好的结局。。。            
(4星)	 马小玲和况天佑的传奇            
(3星)	 裏面的郭家頤很漂亮            
(4星)	 马小玲～            
(4星)	 都不知道看过没了            
(4星)	 唉。只适合看一次的第三部            
(4星)	 隔了多少年，以为没希望的时候出了这部僵尸三，万绮雯的美腿和陈十三的故事就够有看头了。故事还是一样的精彩，比起前两部线索更多铺陈更大。每个人物都有自己的人生与无奈。最喜欢插曲重生。另外不得不说，伊天照是真的老了。            
(5星)	 这是僵尸迷们希望永不消失的传说……支线有点乱，但陈启泰确实给力。不知为什么，对前世的箭头也很喜欢/又重看了,其实开头几集对时空交错的把握,插叙倒叙,手法很妙,还有同一个场景的三人不同视角,可以看出极用心,可惜十三为了爱妻改了剧本,否则这部应该可以超越前两作            
(4星)	 天平女+天蝎男，巨蟹男+巨蟹女，天平女，狮子女            
(3星)	 曾经追过            
(4星)	 爱上一个人和伤害一个人，一秒就是一世            
(4星)	 三星半。僵尸、吸血鬼的题材，也蛮好看的。            
(NA)	 - -            
(4星)	 三不如一和二~~            
(4星)	 高一看的。剧情方面，支线太多太拖沓，扰乱了主线剧情，不过还是好看啊~完颜不破啊，迷死我了= =陈炜，美女！！！小玲受了伤，导致戏份相对减少，十三乃是个好老公！！！            
(3星)	 天照。。            
(3星)	 其实只看了第一集，看到第一部里面的那个小男孩如今竟然已经那么大，忽然感觉自己老了。。。于是不看了。。。万绮雯保养得真好，一点都没变。            
(2星)	 中国香港            
(4星)	 喜欢小玲这部里的造型~            
(NA)	 集体回忆            
(5星)	 莫名其妙 值得            
(5星)	 呼呼，终于算是看完了            
