http://movie.douban.com/subject/2134784/	雪花神剑
(3星)	 那时觉得杨恭如这么漂亮，男主居然不喜欢她喜欢陈炜，真是瞎了眼；陈炜到现在依然觉得丑，丑疯了！那时候多么迷恋姜大叔啊~~            
(4星)	 杨恭如的梅绛雪,我心中完美女性的代表            
(5星)	 兒時經典。喜歡楊恭如。還有主題曲！            
(4星)	 那时候杨恭如还那么美丽            
(3星)	 就是看美女杨恭如去了。            
(5星)	 喜欢杨恭如            
(4星)	 我只想说，那个时候的龚慈恩，美得不似人形，但是，她怎么能残得如此厉害？伤心！            
(3星)	 姜大卫啊姜大卫，原来那个时候我就偏爱大叔了。            
(4星)	 杨恭如太美！            
(NA)	 初识杨恭如...清新脱俗...            
(4星)	 当年罗玄小凤这对师徒恋给我的震撼远远超过了杨过小龙女            
(3星)	 杨恭如好美。            
(NA)	 HK亚视难得的好戏。。。杨恭如。。            
(5星)	 在这里喜欢恭如            
(4星)	 无情的男人+无耻的女人=亚视变态虐心剧 看得人好恨啊好气啊折寿啊            
(5星)	 想当年！播这个是在11点 外婆要我10点睡觉 我在床上睁着眼睛躺倒11点 听到厅房出现主题曲 立马溜到门口在门缝里看！            
(4星)	 绛雪那么好，方少偏偏不喜欢。玄霜有那么好吗？好不好只是一种看法，看顺了眼，就觉得好。在这部戏里，喜欢不喜欢，跟好不好没关。            
(4星)	 师父，我最喜欢的，始终是你。            
(NA)	 但是对姜大卫完全没印象。。囧Rz            
(NA)	 真是一部纠结到死的戏            
(2星)	 。。。。。。            
(NA)	 我好像终于找到了那个双胞胎姐妹故事，歌好听。            
(4星)	 迷恋姜大卫好多天            
(3星)	 开始添加TVB...这个ATV的            
(4星)	 聂小凤            
(2星)	 就为了玄霜和绛雪的名字看的 = =            
(4星)	 当年追着看，因为喜欢扬mm，现在记得的却是除她以外的其他了。。            
(4星)	 最近找来重温，和同事说，他们都不知道..            
(3星)	 真心的爱，你却说那是“弥天大错”，情何以堪？才知道，“对不起”三个字其实是最伤人的。你挥霍了我的崇拜。莫名想起这句话。            
(5星)	 冲着龚慈恩我就力荐了。            
(3星)	 还不错            
(4星)	 主題曲到現在還記得很好聽龔慈恩永遠那麼美~            
(5星)	 小时候觉得杨恭如挺漂亮            
(NA)	 梅降雪跟陈玄霜你们是都瞎了吗聂小凤是龚慈恩哎。。            
(4星)	 经典            
(NA)	 原来是看过的。。。。那一掌拍下去，发簪刺穿头颅的情景刺激了我多年。            
(NA)	 觉生大师是泡妞高手             
(3星)	 想看点快意江湖的武侠片对这种爱恨情仇没什么耐心熬完……而且想吐槽一句怎么聂小凤她小时候的声音和长大后的声音几乎一摸一样，没有萝莉的甜软也没有少女的清脆，TVB缺钱请配音是吗。            
(4星)	 童年回忆             
(NA)	 龚慈恩真是太美了            
(NA)	 最近又在重播了嘿~~            
(NA)	 一直记错以为玄霜是叶旋演的.            
(4星)	 剧情都不太记得,只记得降雪里个名            
(4星)	 那时候多么恨方兆南不爱梅降雪 罗玄不爱聂小凤            
(NA)	 此前最爱的是用自己头发自亡的女皇，结果现在只记起梅绛雪的名号。            
(4星)	 居然这部武侠能让我哭的眼泪哗哗...真的觉得特别傻,对那种没有回报的爱还..推荐op,爱不了忘不了!..            
(3星)	 亚视美女也很多            
(4星)	 很不错，            
(4星)	 有琴天的评论很有才……其实我几乎只记得主题曲了。            
(NA)	 哈哈,竟然看过~            
(4星)	 嗯，喜欢那一段师徒恋。            
(5星)	 曾经狂追的最爱.剧本比小说有逻辑和前后连贯多了,又少了小说的凄迷.            
(3星)	 突然想起，原来我还看过……            
(5星)	 哦当年的回忆！            
(NA)	 随便翻了下原著，原来卧龙生是那个年代的，男性／女性，正义／邪恶，战争／和平…这种朴素美好的逻辑习惯啊电视剧嘛我不想说罗玄方兆男什么的渣男，这就是一部维双方护价值体系的阶级斗争史，当然现实原没这么简单武侠的桎梏。不爽卧龙最后把小凤搞死了，女读者不会让她死的啊啊往后300年都不会！            
(4星)	 小時候超愛看這部劇！可惜後來一直忘了這部劇叫什麽名字……只記得楊恭如在裏面的名字：降雪，當時就覺得這名字好美啊~~            
(3星)	 杨恭如和陈炜，异卵双胞胎。            
(3星)	 对于这部古装戏印象很深刻，但是觉得兆南要喜欢的是玄霜，二人比较相衬，后来又觉得降雪比玄霜更让人心疼，可惜两姐妹喜欢的是同一个人，但总觉得兆南并不是一个很出色的人，只是比较好运而已。            
(NA)	 小时候看的，什么都不记得啦            
(5星)	 童年的最爱之一啊！            
(4星)	 我还是怎么也喜欢不了聂小凤。更喜欢聂媚娘的坚韧和体谅。男人里，似乎也只有觉生不那么渣。            
(3星)	 就觉得 杨恭如看上姜大卫这落差。。。太不搭了。。            
(NA)	 小时候看的！            
(5星)	 那个时候我是多么的爱杨恭如啊~~~~            
(5星)	 我只记得~当时还是小屁孩的我怎么也想不通为嘛小凤会喜欢那个老头子！！！最爱是梅降雪，喜欢她吹笛子的样子~还默默模仿了好久，无敌讨厌她那个妹~也讨厌那个男人~            
(NA)	 实在是无法把姜大卫的脸想象成师傅的样子，虽然龚慈恩靓丽足够，但是我觉得小凤也不是像我期待的那样真的深深爱着那个师傅的。。            
(NA)	 印象最深还是龚慈恩跟姜大卫，杨恭如的戏份彻底记不清了。            
(5星)	 电视再重播这部，真经典            
(NA)	 童年回忆啊！            
(5星)	 我爱死了这电视剧的主题曲了，当年的杨恭如真是惊为天人～            
(3星)	 他不爱你便始终不爱你。最为感触的是降雪等了方兆南三天冒雨前来最终还是未能见到他一面连孩子都没有了。玄霜的角色不能说不好只是无法让人喜欢，女人的优点缺点系于一身，偶尔的自私软弱没有安全感，即使得知降雪怀有方兆南的孩子，我都无法接受她因为这个消息可以无视方兆南被刺受伤，呆立原地。            
(3星)	 小时候觉得剧情没有金庸剧那么吸引人，但是OST很强大。            
(5星)	 除了聂小凤 这剧真没出彩的人  玄霜是贱人 方兆南更贱人事实证明 贱人是要跟贱人一对的 你表现的再好 比别人再优秀有没用 因为贱人只喜欢贱人             
(3星)	 梅降雪。            
(4星)	 所有的星星都是给聂小凤的，聂小凤的。小辈们的爱情完全没有老一辈的爱情来的有看头啊            
(4星)	 ATV的算是比较好的古装剧，主题曲到现在还记得，杨恭如在里面的扮相如小龙女般不食人间烟火的美。            
(3星)	 讨厌玄霜。            
(4星)	 童年回忆～～～ 杨恭如当是贼清纯            
(5星)	 我最喜欢的之一            
(4星)	 早忘了剧情了 但是一直记得里面有一幕 杨恭如穿着白衣吹着碧玉的笛子而且那个时候经常揣摩那个魔教头头的发型是怎么弄得            
(4星)	 杨恭如美啊            
(2星)	 对主题曲印象深刻            
(3星)	 1997年暑假看过            
(4星)	 聂小凤。从天真纯净一路走到所有人都想诛之，果然一寸间的爱也会转变为恨，不能一起幸福就一起毁灭 P.S:小凤的配音李俊英             
(4星)	 atv少有的经典，比书好多了，改编得超好。演员也好            
(4星)	 一出出的爱情悲剧0 0我只看了前四集。被米记吸引来。-V-            
(3星)	 反正小时候怎么都爱看的东西            
