http://movie.douban.com/subject/2138507/	奋斗
(1星)	 装逼的片子，打死都看不完！太他妈的装了！            
(2星)	 除了语言贫得有王朔之风之外，内容到意义都很牵强，同一切庸俗的青春偶像剧一样，人物性格都很幼稚，几近为所欲为，逻辑很难自圆其说。            
(1星)	 晕，我一星都不想打！            
(1星)	 这么烂的片儿你们也打五颗星?            
(2星)	 大陆剧逃不出矫情的烂圈子，我TM快烦死马伊琍了            
(1星)	 勵志個屁！            
(1星)	 无以复加的垃圾，不予置评。            
(3星)	 我怎么就那么喜欢听北京话呢。            
(2星)	 台词好玩，剧情很扯。            
(NA)	 让我哭过让我笑过，让我回忆很多。也许每个80前后的人都经历过这样的生活，但是结果有些扯            
(4星)	 为什么陆涛不爱米莱            
(3星)	 对白太做作了            
(1星)	 玄幻            
(1星)	 去他妈的土逼富二代。意淫吧 生命短促啊。            
(4星)	 为啥我没选“励志”，因为我觉得一点儿也不励志。太憋屈是真的。            
(5星)	 这电视剧贫的，贫的有味儿，看着很开心~~            
(5星)	 看的时候很痴迷 这就够了            
(2星)	 呃，為了跟喜歡的人有話題才看的            
(4星)	 奋斗了，才知道什么是奋斗。            
(3星)	 老弟推荐            
(1星)	 去他妈的土逼富二代！！你们丫都去意淫吧！奋斗都是反义词励志个屁！！！            
(4星)	 我们必须去工作，去谈恋爱，去奋斗，这件事十万火急，我们一天也不能等！            
(4星)	 《陆涛为什么不爱米莱》              
(3星)	 很无赖很好看            
(4星)	 我讨厌米莱。            
(5星)	 最爱　华子了！～            
(3星)	 當初是看到很逗er的對罵.所以..            
(1星)	 搓逼剧本的搓逼对白            
(NA)	 又点意思            
(4星)	 歌挺好听。            
(3星)	 操，不管人多人少，讲话都像背台词，写的还那么不口语，啥编剧啊！            
(3星)	 奋斗            
(3星)	 那些开骂的有多少看懂了的啊？            
(5星)	 老有意思了。            
(5星)	 我们的生活            
(5星)	 特喜欢米莱            
(5星)	 我要做米莱一样的好女孩，《左边》让我流泪。            
(3星)	 脱离现实。可是，我真喜欢北京人瞎贫啊~            
(2星)	 一群富二代整天腻在一起侃大山，哪来的“奋斗”啊……            
(NA)	 导演: 赵宝刚            
(3星)	 我擦，什么奋斗啊，一开始这劈腿劈的，我都要吐了            
(NA)	 拼拼凑凑地看全了            
(2星)	 向南和小芸真是...经典。就看了几集，弃了            
(NA)	 垃圾到不想打星            
(4星)	 我最爱你阴郁的主调子。            
(2星)	 装B典型            
(3星)	 哈哈            
(3星)	 在电视上反覆看到。。= = 没共鸣 没耐心            
(5星)	 虽然台词和情节早就都滚瓜烂熟，电视上播的时候还是移不开眼睛。我不喜欢夏琳的嫉妒，也不喜欢米莱的依赖，不喜欢杨晓芸的泼辣。我不知道我喜欢这电视剧哪一点，也许我根本就是不喜欢自己即将面对的奋斗，一开始必须是要撞得头破血流不可。            
(NA)	 不错，很切实            
(3星)	 三星半。            
(3星)	 不知道为什么红            
(2星)	 你就装！！！            
(2星)	 奋斗~~一群疯狗在场上乱跑，一会成S型，一会成B型，毫无战术可言~~这么差劲的片子我都看完过……            
