http://movie.douban.com/subject/2140064/	栋笃神探
(5星)	 vivi：“我图你什么？图你帅还是图你有钱？还是图你顺路搭顺风车？我图你神探，就会抓贼？你这没用鬼，腿短又哮喘……”说完之后甩手离去，剩莫作栋一个人在街边靠着栏杆喃喃自语：为什么现在来歧视我有哮喘？说得我很不好玩似的，既然不好玩，还玩我干什么呢……            
(5星)	 我这个下里巴人，心中的童话从来不是韩剧日剧美剧，TVB这种戏，剧情假到死，场景像话剧一样只有那么两三个，配角全都是熟张儿，表演无比夸张，可是永远能打动我。生活里的事儿和他们在剧里看的粤语片暗暗吻合，哈哈真好笑，最后莫作栋这个矮脚鬼那么平静的仰面死去，看的真是想哭啊。            
(5星)	 點解莫作棟要死呢？            
(5星)	 真是再看几遍都不会觉得腻，但前面24集就一直(*^__^*) 最后一集就(▔/﹏\▔) 让我怀疑编剧你是少女心突然泛滥了么搞咩朱丽叶与梁山伯啊！还我作栋！其实探案本身显得挺幼稚，但好在子华的表演和台词，蔡少芬也超可爱，一对儿欢喜冤家。配角都不错，印象最深是扮贱的魏骏杰，每次看到他呢个衰样儿都想笑            
(5星)	 最后一集最后一段 一个人慢慢倒下去一个人在照婚纱照 黄子华的招牌不是盖的            
(5星)	 若要人不知，唔好太低B～            
(5星)	 子华好靓仔！！！！你竟然就这么挂唑！！！            
(4星)	 为什么莫探员要死！！！！我好难过            
(NA)	 听闻黄子华很有才            
(5星)	 黃子華我一向都buy！睇成10幾次都有了……            
(5星)	 不是温情戏，也不是女人戏，是一场怪诞十足的属于黄子华的个人秀。            
(4星)	 若要人不知,唔好太低B            
(4星)	 黄子华先生，你最后怎么就这么去了啊。。。。   一切都好，结局太悲了~            
(5星)	 演员表演、剧情都很赞，可为毛弄个这么伤的结局！！！哭！            
(5星)	 其实现在看起来子华的风格有点像跳跃大搜查线里的青岛啊。。。            
(5星)	 精彩！ 知道为什么收视会比金枝欲孽还高了            
(4星)	 看过很多的TVB，唯一不能忘记的就是莫探员和他口袋里永远掏不完的卫生纸。            
(4星)	 再欢乐的过程也依然抵不过悲哀结局。岂止电视剧是这样啊~            
(5星)	 我要爱死莫作栋            
(5星)	 这个，貌似当年是头一回上网追港片 2004@上海            
(5星)	 人的生命是一场筹码收集与发散的过程            
(5星)	 两个人好配！！！！好久没有看到这么好看的片子了。。            
(4星)	 我图你什么？图你帅还是图你有钱？还是图你顺路搭顺风车？我图你神探，就会抓贼？你这没用鬼，腿短又哮喘……            
(5星)	 三年前我跟我妹很迷这部片子，那几天到广州玩还放心不下结局……            
(5星)	 很搞笑啊！黄子华同蔡少芬都好好戏！结局是开放式的，当然喜剧结尾是我所乐见的．            
(5星)	 当年TVB颁奖的最佳拍档 黄子华和蔡少芬。黄子华没有拿到最佳男主角很是可惜。             
(5星)	 “无钱又好，样衰衰又好，食饭成日唔俾钱，送人翻屋企又无车都好……”“贪你咩遮，贪你无用啊，短脚哮喘仔”←最感动呢两句            
(4星)	 “受害人李慧慧，你现在可以不说话。 但你所说的话将作为呈堂证供。 你最好只点头。 你是否愿意娶莫作栋，照顾他一辈子？” 亲爱的vivi什么都没说。只是张狂地笑着点头。            
(5星)	 衰人莫作栋！！你不要抛下我啊！！！            
(5星)	 啊啊。当年的大爱。。黄子华。我爱你。可是结局。额。算了            
(5星)	 一场荒诞，精彩的闹剧总有结束的时候~            
(5星)	 子华的戏，我最喜欢这部            
(3星)	 黄子华实在太滑稽了，有种不正经但却足智多谋的感觉，结局是哀伤了点，难怪又出了个完美结局。PS：VIVI表白那段两个人都好可爱！            
(4星)	 跟《古灵精探》比，这部的男女主角真是太出彩了，《古》则胜在一帮配角太鲜活！            
(4星)	 无数师奶竟投诉            
(4星)	 栋笃笑呐~~~            
(5星)	 我爱你吖莫探员            
(5星)	 很经典的片子 第一次认识黄子华 很喜欢            
(5星)	 我被豆瓣监视到了聊天记录么？            
(5星)	 超中意黃子華!!!            
(4星)	 子華棟篤笑的經典之作。當年sad ending引來觀衆投訴無綫。原來看電視求輕鬆的人們眞地受不了喜劇之外的現實與命運。誰又不是呢？            
(5星)	 轻轻捏一下就捏死着？哈哈。            
(5星)	 短脚哮喘仔同女长人```好搞笑～..  强烈抗议木有happy ending            
(5星)	 我就是这样喜欢了黄子华。啊！我爱莫作栋！            
(4星)	 黄子华真係鬼马……结局好hurt            
(5星)	 老子看完还是觉得真他妈的不是滋味……完美结局只是观众一个梦吧，最后还是死了            
(4星)	 俺耐大叔            
(4星)	 当年收视率是超过金枝欲孽的 。太厉害了。电视果然是极好的传播媒介。            
(5星)	 值得给五分，因为值得鼓励。这是TVB少见的，把想表达的东西藏在台词与情节后面的戏。给五分的另一个理由是为这个通篇喜剧的那一个悲剧结尾。“原来把所有的筹码都还给我，是让我再玩一次。”            
(5星)	 笑到抽，绝对的粤语搞笑段子大集锦！            
(4星)	 莫作栋走了，黄子华还在，应该欣慰一些吧。            
(5星)	 栋笃            
(4星)	 很喜欢很喜欢黄子华。鬼才一个。            
(5星)	 “我图你什么？图你帅还是图你有钱？还是图你顺路搭顺风车？我图你神探，就会抓贼？你这没用鬼，腿短又哮喘……” 熟捻。            
(5星)	 我的记忆永远停在子华倒下的那刻…… TVB&#39;s BEST            
(5星)	 以前买碟看的 真的！很好看...            
(5星)	 子华的精品。            
(4星)	 竟然觉得哮喘很可爱,熟女也是            
(5星)	 黄子华哎~著名的爱国反日演员~演的确实不错`这剧满好看的~我们校电视台放过的一个好片~            
(4星)	 每次看黄子华都笑，呵呵～            
(5星)	 本来是喜剧，居然弄个悲剧结局。。。            
(4星)	 黄子华很有柴            
(5星)	 黄子华有爱~            
(5星)	 喜欢黄子华            
(5星)	 无论重看几遍，到最后还是泪崩            
(4星)	 为啥以悲剧收尾呢……            
(5星)	 黃子華是個好人，很愛他最後結局眾人都惋惜，而要再拍就知這套多受歡迎&gt;&lt;            
(5星)	 最爱TVB的警匪片 黄子华和蔡少芬里边简直就是绝配 有黄子华的剧就是保证啊            
(5星)	 我的第一部TVB            
(5星)	 劈敲叉打掐            
(5星)	 想当年大学宿舍多么风靡啊~~~！@@            
(3星)	    为什么詹沾给哑铃砸了最后还能很健康，莫作栋被爆了个玻璃樽反而那么严重死掉了阿阿阿阿阿  不能接受不能接受            
(5星)	 当年中考前追着。追忆            
(4星)	 有才的子华啊            
(5星)	 我只想说，结局令人好伤感  害我失落了好一阵子            
(5星)	 大结局哭湿了一包纸.彻底爱上黄子华.            
(5星)	 最爱之港剧            
(5星)	 超搞笑，黄子华的搞笑功力很深啊            
(5星)	 Ada的另类演出！和黄子华碰撞出火花了！            
(5星)	 5年之后才看，很经典。明明是喜剧，却是个大悲剧，最后哭得淅沥哗来。            
(5星)	 黄子华啊黄子华            
(5星)	 因为此剧彻底爱上子华大叔。剧里几乎每个人物都很喜欢，女长人，罗密欧，詹沾还有巨漂亮的韩君婷~            
(5星)	 让我迷上子华的作品。第一部看黄子华的作品，是宋世杰二里的赖三，那真是，相当讨厌。余乐天，宋世杰，赖三，阿坚，白活，看来看去，最爱还是莫作栋！和ADA不愧是最佳搭档，两个人都太喜剧又太自然了，演技大赞，最记得是一次VIVI脱口说出喜欢的类型（分明是指阿栋)时两个人的眼神，太赞了。可            
(5星)	 怎一句经典了得            
(NA)	 好睇!            
(4星)	 现在想来，黄子华的造型有点模仿跳跃大搜查线里的青岛            
(4星)	 客观地讲，我觉得没有《绝代商骄》好看。            
(5星)	 喜剧片竟然是个悲剧结局，我癫了。            
(4星)	 我是彻底彻底彻底迷上黄子华啦·不得不说蔡少芬演技真是过硬，看她和黄子华一唱一和真是妙趣横生啊~两个好搞笑啊！            
(4星)	 子华还是舞台演出精彩。。。奈何他喜欢拍戏            
(5星)	 最后一集直接把我看哭了。。。干嘛要这样编剧啊，第一次这么讨厌悲剧结尾。            
(NA)	 又重溫了一遍。子華同Ada真係好般配啊啊啊。            
(5星)	 子華！            
(5星)	 你瓜我不瓜            
(4星)	 结局太狗血            
(5星)	 大结局哭死我啊            
(3星)	 哈哈，陪我食饭~            
(3星)	 阑尾            
(5星)	 唯一的缺点是中间有好几个案件都很无聊            
(NA)	 陪若一起看的。            
(5星)	 太经典了吧 莫探员！！！！            
(5星)	 子华!!            
(5星)	 经典！莫sir和慧慧姐真是天生一对！若要人不知，唔好太低b~~romeo，你太好笑            
(5星)	 结局太坑爹了啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 great            
(5星)	 太棒了！！！            
(4星)	 好玩啊！            
(4星)	 莫探员啊。。怎么会是这种大结局啊            
(5星)	 这才是TVB            
(NA)	 最后莫作栋死了。。            
(NA)	 真的笑得眼泪都要飙出来了            
(5星)	 多少經典臺詞點解會死呢結局看得我幾番輾轉~睇一次肉緊一次~子華我的愛啊            
(4星)	 再看飙泪了，想遇见我的黄子华。不会死去            
(3星)	 好嘛，我不讨厌黄子华了             
(5星)	 “我图你什么？图你帅还是图你有钱？还是图你顺路搭顺风车？我图你神探，就会抓贼？你这没用鬼，腿短又哮喘……”“为什么现在来歧视我有哮喘？说得我很不好玩似的，既然不好玩，还玩我干什么呢……”             
(4星)	 妖怪华= =。。。是我花心我不对~你娶我啊~            
(3星)	 原谅我先看了《男亲女爱》 所以觉得《栋笃神探》多么一般            
(5星)	 不太喜欢结局。            
(5星)	 太贱太经典了！！！            
(NA)	 我快进结局，是因为我知道黄子华要死。但我没想到，还能死得那么感伤。全因someplace good前奏响起那一刻。            
(5星)	 结尾有点画蛇添足吧            
(5星)	 罗密欧既3起3落至今可以令我笑餐饱，一开始莫作栋瓜咗…虽然好心up…都算子华坚持到自己的霖法……无奈一个星期之后就有赶拍出来既happy ending睇，师奶既力量永远系最伟大嘎！            
(4星)	 黄子华很有才嗷~~            
(4星)	 杯具……            
(3星)	 剧情模式化            
(4星)	 对于结局一直很有怨念，这样的故事怎么会配了那样一个结局。历经多年，心心念念想着找着看，终于把团圆版结局看了。可是，为什么最后留在记忆里的仍然是慧慧孤身一人在那张渐成黑白的照片里定格的笑容？            
(5星)	 和飞机一起看            
(4星)	 正所谓怪力乱神,哎呀我好喜欢屎sir啊~~~~.            
(4星)	 子华既出，谁与争锋~~            
(5星)	 绝对够经典的一部啊            
(4星)	 十分可爱。            
(5星)	 栋笃华            
(5星)	 tvb鲜见的不同尝试，皆因黄子华。台词之妙不是大部分港剧能比，没想到ada把握的如此之好，魏俊杰更是万分出彩。黄子华不用说了            
(5星)	 另类的警匪片，案件一点都不复杂，甚至从案犯一露面就能认出是他，最大的卖点是意外又不做作的搞笑成分，看到现在最好笑的TVB剧了，赞一把~ 不过看整部片子都在笑，结局却能叫人哭出来，不知道为何要安排这么一个悲剧收尾，看过后来TVB收到太多观众投诉后改的happy ending，虽然是畅快了许多，但说实话感觉有些突兀，风向转得似乎太晚了，也许应该把整一集通通改掉。这么好的人，这么好的故事，怎么说都应该有个开心的收场的。虽说happy ending不深刻，可是看电视麽，图个轻松爽气罢了，巴不得人人各得其所，演得开            
(4星)	 处女男+处女女            
(3星)	 不好看，一点悬疑色彩都没有~就是搞笑而已~而且故事还很简单~            
(5星)	 哭了。            
(4星)	 破案的~结局也太囧了吧            
(5星)	 http://www.tudou.com/programs/view/Kuh5FaYabwo/?f=i623-2            
(5星)	 正在上传            
(4星)	 黄子华死的那刻我才发现，原来他是双眼皮            
(5星)	 o(∩_∩)o...            
(3星)	 纯属搞笑            
(4星)	 软侦探，贱得可爱            
(5星)	 黄子华里面很有型。            
(4星)	 男主角常晚上看老片            
(5星)	 回味无穷.感谢这一干演员给与我的欢笑和感动.台词自然,搞笑;结局也不错.总之都不落俗套.感谢编剧.还有,黄子华,彻底中你的毒了....            
(5星)	 好看            
(4星)	 还不错的一部剧，TVB刚播的时候追着看得很爽            
(4星)	 福尔摩斯进《东方列车谋杀案》绝不会放走犯人结局。福是高高在上的天才，而波洛则是温情小老头。而栋笃神探莫作栋更甚，他可以腿短可以哮喘可以赖皮搞笑，但他IQ高EQ更高。23集诸多关于上司下属的名句戳中人心，正义和法律也可以让他创造奇迹。难怪04年打败《金枝欲孽》收视冠军，又让民众起义改结局。            
(5星)	 之前24集让人捧腹，最终大结局却以最彻底的悲剧结尾：或许此即黑色幽默。每个爱人都应该可以和李慧慧的情感路线照应，谁没遇过一个詹沾，一个莫作栋。既然是找人相守，他务必具备和自己协调的生活禀赋。故纵然万千师奶钟情詹沾，李慧慧仍选择莫作栋，哪怕以凄惨压轴。            
(4星)	 竟然是悲剧结尾，有点出乎意料，虽然看了Happy End版，觉得还是太过牵强。一部非常轻松诙谐的剧，演员非常喜欢！黄子华一如既往的不换衣服，蔡少芬还是很美啊，或许悲剧结尾，会记得更长久一些。            
(5星)	 对TVB不甚感冒的我也因黄子华破例了~~这个新年简直是靠黄子华过完的~~            
(4星)	 虽然结局和全剧的气氛不符，但却很有感觉            
(NA)	None
(5星)	 为嘛不加主角光环？恨你！！！！！！！！            
(4星)	 點解要死啊！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 好中意嘅一部啦!!!特别搞笑            
(5星)	 happy ending啊！！！黃子華好可愛啊蔡少芬真的很贊            
(NA)	 黄子华是不错的喜剧演员            
(3星)	 预知罪犯的情节设置一星，黄子华一星，粤语长片式夸张做戏的雪妮一星~            
(4星)	 蔡少芬就是柯南嘛，走到哪哪出命案            
(3星)	 屎高拔            
(5星)	 如果只有23集，最后慧慧和栋在一起，詹沾开始爱上沈端儿 然后在一起，多完美的大结局啊。            
(NA)	 其实tvb里没那么狠，但是范儿            
(4星)	 sad ending不算突兀啊 最后倒地的微笑几好~ hk人民竟然反应这么大哦。。。            
(5星)	 记得最后他死了...            
(5星)	 vivi说：我图你些什么啊，图你长得英俊还是图你有钱，还是图你送我让我坐你的顺风车，还是图你是神探，只会捉贼！你这不中用，短腿又哮喘的东西…… T^T            
(5星)	 看得不是探案，是世道人情。细节处处都很精彩。演员个个都很出色，极尽夸张，但又觉得戏剧感恰到好处。笑了又笑，最后让你笑不出来。很久没看这么好的电视剧了哈哈。            
(4星)	 草草看过            
