http://movie.douban.com/subject/2146034/	大清后宫
(2星)	 大长今+金枝欲孽     讨厌胡静            
(1星)	 哎哟卧槽我也是看过这种囧剧的，那个囧囧的剧情哟，那个难看死人的服装跟造型哟。            
(4星)	 这部戏肯定是胡静有钱的新加坡丈夫投钱拍的，胡静才能一跃而成number１。            
(1星)	None
(3星)	 山寨的大汇合            
(1星)	 一群面瘫脸加上抄袭╮(￣▽￣&#34;)╭             
(5星)	 皇帝是用来背叛的......            
(1星)	 天雷滚滚            
(1星)	 脑残流            
(4星)	 国产电视剧制作精良，看着就是华丽。剧情方面，让人觉得心酸。            
(3星)	 拷贝《金枝欲孽》么。。。。不算太烂，也好不到哪里去。            
(3星)	 哪里好看哪里好看了？            
(2星)	 亲娘，我居然看完了。            
(4星)	 山寨tvb得很开心嘛            
(2星)	 我无聊，我看旧剧/(ㄒoㄒ)/~~看不下去了            
(NA)	 黄维德，你现在总算是出名了。            
(2星)	 抄了N多个剧本，最后弄得N不像...            
(2星)	 比较烂吧。            
(2星)	 好几年前看的，不是一般的假....            
(NA)	 补遗               
(3星)	 情节上太多不合情理之处。            
(3星)	 黄维德的古装扮相真是绝色啊            
(4星)	 阴险剧！            
(NA)	 抄得很欢乐你们。            
(NA)	 住在酒店的那几天每晚必看~            
(3星)	 胡静妆敢再浓点吗            
(1星)	 太假了！            
(2星)	 我媽愛看            
(3星)	 大清后宫版的“冬季恋歌”。            
(1星)	 鸟屎死的片子，模仿《金枝》，还搞得两个贴吧的人吵架            
(4星)	 从这里喜欢上了黄维德            
(4星)	 大陆版的金枝欲孽....            
(4星)	 又是后宫争斗，很惊险，很狗血，但看的很上瘾            
(3星)	 大陆拍成这样，不容易了。比不了金枝欲孽是肯定的了            
(3星)	 各种抄【3.5星】            
(1星)	 于妈你能再狗血山寨一点么？            
(3星)	 = =让我记住了霍思燕，美。            
(3星)	 挺无聊的其实。。。而且皇帝大哥你也太衰了吧。。。            
(1星)	 真想给0星！！            
(3星)	 前几天看到经视重播 才想起来 那时候觉得黄维德还可以  他是不是那时候跟伊能静奸情的            
(3星)	 果断弃！山寨。            
(3星)	 胡静            
(3星)	 胡静+陈浩民，多数电视剧都是因为喜欢的一帮演员才看，可惜还夹个黄维德，这娃哪里帅啊？            
(2星)	 胡静，黄维德，陈浩民。三个演员都不算讨厌，但此剧没看完。            
(1星)	 烂片            
(2星)	 胡静何德何能演主角？            
