http://movie.douban.com/subject/2148850/	战神
(5星)	台湾偶像剧少有的华彩之作
(5星)	仍是我心里爱情偶像剧第一名 时隔多年之后看 竟发现还有戴立忍 真是 从导演编剧到演员 无话可说了
(5星)	他们分手了，但好在留下了这部剧。。。
(4星)	初三的假期。畸恋、同性恋、不论的强奸、自杀、双重人格、心理暗示、床戏……在那个年代来说真的算比较大胆了。
(5星)	有内涵的偶像剧
(5星)	谁让主角那么搭，我就是喜欢了。
(4星)	蔡月勋功德圆满的偶像剧，要不是因为是改编自日本漫画，当年的金钟奖一定是战神的
(5星)	台湾的偶像剧，只要能追看到最后的，都是非常喜欢的。
(5星)	台湾的纽承泽都不能做到那么细腻，那么恰到好处的把心理障碍以及年轻的叛逆处理的那么好。只有蔡岳勋做得到
(4星)	算是还不错的台湾偶像剧，看一遍还可以，情节复杂，人物性格也有新的探索，是S与周的定情作，两人现已分手。漫画更好看些。
(4星)	黑暗中 彼此唯一的光
(5星)	我年轻那会儿确实挺像绮罗的
(4星)	一颗星扣给大爱死。
(4星)	本来人人都说好看,我就偏偏不看,后来两三年之后,当人们会觉得它已经是老片子的时候,我才不晓得怎么地有了想看的念头.结果是;又爱上了一个男主角...
(5星)	人们很变态，不过很喜欢
(4星)	为了追这部剧在它还在拍摄的时候去补看了原著的漫画，虽然喜欢着大Ｓ和仔，但我要说的是，漫画真的更好看。
(4星)	几部看得进的台湾偶像剧之一，也成就了大S和仔仔的爱情，我当时看电视剧的时候就感觉到了他们的火花，只可惜，年初，他们也分手了
(5星)	mars，带领我们冲出悲剧的黑暗英雄
(4星)	最神奇的一集卡住。
(2星)	慢慢看吧。。。没事干
(4星)	真的好看
(5星)	两位很有张力的表演让我惊讶，同时因为这部戏喜欢上了赖雅妍。
(2星)	没办法，两两那么喜欢仔仔。
(5星)	其实，我觉得最精彩的是安钧璨演的精神病。
(NA)	对他的戏似乎只有流星花园的记忆
(4星)	剧本其实很有点意思的。
(5星)	台剧经典，以十年为单位，一波也就出那么几部，不容易啊、
(5星)	唯一一部看了２遍的。。。无敌了这个电视　超级好看
(5星)	台湾偶像剧 
(3星)	我看过的为数不多的当代偶像剧 好吧 我承认 我老了
(5星)	他们两个真的陷入爱中
(4星)	台偶里不错的一部~
(NA)	那时候还在流行花园仔仔后遗症中么？呃
(2星)	N年前看的~不过也没有看第二遍的必要
