http://movie.douban.com/subject/2153523/	北京夏天
(4星)	 喜欢刘石            
(4星)	 那时候觉得很好看            
(5星)	 没有理由的喜欢            
(4星)	 我仍然记得当时看的情形            
(NA)	 男孩叫罗葳？那时好喜欢他，想到他那个年纪时是他那样子。             
(4星)	 小时候看的，第一次对大学生活有了模模糊糊的印象。演男主角的罗葳后来好像专演话剧了，总觉得他身上有种淡定的气质，小时候很喜欢他的。夏天的热烈弥漫在阳光里，弥漫在空气中，弥漫在深绿色的树叶上，弥漫在人们赤裸的肌肤上。            
(5星)	 无论这部电视如何，都在那年的高二给过我对大学爱情无比热烈的憧憬，所以是五星            
(5星)	 电视剧里的刘石真的很帅，剧中还有他泳装画面，当时我好爱他！我应该是上初中时候看的吧？            
(NA)	 隐约觉得我是看过的= =            
(4星)	 看过无数次 每次都对曹颖的经历满心悲愤 这样圆满的大学生涯 也只会出现在别人的生活里八            
(4星)	 记得这个电视剧里第一次听到羽泉的歌            
(5星)	 就是这部电影让只有小学四年级的我就充满了对北京大学校园不切实际的幻想，时至今日，即使已身在国外，依然不能自拔地陷入于幻想之中。北京的校园阿，太令人向往了。            
(4星)	 ms是高三时看得，那时对大学充满憧憬。            
(4星)	 许群航！刘石！            
(NA)	 人生中第一次对大学有了认识，看的时候还是低年级的小学生吧。            
(4星)	 就是看这个无比憧憬着大学生活，上了大学才发现不过如此。那个时候还觉得黄海冰怎么那么帅？囧            
(5星)	 最初最美的回忆.            
(NA)	 再次怀旧!!!!            
(4星)	 对大学的认识从这里开始。            
(4星)	 我因为我姐 提前青春了 当年别提多喜欢王石了！            
(3星)	 那时就不喜欢曹颖。。。            
(4星)	 也许是因为这部电视剧，才让我在物质和爱情的选择那么坚定不移！            
(2星)	 一群老黄瓜集体刷绿漆，倒是陈羽凡的作曲很棒，那时他还没遇到胡海泉。 好吧，终于开始添加万恶的电视剧            
(4星)	 我很惊讶自己竟然还记得这部电视 或许对北京的迷恋就是从那个夏天开始扎下根的吧。            
(NA)	 挺小内会看的电视剧吧.挺好看的.还有.我其实还看过内书来着.            
(3星)	 那会还真挺喜欢看的 不过当时就觉得怎么男主角这么丑=,=            
(NA)	 #爱情启蒙片#            
(3星)	 曾因此片对黄海冰惊为天人（但是现在不喜欢了~）            
(4星)	 帝都黑 小时候就不太喜欢这部 特别那个 设定为 很有味道的 曹颖            
(3星)	 靠～～这部片子都找出来了？谁说将爱情进行到底是第一部校园偶像剧啊，这部才是了～～            
(4星)	 小时候的回忆            
(NA)	 比将爱还早的回忆。            
(4星)	 小时候就爱看偶像剧！            
(5星)	 又看了一遍             
(4星)	 纯净            
(4星)	 当年亦是我的憧憬。            
(NA)	 特小的時候看過，那時對大學的印象是不用上課，整天談情說愛的。            
(NA)	 能回去吗，回到你们的风华正茂，回到我们的年少无知，能吗？            
(3星)	 不记得讲的什么，对于那时候的我们来说，就是现在的偶像剧            
(5星)	 算是小时候的回忆吧            
(4星)	 许群航 遥远哥哥            
