http://movie.douban.com/subject/2153527/	新白娘子传奇 新白娘子傳奇
(5星)	 我直到现在仍认为白娘子是最美的东方女人。。            
(4星)	 昨天上网吧，边上一中年男子居然坐那聚精会神地看这剧，还不时发出爆笑。经典魅力不可挡啊。。。            
(5星)	 看不厌的华语剧挚爱，昭示了一种美好生活。很多戏文都很好，也有很多包裹着温情外衣的人情世故。每次看到第二集最后就泪眼婆娑：这么美好的爱情，惹得天羡人妒，叹天下虽大，有几人能洞房花烛遇知己？ 美若天仙的赵雅芝，你永远是我的观音娘娘~            
(5星)	 小时候觉得雅芝姐是女神            
(5星)	 叶童演技太牛逼            
(5星)	 传家剧            
(5星)	 叶童演的真是很好 赵雅芝美就可以了            
(5星)	 几乎人人都看过吧？            
(5星)	 就是喜欢。。小时候看法术听歌曲  大一点看爱情 夏天的偶然一天 发现里面有好多做人做事的道理。。难得的集智慧与美貌为一体的好片子。。            
(5星)	 每次遇到重播都要跟着看一遍            
(4星)	 陪伴我成长            
(5星)	 DL：http://www.rayfile.org/show.php?tid=16403            
(4星)	 经典千年等一回            
(5星)	 那时候小朋友们都喜欢白素贞，我最喜欢的却是小青。直到现在也一样~            
(4星)	 估计是重播最多的一部电视了            
(5星)	 小时候觉得白娘娘是最漂亮的阿姨。。。。小青是最可爱的姐姐            
(5星)	 我的童年~~~~~~~~~~~！            
(5星)	 永恒经典呀。            
(4星)	 依旧经典，个人认为无法超越            
(4星)	 那音乐，那故事，那白蛇，都太熟悉了~~            
(5星)	 完美            
(NA)	 小学时代的经典回忆。。            
(5星)	 千年等一回的经典，千年之后无人能超越吧            
(5星)	 我的小青我的媚娘            
(5星)	 白素贞和小青 许仙和法海 媚娘和彩音 许士林和戚宝山....  我小时怎么就没看出来呢................            
(NA)	 白娘娘就是赵雅芝啊。经典不可磨灭。            
(4星)	 赵雅芝那个时候真是风情万种呢，更喜欢媚娘一点~            
(5星)	 寝室最近天天演绎渡情和千年等一回            
(3星)	 千年一回。            
(4星)	 主题曲不错。整个故事现在想起来也控制得很好的。            
(4星)	 现在重新看看才发现里面好多经典的话小时候都看不懂。            
(NA)	 小傻,当时为什么我们不看下去?!            
(NA)	 重播次数仅次于《西游记》            
(5星)	 是谁在耳边说爱我永不变 只为这一句 断肠也无怨            
(5星)	 童年回忆             
(5星)	 那么用心的音乐            
(5星)	 小学时代的经典记忆～            
(5星)	 经典            
(5星)	 看了10遍只为看个第一集……从未如愿……            
(5星)	 这个看了能有10遍- -小时候还让我妈给我梳白娘子的头发            
(NA)	 很多年后我听说这个电视剧是边拍边写的，之前连大纲都没有，立马服了            
(5星)	 豆瓣成员常用的标签(共1143个)  ······电视剧(5534)新白娘子传奇(4162)经典(3772)赵雅芝(3331)台湾(2441)童年回忆(2414)台剧(1459)爱情(1220)LES(123)            
(5星)	 官人把我插的好好看啊.明目张胆的教人搞拉拉.            
(NA)	 官人！！            
(5星)	 今天看都觉得比现在的电视剧好            
(4星)	 神话剧，小时候的最爱！小时候总喜欢看变来变去的魔法什么的。            
(5星)	 一点都不假。。。            
(5星)	 看过不下十遍吧。赵姐姐怎么就那么美呢？            
(5星)	 童年的美好回忆。            
(5星)	 没有它的童年是不完整的            
(5星)	 童年时期的最爱。            
(NA)	 看过四五遍，就是第一集没看完整            
(5星)	 小时候特爱看。弄得我现在看叶童演女的我都别扭……            
(5星)	 岁月荏苒，它仍旧是不老的江南传奇。            
(5星)	 百看不厭 看百遍不止            
(5星)	 我在想那些评少了5*的，你们是真的用良心在评么 - -！  分不清什么叫神作么  - -！            
(4星)	 一个经典。            
