http://movie.douban.com/subject/2154096/	士兵突击
(5星)	 让我左拥袁朗，右抱史今吧！！！！            
(5星)	 大陆唯一一部没有女人的电视剧。制作精良。            
(5星)	 最好的励志剧和偶像剧。如果你因为不热爱军旅题材或者出于单纯的逆反心理而错过它，那就太可惜了。            
(4星)	 终于看完了。始终喜欢着成才，因为他是独自成长起来的，不像许三多那样有人宠着。            
(4星)	 3年来看的唯一一部电视剧~这让我明白一个道理,嫁人千万不能嫁许三多!!!            
(3星)	 我最喜欢561~            
(5星)	 两字，牛掰片。写其他都多余，啊，我写多了。            
(4星)	 非常优秀的主旋律电视剧，真诚，幽默，充满向上的力量。            
(5星)	 好久没有这么痛快的哭过了。。。            
(2星)	 看得为数不多的电视剧之一，依然不能激起对中国电视剧一丝好感。不知道什么东西吸引了那么多人            
(2星)	 什么逼玩意            
(4星)	 不讨厌的主旋律            
(5星)	 喜欢得不得了            
(5星)	 头一次看连续剧看的热血沸腾泪流满面又开怀大笑。            
(5星)	 对俺的影响很大，很大，很大，非常大~~            
(5星)	 上哪里找那么好的人            
(NA)	 谁告诉我的？ 阿甘正传+兄弟连            
(5星)	 有点中毒的意思            
(5星)	 不得不承认，不错。            
(4星)	 过年在家还能干啥？            
(3星)	 看到十五集看不下去了。            
(NA)	 如果相遇只是为了离别            
(4星)	 还是最喜欢史今，因为温情吧，我想。            
(5星)	 终于知道什么是男人了            
(5星)	 很不一样的士兵形象，没有女性角色，纯爷们的戏。喜欢高诚，他评价许三多的话一针见血：明明是个强人，天生一副熊样~~            
(5星)	 看时人人都是许三多，过后人人都不是。            
(5星)	 班长哟。。。            
(5星)	 好片            
(5星)	 人们缺少的不仅是道德醒悟，同时也是一种向标杆直跑的经历。生命在这之间不能说一说，而是该做一做。            
(NA)	 突然就发神经想看了，回去下去。            
(4星)	 如果这部戏里没有王宝强……            
(4星)	 他会让你不断的分析你自己。然后找到一条路。            
(4星)	 果然没有女演员，除了毒贩的毒贩老婆，还一个二婶、一个护士，台词不超过三句，真牛叉。            
(5星)	 许三多 说“我不打牌，打牌没意义。”哈哈哈。！            
(4星)	 看过一点，笨蛋成精记。            
(3星)	 愚民电视剧            
(NA)	 不抛弃，不放弃~~            
(5星)	 第一部喜欢的军旅剧            
(5星)	 那些男人教我的事            
(4星)	 很真实的士兵人生            
(5星)	 哭，也是要坐牢滴，啊！            
(3星)	 中国版阿甘，也就那么回事，看了十集，不看了，比只看了一集半的《奋斗》要好点            
(3星)	 不抛弃，不放弃~            
(NA)	 每一集都是有意义的，每一集都有不同的意义            
(NA)	 在30岁的时候，完成向男人那一步的一跃            
(5星)	 561，班长，连长！！！！！！！            
(4星)	 不抛弃！！！不放弃！！！！！是不是男人都该牢记这两句话！！！            
(5星)	 我还是喜欢电视剧里的张译            
(4星)	 249恨你一辈子！            
(2星)	 我会详细的说，为什么我觉得这片只值2星            
(4星)	 现实肯定不是这样啦            
(4星)	 史今+1☆ 袁郎-1☆ 但是整体人物塑造都是非常的完整 生动和鲜活的            
(4星)	 爸爸说：挺逗            
(5星)	 特别爷们儿的戏。除了许三多和成才，其他人都爱死了。特别爱袁朗和史今。会写一篇长评。            
(5星)	 很man很感人。            
(5星)	 很感动很好看很激励很喜欢李晨！我哭了！！！！            
