http://movie.douban.com/subject/2154743/	封神榜
(NA)	 儿时的恐怖片。。            
(5星)	 帥哥好多 花心亂顫            
(4星)	 花开花落，花开花落，悠悠岁月，长长的河，一个神话就是浪花一朵，一个神话就是泪珠儿一颗~~~            
(NA)	 把生命化作那朵莲花，功名利禄全抛下            
(4星)	 看到有人说 :小时候非常喜欢那个妲己，觉得太漂亮了，尤其是服装，但不敢告诉其他小朋友，怕被骂。不过之前电视上重播，看到妲己身上那么多艳俗的花还是小小的汗了自己一下。            
(4星)	 姬发是我的第一个梦中情人，第二个是展昭=V= 姬发呕血片段大爱！从此喜欢病秧子男……            
(5星)	 空心菜            
(NA)	 傅艺伟的妲己的美是十个范冰冰也无法超越的            
(3星)	 我承认5岁的我YY妲己鸟。。还有土行孙。。汗。。            
(NA)	 愿生命化作那朵莲花            
(5星)	 真是一Cult片儿～挖眼，挖心，炮烙真刺激～            
(5星)	 毛阿姨和谭校长的歌~            
(4星)	 文王汤镇宗，做成饼能好吃么            
(NA)	 儿时的记忆！            
(5星)	 这个绝对经典了！            
(NA)	 这也是看过四五遍的电视            
(NA)	 妲己~            
(3星)	 哈哈哈 太B级了            
(NA)	 小时候就感觉拍得很先进，后来没机会看到了……            
(4星)	 我还真看过这个版本，就是小时候，太好玩了            
(5星)	 在火坑中烧红的铁柱上赤脚走，还有把已经被挖出眼珠的皇后的手放在灯炉里，商代刑罚最恐怖！这是对这剧的仅有印象了...对了，还有帅气的哪吒！            
(4星)	 还是这个经典！            
(4星)	 演的最好的一个苏妲己，还有最好的一个纣王，真的有那种老色鬼又很昏庸的感觉。            
(4星)	 哈哈哈，青春啊。            
(4星)	 妲姬很漂亮，可是是坏人。            
(5星)	 歌词说生命是朵莲花。            
(NA)	 回忆            
(5星)	 天哪，蓝天野这个老头～～            
(5星)	 我最喜欢这个啦小时候，傅艺伟那时候惊为天人啊            
(5星)	 花开花落，花开花落，悠悠岁月，长长的河……小学三年级时第一次看该剧，很经典！            
(4星)	 穿肠破肚吃人心的美艳傅艺伟            
(NA)	 一直觉得是色情片            
(4星)	 此中纣王相貌酷似萨达姆            
(NA)	 当时就觉得特二的一个戏            
(4星)	 还是老版好看啊。。何威的哪吒，李建华的杨戬，王海弟的金吒，许勇的黄天化，汤镇宗的伯邑考……多年后重看帅哥们还是这么经典。。            
(4星)	 每个男人心中都有一个狐狸精。。。            
(5星)	 妲己啊~爱妃啊~            
(4星)	 帅哥美女太多太多～            
(NA)	 。。。            
(4星)	 哪吒就算现在看也是帅的~            
(4星)	 哈哈哈～ 兒時喜歡看得很哦！ 坐在洗澡碰里看得眼睛動都不動下子！            
(4星)	 记得那个时候我们家刚买了电视机，春节里正在播这个片子，于是村里的大人小孩每天都聚在我家看。由于人太多，我总是被他们挤在最后面，郁闷……            
(4星)	 很血腥            
(NA)	 那时候觉得傅艺伟老迷人了%……            
(NA)	 经典叻 呵呵             
(2星)	 女人穿的真少啊            
(5星)	 这个版本的妲己最妩媚            
(4星)	 不错。            
(NA)	 几岁时看的第一部历史连续剧            
(4星)	 很cult的一剧            
(4星)	 傅艺伟太漂亮了。            
(4星)	 存目            
(3星)	 小时候有限的那几个电视剧中的一个。            
(4星)	 穿得好风凉，妲己的打扮好爱学，塑料耳环什么的            
(NA)	 小时候哪经吓啊             
(4星)	 很多镜头还是挺经典的            
(2星)	 超喜欢武王，哈哈。            
(5星)	 傅艺伟美死了            
(NA)	 我还在院子里演过苏妲己            
(4星)	 小时候爸妈老是不让我看这部 可他们却毫不避讳的看的津津有味 于是就创下了我看电视电影史上最伟大的举动……用镜子看 - -            
(5星)	 蓝老爷爷演的姜老爷爷那是相当的仙风道骨啊·            
(NA)	 那么多个版本，这版最恐怖，记得自己曾被下哭过好多次~~            
(4星)	 当年好喜欢看，追的一集不落呀            
(5星)	 最爱！！太牛逼了            
(NA)	 想象有时候比技术更重要            
(4星)	 那个经典啊.傅艺伟美死了            
(4星)	 小时候还蛮喜欢看的电视剧，因为我喜欢超能力，杨戬很帅哈            
(NA)	 妲姬的性。            
(NA)	 小时候从来没看完过，现在回忆下里面的造型真够二的，尤其内雷震子。            
(4星)	 演哪吒那小帅哥去哪混了。            
(4星)	 久远回忆            
(3星)	 这个都有了            
(4星)	 小时候很害怕的说.....            
(3星)	 很雷倒是真滴。            
(5星)	 童年记忆！            
(NA)	 肉包子内集吓死我了            
(4星)	 这么看来国人对影视作品的尺度是越来越小了。。            
(5星)	 觉得旧版比较经典            
(4星)	 斥满回忆的童年电视剧            
(5星)	 一直觉得挺好            
(3星)	 短裤帮……            
(NA)	 演姜子牙的那个很像我爷爷            
(4星)	 小时候看的。            
(4星)	 Cult片启蒙。傅姐姐好美~~纣王你是大叔控和恋声癖的最佳选择，姜子牙萌爷一枚。当年看的时候太小，没注意有没有腐点，但相信是有的。            
(5星)	 曾经迷恋一时的哪吒小帅哥~~声音也很好听~            
(4星)	 我特想排部话剧或者拍部电影。封神演义牛逼 啊。谁给我投资。            
(5星)	 牛逼死了 不过还没那个夭折停播的封神榜的牛逼            
(5星)	 让我死在傅艺伟的怀抱中吧            
(NA)	 补遗            
(NA)	 小时候就不太爱这个剧            
(4星)	 这不是苏妲己么            
(5星)	 多好看啊            
(5星)	 小学。。。            
(NA)	 里面人都希腊人打扮、、、            
(5星)	 挺好的。我看了很多遍。            
(3星)	 苏妲己好销魂            
(3星)	 主题曲一出来~就是那个感觉            
(NA)	 妲己妲己啊            
(3星)	 现在想起来好雷哦，但是妲己是真的挺美的            
(4星)	 我那时候记忆力还不好            
(NA)	 童年回忆             
(4星)	 天天首页推荐，NND不收藏你看来不行了。            
(5星)	 傅艺伟和杨童舒好像啊。。。            
(4星)	 唉~经典！            
(3星)	 一百年前觉得好淫秽。歌很好听            
(5星)	 ！！！            
