http://movie.douban.com/subject/2154774/	云海玉弓缘
(3星)	 看完之后都没印象了，只记住了胜男。世间总有那么一种女子，爱上了你，就等于走上了不归路。            
(4星)	 为什么人总是到失去后才懂得珍惜与悔恨呢？好喜欢厉胜男，敢爱敢恨，可是她偏偏爱上了金世遗这个感情白痴，其实金世遗是爱胜男的，只是到胜男死后才明白。金世遗，今世遗，厉胜男注定是他一世的遗憾。PS：一直都很喜欢林峰和叶璇。            
(NA)	 李彩桦演技不是一般的烂。全剧喜欢胜男，晓风，和小秃子。            
(5星)	 从来没有一个女子能如此进入我的生命，内心渴望成为那样敢爱敢恨，偏要勉强的女子，现实中的自己却畏首畏尾，而越是畏首畏尾就越极度渴望，因为她恰恰拥有了自己所缺乏和需要的人最本质最原始最生命的性情。深切的执念和追求，融入了我的血液，流星一样耀眼璀璨却刀子一般锋利深刻的划在了我的心上。             
(4星)	 金世遗哪里配得上我民胜男！！！！！            
(4星)	 偏偏等倒失去才去珍惜            
(4星)	 叶璇~吼吼~            
(4星)	 叶璇。。。            
(4星)	 好讨厌李彩桦            
(5星)	 看大结局居然落泪了，始料未及。情节行进到叶璇饰演的角色为了林峰饰演的主角用谎言牺牲了自己的一切，生命，包括爱，那种明知必死而为之的悲壮，狠狠地撞击了我幼小的心灵（？），眼泪猝不及防夺眶而出。这应该是第一次看TVB的剧流泪。她一生都不肯示弱，不愿行一次磊落的善，甚至不甘言爱──但，这些其实都不是软弱的表现。            
(3星)	 最后，我还是哭了。            
(3星)	 很偶然的情况下看了大部分。一共也没几集。            
(4星)	 的确是时髦的清朝剧！玲珑心            
(NA)	 最后一直在身边就赢了            
(2星)	 傻。。。。            
(3星)	 像木头一样的谷之华。胜男的冬装衣服不错。峰少的头有点傻。            
(2星)	 古龙的这本书我很喜欢...可书和剧情完全不一样饿            
(3星)	 水瓶女+射手男+天蝎女            
(3星)	 可怜的璇MM……            
(4星)	 那时候觉得李彩桦挺靓的~            
(5星)	 结局。。            
(3星)	 当时大家好土。            
(NA)	 高中小饭桌            
(3星)	 不喜欢谷之华！            
(NA)	 纸上得来终觉浅            
(NA)	 齐集了我不喜欢的人            
(3星)	 剧情傻，为了叶璇看的。            
(NA)	 当年我就是喜欢看云海多过阿旺            
(5星)	 我从来不会做伤害你的事，世遗哥哥，可惜你一直都不知道。             
(3星)	 那个结尾竟然让我哭得心痛。。            
(4星)	 高考之前看的            
(4星)	 厉胜男            
(4星)	 跟小说没法比            
(3星)	 厉胜男啊厉胜男            
(3星)	 厉胜男很经典            
(4星)	 还可以，改编比较糟糕            
(2星)	 还好了,我没看过原著,所以追着看完了            
(5星)	 帅，太帅            
(5星)	 看过书.书在电视剧之后.林峰与叶璇我说过他们是我认为最般配的.胜男的情感此生无悔.            
(3星)	 为了林峰，再难看也要看下去～            
(3星)	 那时候林峰还没“变脸”            
(4星)	 最爱厉胜男            
(4星)	 厉胜男啊            
(2星)	 最后大boss是鲁迅啊            
(5星)	 最爱！            
(4星)	 厉胜男555  情节不错就是结局太悲催            
(4星)	 唏嘘……            
(NA)	 梁羽生的这本书我看过！很棒！喜欢那时候的叶璇和林峰。            
