http://movie.douban.com/subject/2154781/	流金岁月 流金歲月
(4星)	 罗嘉良和萱萱还是很配的，怪不得传绯闻            
(4星)	 宣萱和罗嘉良太配老            
(5星)	 宣萱和罗嘉良，一对经典荧幕情侣            
(NA)	 罗嘉良和萱萱真是对怨偶啊。。            
(3星)	 罗嘉良和宣萱这对怨偶啊            
(4星)	 罗嘉良 宣萱 太好了            
(4星)	 罗嘉良生得好似我阿爸吖吖吖吖吖            
(3星)	 这里面的宣萱感觉特别妩媚、特别女人，长发造型很养眼。温兆伦怎么不老呢。。            
(4星)	 比较喜欢程天蓝 丁善行和他媳妇。            
(5星)	 经典啊，罗嘉良加宣萱，大爱            
(5星)	 眼泪都贡献给胡杏儿了            
(5星)	 林峰初出茅庐啊？！罗嘉良很严了几部不错的电视剧呢……            
(5星)	 大爱宣萱罗嘉良            
(5星)	 No.8:罗嘉良-丁善本，宣萱-程天蓝；兄弟情义、姐妹情、父母子女亲情、爱情；如果爱情是真的，那么谁也抢不走！丁善本跟程天蓝竟然能够爱得那么深。。。            
(4星)	 这部里罗嘉良和宣萱还蛮好的~~林峰也不错~            
(3星)	 没看完，太流水帐了            
(5星)	 很爱,捞家和00演得太自然了吧,温sir是演啥像啥            
(5星)	 罗嘉良，萱萱，怎能不爱他            
(5星)	 宣萱            
(5星)	 好看好看。。。不愧是三料影帝~~本来前面那忧郁小生看习惯了·~~最后一集一下子囧了。。。嘴快咧到耳朵根了。。感慨下：好大一张嘴。。。囧            
(4星)	 罗嘉良和宣萱最佳拍档，演得好好哦……好喜欢少爷在里面演的奥斯卡，那时以一个新人来说，演得真的很好了！            
(5星)	 当时觉得罗嘉良好帅 觉得他和宣萱特别配 呵呵            
(4星)	 喜歡宣萱，喜歡葉璇            
(3星)	 可爱的叶璇            
(4星)	 喜欢罗嘉良宣萱，非典的时候在寝室看的            
(5星)	 善本加天蓝。我显然是有爱的很。            
(5星)	 我爱主题曲我爱罗嘉良和宣萱啊            
(5星)	 太爱宣萱和罗嘉良这对儿了。。。温兆伦也好帅帅弊了。。。小峯峯呆弊了。。。好好看。。。。            
(4星)	 老大推荐的片子～            
(5星)	 虐心的剧……每次看的时候都想成为天蓝那样的女人~            
(4星)	 IVAN这个角色太完美了            
(1星)	 因为林峰才看的，可是看到一半怎么也看不下去了。比较垃圾的剧本。            
(4星)	 tvb经典            
(NA)	 还真是看了又看~            
(4星)	 主题曲很好听            
(NA)	 当年的林峰。。。            
(2星)	 好难看好难看            
(4星)	 岁月的童话            
(4星)	 丁先生！            
(5星)	 我爱死了文积和亨利.            
(4星)	 喜欢向海岚~~~            
(5星)	 几乎是一口气看完的~很精彩 。开始有点喜欢罗嘉良了~~~。。大三~即将毕业的日子看的。            
(4星)	 港剧            
(4星)	 主题曲好听            
(NA)	 只爱第一集            
(5星)	 TVB的剧集，好看。            
(4星)	 好得让人觉得不现实的好男人丁善本...            
(3星)	 又玩创世纪那套家族恩怨，疲劳了            
(5星)	 你和别人讲情义，十个有九个人都会说你傻，但是总会有一个人，会懂得欣赏你。            
(4星)	 世界并不允许我们走一条直线。            
(4星)	 口哨不错 澳洲的阳光不错 叶璇肥得哟……            
(5星)	 太好看了            
(5星)	 五星夠不夠？夠不夠？！雖然撈家太完美得沉重，但這不是個不愛的理由啊！宣萱是越看越愛啊！最大亮點當然是溫sir一出鞘，歡樂崩我們一幫中原人士。追完了，我又伤感了，抹泪去，再此感激tvb带给我们的美好时光            
(NA)	 好吧，我也看港剧的╮(╯▽╰)╭            
(NA)	 只记得很好看了至于讲的是什么已经不记得了。。。            
(5星)	 【岁月的童话】前奏的口哨声。            
(4星)	 俩男主都是我大爱，不过丁善本这人物设定也太过纯良了            
(4星)	 因为喜欢宣萱才看的~~~很不错            
(3星)	 无法从到到尾看下去...对于罗嘉良的第一印象始终都停留在了那个&#34;火玫瑰&#34;中的&#34;乔家三少爷&#34;...所以...我始终相信那第一眼的直感...有点可惜了温SIR的配合出演...            
(4星)	 好久没看港剧了，这剧有够经典的            
(4星)	 哈哈~~林峰~~真帅~            
(5星)	 呢个世界点会有好似阿本咁样嘅好男人啊！！            
(4星)	 1404没电的日子。            
(4星)	 超喜欢这个主题曲            
(3星)	 年少回忆。            
(3星)	 实在是不喜欢罗嘉良．．．            
(NA)	 因为个人偏好，好剧都被我肢解了            
(4星)	 曾经是看不厌的一部剧哈^^            
(NA)	 胡杏儿就这部剧得下我心嗯            
(5星)	 很好            
(NA)	 算是最喜欢的一部港剧之一吧很喜欢丁善本             
