http://movie.douban.com/subject/2155335/	十七岁不哭
(5星)	 后来，在我心里，没有一部描述青少年校园生活的电视剧能够超越此剧，包括英美剧。            
(NA)	 在上学的日子里，我总希望能遇到一个简宁一样的男孩子，现在也是。            
(4星)	 永远都记得他们树下戏雨那幕，怎能不心动            
(4星)	 郝蕾啊郝蕾，我爱死你啦！“忧患意识”！            
(5星)	 青春若有张不老的脸，但愿她永远不被改变。            
(NA)	 郝蕾            
(5星)	 没人觉得周斌很帅么？就是简宁他们宿舍一小伙，浓眉大眼的.......            
(4星)	 回忆总是那么甜。            
(NA)	 想当年啊            
(4星)	 小时候的记忆啊   主题曲我现在还会唱  后来还买了小说            
(NA)	 《颐和园》，《五星大饭店》和《士兵突击》            
(NA)	 青春啊~            
(5星)	 杨宇凌~~            
(5星)	 “玩世不恭是要有资本的”            
(4星)	 亲爱的郝蕾、李晨，亲爱的宇凌、简宁。            
(5星)	 陪我度过高中时光            
(4星)	 那些萌得能掐出水来的青春啊！！！！            
(NA)	 青春的岁月 还能挥霍多久            
(1星)	 后来我看到杨宇凌写日记、抑郁症、脱光光、性瘾症了，我很欣慰。            
(4星)	 十岁看这的时候我正在初恋，真不明白怎么能把十七岁的人还刻画的怎么纯洁            
(NA)	 哇 竟然有牛萌萌            
(5星)	 怀念我的哥哥～            
(5星)	 又看了一遍，还是缓不过神来            
(NA)	 第一次见到郝蕾            
(5星)	 很经典，喜欢里面所有的男女主角            
(4星)	 郝蕾……李晨……现在人气都不错。还算很不错的电视剧，转眼已经10年过去了，青涩的少年啊~一去不复返            
(NA)	 小时候啊小时候            
(NA)	 他说风雨中！这点痛算什么！擦干泪不要怕！至少我们还有梦！他说风雨中！这点痛算什么！擦干泪！不要问！为什么！            
(5星)	 现在的小朋友只有雷星雨可看咯～            
(5星)	 就是那会对简宁一见钟情的啊            
(5星)	 还想再看一次            
(5星)	 青春的回忆            
(5星)	 欣赏郝蕾，崇拜简宁。            
(5星)	 初三半夜的疯狂，还录了老师说的那段关于目的地的音            
(NA)	 郝蕾郝蕾郝蕾            
(4星)	 呵，太多回忆，97年么？简宁的名字还是那么熟悉么？            
(4星)	 那时候我还一知半解。            
(4星)	 天 我居然也看过这个            
(4星)	 小学            
(5星)	 oh，no。杨宇凌儿~            
(5星)	 简宁的冷静神秘杨雨凌的坚强倔强雷蒙的玩世不恭因为他俩迷蒙的早恋 一晚上不睡 大写特写 批判中国教育的缺陷！~爱 怎么能扼杀哦。。。            
(4星)	 简宁~            
(5星)	 当年我很萌简宁            
(5星)	 当年的简宁~            
(4星)	 陪我度过初中岁月，当时的自己也非常好强。看看那时候的李晨和郝蕾真令人怀念，还好两人现在也都不错，郝蕾的《颐和园》是大爱，李晨我一直也很喜欢，奇怪他为何一直半红不紫。            
(3星)	 天啊…… 郝蕾 牛萌萌的名字第一次是出现在这里的啊！…… 我只记下来了个李晨 看来还是帅哥吸引人            
(4星)	 青春。            
(5星)	 还记得吗？初中时我们的执着，剧本都被我们翻烂了            
(5星)	 洪都17才！            
(5星)	 从那知道了所谓的花季雨季            
(5星)	 再加5颗星。            
(NA)	 我第一次看到郝蕾就是在这里面            
(4星)	 往事~~            
(4星)	 初中看，很喜欢！            
(NA)	 他们小时候            
(5星)	 郝蕾很好。            
(5星)	 原来十年已经过去了。            
(5星)	 简宁是我年少时的白马王子……            
(NA)	 啊……每一个中学美少女心中都有一个简宁～            
(NA)	 我们好久都没一起唱那首金海心的歌了~            
(5星)	 青涩～            
(5星)	 再回顾太怀旧太感动了            
(NA)	 哟 当年可喜欢李晨了థ౪థ             
(4星)	 小学时代对青春期的懵懂认知来源于此，对简宁这类男生的好感起点也是在这里。            
(4星)	 永远的简宁和杨宇凌            
