http://movie.douban.com/subject/2156663/	西游记
(5星)	 印象最深的是白骨精和蜘蛛精。看着唐僧把孙悟空赶走，才几岁的我，特别的恨唐僧。            
(NA)	 暑假  凉席  西瓜  煮花生            
(4星)	 三打白骨精那唐僧赶悟空走，把我哭惨了~~            
(5星)	 看了一辈子了，偶像还是孙悟空。            
(5星)	 现在电视里放我还是要看的            
(5星)	 西游记不仅是童年美好的记忆。许多年以后观看发现，其中造型与性格塑造完美，准确把握原著，时代影响力巨大，印象极其深刻。            
(5星)	 我只承认章老师一个人演的孙悟空 其他的连耍猴都不配 还有女儿国那场戏 绝了            
(4星)	 悟空是帅哥...毛帅毛帅的...            
(5星)	 六小龄童的猴王，目前无人超越。。。            
(5星)	 想说的实在太多！但那首首超赞的八十年代合成器disco金曲啊！！。。            
(5星)	 蹬蹬蹬蹬，蹬蹬蹬蹬（升调）^            
(5星)	 我觉得是孙悟空比唐僧先成佛的,唐僧有的是佛心,但对于困难和COMPLEX的处理能力低下,优柔寡断;孙悟空悟道的时间有500年,他在取经过程中表现出来对取经成功的信心,对前途魔障的勇气和藐视,有时甚至给唐僧很多的启迪,在这种程度上,无论有否那些妖魔都好,猴子反而是三藏的师傅.            
(5星)	 看过不下三遍|| 这片里的美女啊。。。。海了去~~            
(5星)	 那还用说。每次播到电视台有放，都会放下遥控器。            
(5星)	 八十年代那些夏天的夜晚啊。            
(4星)	 师傅.快来看上帝.            
(5星)	 那天，猴哥还来我们学校了呢            
(5星)	 悟空 沙僧 八戒，快来啊！            
(4星)	 看到关于片头和电子乐的评论 电子乐先驱 …… 彻底Orz 的确牛B             
(5星)	 这算腐启蒙么            
(4星)	 師父!悟空!            
(5星)	 几乎每一个大神都有一个不成器的坐骑            
(5星)	 我爷爷最爱看。每看到悟空被唐僧赶走，他连磕了好几个头，我都会哭。            
(5星)	 我小时候就在琢磨悟空用的是哪个牌子的眼影了 那叫一个BLINGBLING的！            
(5星)	 我想说其实我觉得迟重瑞长得很女人＝＝我妈坚持不懈地看了二十多年我也跟着看了十多年…刚才还在看来着            
(4星)	 六小龄童生而是演悟空的料。            
(5星)	 我们老师经常拿西游记和堂吉诃德作对比            
(5星)	 年年重播Orz 这部剧集有很多原著没有的女妖精囧            
(5星)	 孙猴子名叫六小龄童            
(5星)	 每个假期都会温习几集，嘿嘿~            
(4星)	 死唐僧            
(5星)	 我愿自己可以七十二变,或者更多            
(5星)	 太神奇了。女王与玉兔是经典~            
(5星)	 第一次看唐王送走唐僧的时候 哭了            
