http://movie.douban.com/subject/2156667/	西游记续集
(2星)	 画蛇添足、甚毁前作声誉！            
(5星)	 =。=我觉得还挺好看的怎么分这么低。。。            
(2星)	 能拍得跟20年前一样的水平，你是怎么学习党中央“与时俱进”的纲领文献的？            
(1星)	 莫非这就是特技抢眼化妆恐怖的那一部……            
(2星)	 动作戏太难看了            
(4星)	 主题歌很热闹。            
(2星)	 我的妈爷贼，醒醒吧～            
(5星)	 不管怎么说，是不可多得的好作品，只可惜人心浮躁，不识货！            
(3星)	 猴哥的脸愈加粉嫩了……            
(3星)	 香港武打导演来了，神儿没了            
(4星)	 我还挺喜欢这一部的音乐的            
(3星)	 差强人意吧。。            
(5星)	 基情四射魅力無限！            
(3星)	 狗尾            
(4星)	 神话            
(NA)	 这并不是甚么续集吧？我感觉剧情大致是一样的（就像柯南）。为什么评价天壤之别？这个还好看点，尤其是画质和造型            
(2星)	 86年这么拍我忍了，2000年还这么拍就去死吧            
(2星)	 续集你妹！            
(3星)	 狗尾            
(2星)	 这个续集真的觉得拍得很烂            
(2星)	 【这是为了今年阅片量凑数的！！！这是为了今年阅片量凑数的！！！剧情导演背景都知道啊都知道！！！！】            
(NA)	 科技进步了，但剧真不咋地。。而且我很不满的是，为什么每个故事都要多出女性角色。。是神马意思！！            
(3星)	 我一度分不清几个版本的区别……            
(4星)	 和第一部差不多哈哈            
(1星)	 早已人老珠黄香气尽。            
(4星)	 还是六小龄童好啊。            
(4星)	 i生活，i西游记。            
(4星)	 凑合看吧，看在老版的面子上            
(3星)	 神马玩意。            
(2星)	 太伤人心了!            
(1星)	 这是耻辱，远比第一部差。不是我先入为主，主要是因为第一：原班人马都老态龙钟了。第二：自以为打斗更精彩了，实际上把神仙片变成了武侠片，神仙会法术的懂不，打个架还那么费劲干嘛，斗法就好了嘛。第三：化妆过了，不如原来的逼真。            
(5星)	 我的最爱。            
(3星)	 一般般，肯定不能算经典            
(3星)	 【昔时所看】 我觉得还不如直接全部重拍，里面的效果的确还是不错的……可现在弄的零零碎碎的……            
(3星)	 过份加特技 失去该有的东西            
(3星)	 与无比经典的第一部比个P啊...连歌都难听.            
(2星)	 实在不忍再看下去了..55..我曾经是那么期待..            
(2星)	 一塌糊涂            
(NA)	 续续续，续个屁啊            
(2星)	 觉得不该拍续的，看不下去，太多特效但又做的不好             
(2星)	 排续集就是个错误的决定。            
(2星)	 本来是经典的=。=  被诠释成这副德性……            
(3星)	 这个续集比老版的印象还要深些。            
(4星)	 这个也好            
(2星)	 雷神            
(4星)	 狗尾            
(3星)	 整个故事重新解构。。感觉怪怪的            
(3星)	 狗尾续貂，这个续集比央视的原作差太多了。            
(3星)	 真的没整好            
(1星)	 早上在VVAc看了凤仙郡冒天止雨一回太TMD傻逼了。猴子和猪给玉帝讲以人为本……            
(4星)	 因为还是六小龄童，还是杨洁，所以给四分~            
(3星)	 还是老版经典            
(4星)	 刚捉了几个妖，又降住了几个魔~ 哦哦哦~~~            
(3星)	 过了那么多年，特效没觉得进步多少            
(4星)	 新的歌儿也挺好的            
(3星)	 每当假期打开电视，故人纷沓而至            
(4星)	 还是最喜欢这个版本。。。            
(5星)	 经典力作！感叹杨洁多少年后依旧有勇气把自己已经成为经典作品的“记忆里”的作品拿出来续写！            
(4星)	 觉得孙悟空真没有什么本事,只要是有点背景的怪物就要去请主人出马~~            
(1星)	 更像动画片            
(2星)	 老子从小到大的最爱就这样遭你们糟蹋了！整出来一头肉毒杆菌注射过量的猪八戒！！            
(2星)	 善了个哉！            
(2星)	 经典都别续集！~            
(NA)	 其实都没怎么看。            
(3星)	 和上部比，很烂。            
(3星)	 没有以前的好            
(2星)	 太让人失望！            
(1星)	 垃圾；简直是玷污真正的《西游记》；还不如拍一部动画片            
(3星)	 16            
(3星)	 喜欢以前的装扮。。。以前的老猪            
(2星)	 大不如前 风华已逝 花里胡哨 不伦不类            
(3星)	 变得无能了，只会请神仙            
(1星)	 完全是扯淡！            
(3星)	 悟空控            
(3星)	 完全没必要拍            
(5星)	 居然能拍得跟第一部那么相近，真好！            
(3星)	 差多了，不复当年了……            
(3星)	 和前作差不多，还行            
(2星)	 看来，技术进步并不一定就能拍出好东西            
(2星)	 滥用特技！！ 看在六小龄童份上多给一星            
(3星)	 改得呀……武侠呀……            
(5星)	 我还是很喜欢后面的            
(3星)	 86年这么拍我忍了，2000年还这么拍就去死吧            
(3星)	 6.2            
(3星)	 补遗            
(5星)	 就是好看！！！！            
(4星)	 如果能把狮驼岭的孔雀公主，黑水河的河神女儿，犀牛精那集里的龙宫公主这些角色删掉我觉得可以打五分，不要每集都硬嵌入一个女星            
(4星)	None
(5星)	 明明就还是很好啊            
(3星)	 每年假期电视台都会放            
(4星)	 配乐不好               
(2星)	 还是要原班人马。            
(5星)	 其实续的出来也是圆很多人的梦，老人儿老故事老观众吧！            
(3星)	 表示我看过 -  -            
(3星)	 看这个长大的。            
(NA)	 你妹，比之前的版本差多了！！！雖然原班人馬。。。T5T            
(5星)	 我觉得还不错丫！            
(4星)	 至少补了通天河            
(NA)	 等了那么多年等来个这            
(3星)	 中国奇幻片            
(3星)	 不忍心打二星。老了都不容易呀~            
(5星)	 怎样都好   毕竟是经典。。。            
(3星)	 不是续集不给力，而是原版太给力，怎么比，也都被比下去了            
(3星)	 续集不能要求过高            
(5星)	 经典            
(4星)	 名字有点玄，其实还是西游记，只不过是把上一版没拍完的给补上。。            
(4星)	 远不如以前硬件条件差的时候拍的            
(NA)	 续集都是原班人马拍的，但是画面好了很多。不错~            
(5星)	 这师徒四人就是无法超越的经典            
(2星)	 一直不喜欢这16集，只喜欢前25集。            
(2星)	 除了画面变得清楚了一点，与86年版的《西游记》相比没有丝毫的进步可言。            
(3星)	 这个针对的是86版的续集吗？虽然猴哥还是那个猴哥，但是……            
(4星)	 六小龄童永远都是最好的猴头。这部的 特效好了很多 不过故事性差了一些。            
(3星)	 艹……毁童年！            
(3星)	 特效虽然多了，但是没有以前的感觉了            
(2星)	 OK            
(2星)	 比较差 孙猴取经一路走来毛皮衣服都是全新，师徒四人一路走来对老百姓夸夸奇谈自己的本领，一点不像出家人            
(3星)	 只要是六小龄童版的孙悟空都支持！神态表情最到位。            
(3星)	 什么原因造成的？            
(5星)	 多出来的两星是给演员以及童年的回忆            
(4星)	 其实....不知道为什么大家都要看....不看人生就不完整了吧...作为中国人?            
(3星)	 没有以前的那种精雕细琢的古典感觉，特技炫目但感觉不怎么样，演员的精神气质完全不同，人浮于事的感觉。            
(5星)	 看过这么多电视剧我真不好意思。            
(5星)	 最经典  百看不厌            
(4星)	 还是六小龄童好啊。            
(4星)	 六小龄童上装比卸妆好看 大圣长得可水灵了            
(3星)	 不要拍续了。几年拍一部和几个月拍一部是非常不同的。            
(4星)	 续集就是那个画面比较清晰的吗？            
(5星)	 还是很好看            
(3星)	 也没觉得特效好很多。反而华而不实。            
(3星)	 毁了            
(4星)	 不如前25集好看。            
(3星)	 十多年后的续集，其实也蛮不容易的            
(4星)	 支持下国产剧吧            
(1星)	 老实说，比老版的差多了            
(1星)	 坑爹，这也抄冷饭            
(3星)	 明显记忆没有第一部深刻            
(3星)	 如来转世还要风流一把~            
(2星)	 编剧学韩剧的吧            
(2星)	 哈哈            
(NA)	 经典              
(3星)	 六小龄童！            
(3星)	 觉得挺败笔...            
(3星)	 觉得有特技反而没了原来第一部的味道了！            
(5星)	 童年            
(4星)	 还是 摆出挖鼻孔的造型，TMD还是央视的经典。            
(3星)	 是的这一部就歌好听了            
