http://movie.douban.com/subject/2156694/	飞来横福
(4星)	 浙江卫视好像放过很多遍～            
(5星)	 巨赞！            
(4星)	 一直喜欢陈佩斯，而这部剧也非常之可乐~~            
(NA)	 小时候看的时候觉得很逗！            
(4星)	 特喜欢这套电视剧            
(NA)	 好看！            
(4星)	 对常兰天和丁嘉丽印象十分深刻！            
(3星)	 我小时候是有多喜欢陈佩斯啊……            
(4星)	 也是小时候的最爱。            
(1星)	 剧情真叫一个烂            
(4星)	 短小精干的十集看看人家 有多少就演多少 不愣充几十集            
(4星)	 大陆喜剧的最初实践者，陈佩斯！            
(3星)	 囧，好早的片子            
(4星)	 哈哈哈哈哈。好像是某年农历年时分推出的电视剧，和家长一起看，笑到饱。            
(5星)	 这爷俩在冯氏喜剧之前一直统治着中国喜剧电影            
(NA)	 有意思的电视剧。            
(5星)	 喜剧皇帝的杰出作品            
(5星)	 佩斯啊            
(3星)	 纠结啊纠结。            
(NA)	 当时笑得肚子疼呢~            
(4星)	 小时候看过的，剧情已经不记得了。。。            
(3星)	 父子齐上阵。            
(5星)	 从小是陈先生的粉，这个剧赛高            
(5星)	 飞来横福            
(NA)	 还是想看啊            
(5星)	 真的很搞笑，高中不知道哪个台午夜播，都连夜看的            
(5星)	 爸爸的夏天            
(NA)	 是来乡里住的第一年，在派出所春节看门时看的，每天都是后半夜演，所以看的很晚，还偷偷地开了警车出去转转，第二天不能给人家开门。时间过的挺快的，转眼我都毕业了            
(4星)	 为什么海报跟父与子一样            
(NA)	 111            
(NA)	 小时看过,现在想再看一次,在找呢            
