http://movie.douban.com/subject/2156704/	包青天
(4星)	 开封有个包青天、铁面无私便种田……            
(3星)	 小时候觉得展昭很帅            
(4星)	 开封有个包青天 铁面无私辨忠奸 王朝马汉来相助 最后一句不记得了            
(5星)	 虽然剧情是很狗血了，不过这个版本的演员都最有架势，当年爱死了。            
(5星)	 展昭帅~~            
(5星)	 啊 有200多集？？？？？            
(5星)	 何家劲最帅！            
(NA)	 严重晒伤妆~            
(NA)	 天天拿着木剑学展昭            
(3星)	 原声，展昭，黑月亮。            
(4星)	 包拯稳重有气势，展昭帅到掉渣，剧情引人入胜，还有吓人的狗头铡~~            
(5星)	 我觉得这部最靠谱，包拯稳重有气势 展昭帅到掉渣 剧情引人入胜 后来排的那些都是垃圾 尤其是周杰那部 真是垃圾中的垃圾 sigh             
(NA)	 开封有~~个~~包青天~~            
(4星)	 早期几部相当不错。个人最推荐[鸳鸯蝴蝶梦]，唏嘘啊唏嘘。            
(5星)	 开封有个包青天～～            
(4星)	 神奇。。豆瓣会给我推荐这个。。。童年回忆啊            
(5星)	 小时候的梦想是找一个像展昭一样的男盆友。。。            
(5星)	 开封有个包青天，何家劲啊，我也想嫁他！            
(5星)	 我读初中时候 天天回家看啊            
(3星)	 陪伴我成长            
(5星)	 看了好多遍啊以前，觉得展昭好帅啊，哈哈            
(NA)	 觉得展昭特别帅            
(3星)	 歌太好听了  擦。            
(NA)	 昨日像那东流水,离我远去不回头,令我心好烦忧            
(4星)	 何家劲！！            
(5星)	 这个太他妈经典了，简直是童年良药啊，对于树立我正确的人生观和价值观有极大地帮助            
(NA)	 有236集？            
(5星)	 展昭为啥那么帅 那时候就爱上他了            
(NA)	 小时候看            
(NA)	 开封有个~包青天！铁面无私~~辨忠奸！江湖豪杰~来相助！王朝嗷~马汉~~（当当当）武则天~~~            
(5星)	 娃哈哈            
(5星)	 ！            
(3星)	 哈哈哈，今天看郭德刚就是金超群的翻版啊～            
(4星)	 我记得还是卫视中文台时候的事情，破案的，还是很有悬念的。什么狸猫换太子啊。            
(3星)	 小時候會準時坐電視前等它撥還會哼本劇主題歌            
(4星)	 小时候觉得何家劲已经是帅哥了。            
(5星)	 何展昭挺帅的            
(4星)	 小时候的记忆啊            
(NA)	 小学应该看过。            
(5星)	 正直的包大人            
(4星)	 不错。            
(3星)	 王朝马汉在身边。            
(4星)	 记得当时大街小巷放的都是他的主题曲            
(4星)	 存目            
(4星)	 记忆很深！            
(NA)	 想当年..其实我都不知道他具体在讲什么            
(NA)	 对哦 那时候为了看展昭居然没有跟我妈去厦门玩            
(5星)	 全家都爱看。            
(5星)	 何家劲是我第一个性幻想对象！~第二个是乱马。。。            
(4星)	 我记得展昭很帅&gt;_&lt;            
(4星)	 青天剧在大陆特受欢迎。            
(4星)	 小时候很迷展昭的呢．．            
(5星)	 经典。            
(5星)	 当年何家劲的展昭是全班人的偶像            
(4星)	 剧情全不记得，人物倒是有印象的            
(4星)	 御猫挖            
(NA)	 唐朝女皇 当当当 包青天！            
(NA)	 很好看的怀旧片哟!            
(NA)	 我阿公喜欢的。            
(5星)	 何家劲            
(3星)	 其实不记得了，童年的回忆            
(4星)	 我居然记得有一集是讲鬼的            
(3星)	 铁面无私包青天。。什么什么边中间。。。什么什么王朝马汉。。。            
(NA)	 展昭多帅一帅哥啊。            
(4星)	 开封有个。。。            
(4星)	 一段时期内，似乎是无数遍的看。如果现在播，还看！            
(4星)	 这个不算推理剧吧            
(3星)	 型男破案天團～            
(5星)	 超级经典！永远难忘！            
(3星)	 一张霸气的脸            
(5星)	 竟然。。这么长？！            
(4星)	 這一套最好的, 之後的包青天比不上@开封有个包青天铁面无私辨忠奸 江湖豪杰来相助王朝和马汉在身边 钻天鼠身轻如燕 彻地鼠是条好汉 穿山老鼠铁臂神拳 番江鼠身手不!凡! 锦毛鼠一身是胆 这五鼠义结金兰 七侠和五义 留传在民间~~~            
(5星)	 好看得很。            
(NA)	 这简直是我童年支柱啊 练琴都不准耽误的            
(3星)	 备忘Mark。            
(4星)	 过。            
(NA)	 94|5 年 一下午 为了看红衣服展昭我在三楼对二姨说 我不去上课啦 包青天开始啦            
(4星)	 当年迷何家劲迷得死去活来啊~帅得掉渣的展昭            
(4星)	 小时候记得有一个故事是说鬼怪的？下个半死            
(5星)	 不但看过，还写过包青天的剧本……            
(4星)	 小時候在村里削竹劍，學展昭。            
(NA)	 哇，小时候            
(NA)	 原来这也是TVB剧……            
(4星)	 哦……我居然没有落下什么……            
(4星)	 没看过这么多集            
(NA)	 我还一直以为是港剧            
