http://movie.douban.com/subject/2157129/	甘十九妹
(4星)	 这个我小时侯很萌的，萌女主角。。。= =全部死光光的大结局让我怨念至今，并且强烈怀疑该剧给我造成了童年阴影，是我现在许多BT嗜好与情结的源头。。。。。。= =尤其是最后男女主角快死了，还在地上爬啊爬，爬到一起。            
(3星)	 里面那段轮奸···我纯洁的童年啊···            
(4星)	 那个男人也决定了我很长时间的审美···            
(3星)	 那歌咋唱来着？如果来生还是今世的重复，纵然多情要比无情苦。。永远的兰心，其实跟现在的仙剑奇侠传也蛮像的。不过伊建平可有魅力多了，这可能也是我瘦削男情节的起源。            
(NA)	 &#34;知我者,元芳也&#34;            
(4星)	 江湖又是风起云涌，说个成人童话美女爱英雄~~当年觉得这妹妹真是太tm的漂亮了，并且从此对箫这个乐器产生了浓厚的兴趣            
(2星)	 又一部忘了情节的儿时电视剧~            
(4星)	 当年数学老师还拿甘十九妹教育过老子！            
(5星)	 当年杨露真是惊为天人，眼里似有河流，气质摄人心魄。拍得也好，觉得是内地最好的武侠剧。            
(3星)	 当时喜欢的不行放了假成天看            
(4星)	 当年总在想 她为什么叫十九妹 她家这么多孩子吗            
(4星)	 俊男靓女的模式从此开始了！            
(5星)	 最爱之一啊……男女主角干柴烈火啊，女二号被女一号误杀啊，然后全部死掉，还要爬啊爬死到一起的种种狗血情节让我感动至深            
(5星)	 女主太美鸟太美鸟！！甘十九妹之后再无镁铝！！男主也气质~~~！结局看得我肝肠寸断啊！！            
(4星)	 杨露真是仙子！            
(4星)	 小时候觉得惊为天人明丽不可方物现在看仍觉仙姿玉色的女主角那从出场到结尾都凌驾所有废柴男之上的霸气堪称我的女权主义启蒙教材啊（啥？）独自痛殴猥琐男团伙桥段及合奏桥段满足了少女的各种YY……            
(5星)	 小学看的。谁说大陆拍不出好武侠的！？都是给广殿总菊整的。男主忧郁而侠气，女主美丽而矛盾，情节很黄很暴力。            
(3星)	 小时候觉得尹剑平好帅!            
(NA)	 男主角有点甲亢吧...            
(5星)	 杨露那个时候很好看啊            
(5星)	 这才是真正好的武侠。剧中的语言，装束，招式，情节，都是现在的那些武侠剧该好好学习的！            
(NA)	 ——|||            
(NA)	 忘了            
(NA)	 那时候甘妹也是俺的梦中情人            
(4星)	 尹剑平=白马王子            
(NA)	 当年看得时候，见十九妹，就觉得惊为天人，而最喜欢的还是严丙燕。            
(2星)	 哈哈            
(4星)	 只记得小时候觉得女主角很美。            
(3星)	 童年回忆啊  那些个马脸哟，让幼小的女童多年后回首情何以堪……            
(5星)	 兰心很傻。。。            
(5星)	 结局的悲剧是注定的，在尹建平的骨子里别人的恩情永远重于自己的私情，就算没有仇恨甘妹和他在一起也不会幸福到哪儿去，真正论爱情，阮行比尹深多了，我更欣赏阮对甘的痴情。突然想到有一种人一生都为别人活着，和尹一样的悲情，而那种悲只有自己默默承受。            
(4星)	 里面的杨露真的太漂亮了，就是我的梦中情人。            
(3星)	 那时觉得演甘十九妹的女演员特别漂亮！            
(NA)	 当时连中途放的每个广告都倒背如流，随便瞄一眼就知道离下一段开场还有几支广告            
(NA)	 当初我不知道为读了甘十九妹还是二十九妹挣扎了多久唷~一颗敏感而羸弱的玻璃心~            
(5星)	 内地最好的武侠剧，没有之一            
(4星)	 原来颜丙燕是老星了。            
(5星)	 儿时的最爱啊~杨露女神阿~            
(4星)	 记得当时电视播的时候是晚上十点，每次都要央求爸妈好久才能看，还有当时我就以为那个“尹”字读作“伊”，所以每次看演员表都觉得很奇怪~~            
(4星)	 结局好像是尹剑平和十九妹相拥而亡，当时好像是哭了，真的很希望他们有个美好的结局。            
(4星)	 哎呀小时候太喜欢了呀            
(5星)	 上初中时在安徽电视台看的，当时特别喜欢。就是觉得结局不好，为什么两位主人公要自杀呢？？唉！            
(5星)	  甘十九妹好漂亮的呀！            
(4星)	 甘十九妹好看~像画上走出的女孩~            
(4星)	 女主清澈动人的双眸印象深刻 我爱全灭结局OTZ            
(5星)	 少年时觉得很赞啊，女主角很靓。            
(4星)	 女猪太漂亮了，受不鸟了            
(4星)	 多么漂亮的十九妹，多么帅的剑平哥哥……            
(4星)	 小时候最迷的电视剧之一，前25集欢乐无比，以至于我一直当喜剧片看，谁知最后一集惊天逆转，哭的我肝肠寸断，严重伤害了我当年的小心灵，导演我恨你！            
(4星)	 对这部片印象已十分浅薄，不过最深刻的记忆就是对甘十九妹的惊鸿一瞥，美人啊！！！可惜之后再也没看过她的任何作品，甚至一直连她的名字都不知道            
(5星)	 甘丫头太漂亮了！颜丙燕当年也很可爱啊            
(NA)	 这电视剧开场的歌是怎么唱来着？            
(5星)	 故事是由一个漂亮女人到处勾引男人引起的……            
