http://movie.douban.com/subject/2157131/	少年包青天
(4星)	 特么的暴雨梨花针是我童年的阴影啊            
(4星)	 那时候看觉得故事还蛮扣人心弦了~~            
(3星)	 只有第一部还能看看            
(3星)	 真相，真他妈只有一个。            
(4星)	 虽然不喜欢周杰，但他演的包青天还不错。魄力和温情都能表现出来。喜欢李冰冰那个角色~~陈道明也是帅得~~~~~太有爱了~！里面的故事都很经典很耐看的说！！            
(3星)	 管他是不是抄袭，看的时候是真的很投入呢~~            
(3星)	 周杰演的不错，本来应该是高分剧的但是编剧相当无耻，全部案情抄袭，搞得我们老包很掉价啊，人家还是世界推理界第一人呢            
(2星)	 开封少年事件簿            
(4星)	 差点就在高中课堂上写人物分析表了。。            
(1星)	 周杰一副便秘脸，很傻逼            
(5星)	 小时候相当喜欢这部剧。喜欢主题曲和片尾曲，喜欢每一个角色，尤其喜欢凌楚楚~            
(4星)	 看了八百二十遍！            
(5星)	 超级好看啊。小时候又怕又忍不住想看 啊啊啊啊。            
(4星)	 初中那个喜欢看的呀            
(4星)	 小时候当恐怖片看的 太尼玛吓人了！！！            
(4星)	 其实挺好看的，但就是其中某个案子完全抄袭金田一啊……            
(NA)	 其实还好，除了抄袭柯南            
(3星)	 华丽丽的抄袭            
(3星)	 还真一般～            
(4星)	 我们都是尔康饭            
(4星)	 这个版本就多了，应接不暇啊。            
(5星)	 少包！！！            
(4星)	 看这剧的时候我家还住平房呢，我还蒙着被坐炕上看呢            
(5星)	 尔康你怎么了尔康！！！！！            
(NA)	 由此可推 李冰冰整容多么成功 实在想不出国内哪个艺人比她整的还好了            
(4星)	 其实少包还是挺好看的，虽然抄的太厉害。            
(4星)	 “大宋泸州包拯”！案情抄没抄已经无所谓了，因为除此之外的一切都是很有爱的。青春偶像剧里居然会有陈道明和王绘春这种级别的演员，太不可思议了。当然还有郑佩佩。挺有想法的年轻的皇帝也是同时期《雍正王朝》里的弘历，不腹黑的时候还是挺靠谱的——仁宗真的是这样吗？再就是对这种系列剧来说，第            
(3星)	 那时李冰冰还是个鸡毛~            
(4星)	 周杰演的最好的一部电视剧了，剧情也还不错。            
(3星)	 第一次觉得 周杰的key 高的刺耳            
(4星)	 就这部好看~            
(NA)	 应该看过。            
(NA)	 其实周杰演的这个才是最好的 有点憨 但不傻 典型的大智若愚 扮猪吃老虎            
(NA)	 无聊            
(4星)	 后来才知道抄袭颇多            
(3星)	 拾人牙慧不说还抄袭 我华LILI的吐了 包晴天丑死鸟 涂再黑瞧着也象小白脸            
(3星)	 还行            
(4星)	 那时候还是挺喜欢周杰的            
(5星)	 小时候看觉得挺慎人的。都不敢一个人在家看。            
(NA)	 鼻孔兄在那一刻和名侦探柯南灵魂附体，真相只有一个，新机赐哇一赐莫嘿滔赐！            
(4星)	 当年可是大爱凌楚楚和任泉同学- -            
(4星)	 比尔康好。            
(4星)	 今天在想，谁和两个冰冰都合作过，好像只想到周杰= =            
(4星)	 又名：《想鼻孔这么出众吗？找我。——周杰教你审案子》以前家里人睡了偷偷溜出来看尸体，现在口味这么咸的源头就这么来的。            
(4星)	 挺好看的，不管抄没抄袭，比如今某些打着探案的噱头捣鼓恋爱故事的剧要强多了。在小月亮的照耀下，周杰的鼻孔也没那么显眼了呢！            
(4星)	 经典不可超越的一作……            
(4星)	 周杰演过最好的一部片子。。公孙策是NO1啊~~~            
(4星)	 这一版的确很好看啊            
(3星)	 各种抄袭-。-            
(4星)	 过。            
(4星)	 第一部真挺好看的。            
(4星)	 -  -我咋个比较喜欢陆毅演的包青天喃？            
(NA)	 暑假重播必备。。。。。            
(2星)	 二星为了那位没事就喜欢用力煽鼻孔的家伙            
(5星)	 尔康还是那个尔康，鼻孔还是那个鼻孔~            
(4星)	 小时候超喜欢！            
(3星)	 在知道抄袭金田一之前觉得案子设计的不错            
(4星)	 案子不错            
(4星)	 是有意思的            
(4星)	 谁能够告诉我~有没有这样的路~            
(NA)	 很傻比的被吓到            
(4星)	 我小的时候真的超爱看，后来因为柯南+金田一才恍然大悟......不过，任泉叔叔那时候真是白面小生，帅锅一只啊！            
(3星)	 我承认这版最好看……            
(NA)	 好看的也還是抄的，很多案子都是抄了金田一            
(4星)	 虽然我现在知道剧情全是抄的，而且现在的周杰也非常讨人厌，但是毕竟这部电视剧给我留下了深刻的童年回忆            
(3星)	 照搬案子剧情 当谁没看过金田一和柯南么            
(3星)	 和其他的比较这算不错了            
(2星)	 大案抄金田一小案抄柯南            
(2星)	 周傑永遠一臉苦大仇深樣.            
(3星)	 拿了本金田一就能当编剧么混蛋！金田一都还是二手的！            
(5星)	 唯一看过的一部古装探案片,很好看            
(NA)	 虽然周杰同学有点雷，但这部里他表现还是很良好的。这也是这个系列中最好看的一部了。            
(5星)	 少年包青天            
(4星)	 小时候还是很爱看的。。            
(2星)	 抄吧，继续抄《金田一》和《柯南》，争取再创老年包青天的辉煌            
(4星)	 虽然是抄的            
(3星)	 无聊的时候看周杰挤眉弄眼的样子还是可以打发时间的            
(4星)	 这是唯一一部周杰还能看的电视剧            
(2星)	 如果可以更换主演的话，对人的吸引力会更大。任泉的公孙先生演的不错，需要再提高。那时候的冰冰比现在清纯乖巧，长大了的释小龙还是一身的好武功，英武率真。            
(2星)	 中国版金田一，抄得还蛮欢快            
(3星)	 悬疑启蒙            
(3星)	 印象中看过若干集            
(4星)	 配乐比故事本身恐怖            
(4星)	 周杰和任泉得其神韵。而且迷上了任泉饰演的公孙策XD 水墨画般的美青年。            
(NA)	 学金田一。。。            
(4星)	 第一部。            
(4星)	 案子还是有些意思的            
(4星)	 一部不如一部.....就这部还不错            
(3星)	 抄袭严重            
(3星)	 第一部。还是跟着看了挺久。            
(3星)	 我喜欢楚楚..            
(NA)	 任泉            
(5星)	 当年最喜欢看这部了。            
(3星)	 看不下去...实在看不下去...            
(3星)	 我覺得李冰冰挺好看的。            
(4星)	 就第一部最棒！            
(3星)	 看周杰一张脸就饱了。。。            
(3星)	 很做作            
(4星)	 其实还是不错的，真的。            
(3星)	 就是抄袭太严重了            
(4星)	 开创大陆此类型题材之先河。            
(3星)	 还是不错的电视剧的,感觉像在看柯南.            
(4星)	 除了几集抄《金田一》，其它有些亮点，比如“狸猫换太子”痛斥当今皇帝的虚伪，还让我首次迷上李冰冰            
(5星)	 这部最最好看            
(3星)	 说实话，我觉得第一部还行。            
(5星)	 李冰冰现在比周杰火太多了。            
(2星)	 抄，就是抄！不要脸的东西！            
(NA)	 其实这部故事还挺好看的= =ps.估计当时确实是个电视儿童.真的全都看下来了.貌似后来电视台一直重播,我连重播都看了几次...            
(4星)	 虽然周杰不咋地，但这是几个单元里俺最喜欢的了……后来的续集……            
(4星)	 重温儿时回忆好开森。看当年的释小龙和任泉啊啧啧            
(4星)	 初中的时候的最爱啊~~~~~~~~            
(4星)	 有道明叔的八贤王，周杰演的包拯还是挺不错的            
(4星)	 那时候的尔康还是正常的。。            
(NA)	 还是当年的剧好看            
(4星)	 這部其實挺好看的！爾康！            
(5星)	 鼻孔哥当年还是蛮帅的。FBB当年还是蛮普通的。            
(4星)	 那首《只要有你》是不是这个电视剧的主题曲？ “ 谁能告诉我，有没有这样的笔，能画出一双双，不流泪的眼睛……”            
(4星)	 吓死我了  不敢睡觉            
(4星)	 鼻孔哥！            
(5星)	 好看            
(NA)	 当年冰冰的那张脸真是让人唏嘘……            
(3星)	 第一部还是能看的！！！！！！！！！！！！！！！            
(NA)	 鼻孔赛高！！！            
(4星)	 庞飞燕！            
(4星)	 还是第一部好看。            
(4星)	 搅基。            
(4星)	 尔康……            
(4星)	 小时候的回忆啊~那时候自己在家又想看又不敢看的纠结~            
(5星)	 我真的覺得暴好看吶！！！！！破的案都非常金田一！！！！！！            
(5星)	 尔康！！！！！！！！！！！！！！！！！！！！！！！            
