http://movie.douban.com/subject/2157176/	放羊的星星
(4星)	不错，比台湾那些烂俗花痴剧强很多。《我们的纪念》真好听，高潮部分那个揪心啊~~
(1星)	最烦中韩合拍的电视剧
(4星)	剧情有够扯，也有够瞎，但是…感人！
(4星)	林志颖真是让人感觉不到时间 诶
(1星)	我草。去你妈的。我犯病我看完，好像就为了看完好骂架似的。
(NA)	剧情太俗、表演造作
(2星)	为什么大家都打分好高的？我觉得好假～
(2星)	好假~
(3星)	言情小说的基础 倒是演员在台湾算上眼的
(3星)	2009.09.30 虽然放了很多次，但只有这次看完。就是言情小说啊……但比琼瑶式好点。前半段好像有点慢，后半段好像有点快……演员养眼！得分7.0.
(5星)	在这个折磨我的日子里 这部电视剧 真美好
(3星)	………………………………偶像剧的特点就是十集剧情能拍成三十集
(3星)	林志颖的娃娃脸哦……
(4星)	一看偶像剧，我必粉男二号。
(1星)	= =
(3星)	想给三颗半星.因为比命中注定我爱你还是要好看一点的.
(3星)	未完
(3星)	没觉得有多好看
(5星)	很好很喜欢。
(5星)	让不看台湾偶像剧的我耗了两天的片子
(3星)	看了20集就大概了解说了些什么
(NA)	高考完的那个暑假看完的  好讨厌夏之星 哪里配得上我们梦想家啊
(2星)	女主的演法实在受不了 看了两集 弃
(3星)	好像还没看完...
(4星)	陪母上看。
(4星)	为数不多的从头到尾看完的台湾偶像剧。
(3星)	就偶像剧吧，实在不忍心看着林志颖那么大了还演少男~~~哎，纯情的哦~
(NA)	补遗      
(4星)	林志颖演技不错
(4星)	衣服很震撼，结局很狗血，难道我是冲着林志颖去看滴？
(4星)	后半段好看
(2星)	。。。
(3星)	林氏挤眉弄眼法
(NA)	王子和公主的真人版，回想自己十七岁那年的雨季……
(5星)	很难的好看的偶像剧
(3星)	除了志颖DD老顽童的表现还行以外，其他表现都相当恶俗...
(4星)	还可以的，其实。
(4星)	是从中间集开始看的，然后再倒回到第一集。拥抱
(4星)	2008暑假在家翻台
(5星)	我最喜欢的偶像剧~
(4星)	恩 暌违的
(5星)	区别与其他台湾偶像剧剧情。很成功。
(3星)	某G最爱
(5星)	嘿嘿
(NA)	补遗
(5星)	林志颖好帅啊好帅啊好帅啊好帅啊好帅啊好帅啊
(3星)	居然这么热捧，我觉得好烂俗。
(2星)	完全不感冒
(3星)	太言情了我伤不起……
(3星)	我喜欢 好看！
(4星)	多期待出个续集啊~
(3星)	安徽卫视放过几百遍了吧
(NA)	也没看完的。。。
(NA)	有种虽然够扯但得看下去的魔力。。
(4星)	对台剧有偏见的我在我妈妈的怂恿下看了几集，我觉得还行啦，可我妈每次看都哭得唏哩哗啦的。
(NA)	林志颖是帅啦~
(4星)	还成，偶尔还蛮逗的~~算是剧情可以的偶像剧
(4星)	李威是相对的演技派～
(3星)	一般般咯。最近安徽卫视又在不停的播。觉得林志颖的演技还是差一点。一看刘荷娜的表情就猜到她是韩国棒子思密达。英文名叫 My Lucky Star。比起放羊的星星这个名字要好理解多了。有的时候中文真是深奥啊。
(4星)	一度填补了我的空虚
