http://movie.douban.com/subject/2157188/	倚天剑屠龙刀
(NA)	 黎姿版趙敏，the best！            
(4星)	 这是最喜欢黎姿的一部片子，把赵敏演得非常好啊            
(4星)	 TVB的布景就算再烂再假，也不妨碍这成为一部好看的武侠片。赵敏实在太聪明了，也只有这样的女人才能收服毫无原则不懂得say no的张无忌。太讨厌装柔弱扮可怜的女人了。            
(4星)	 我真是超爱黎姿            
(4星)	 吴启华很显老…黎姿很漂亮很可爱…            
(4星)	 我其实很喜欢黎姿。            
(5星)	 黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿黎姿            
(4星)	 赵敏，黎姿。            
(4星)	 最喜欢这一版！黎姿~~~~~            
(3星)	 黎姿演赵敏好合适            
(4星)	 这个版本还不错，因为黎姿好看……            
(5星)	 看来看去，还是最爱这个版本。            
(4星)	 偶的武侠的开始……到现在对黎姿还是有好感            
(4星)	 因为黎姿            
(4星)	 TVB里爱黎姿            
(4星)	 因为有黎姿！！！            
(4星)	 这个是我最最最喜欢的版本~喜欢赵敏~~            
(4星)	 这里的杨逍好看！            
(4星)	 为了黎姿的赵敏。唯一看了不讨厌的。            
(5星)	 黎姿版的“赵敏”~~~太喜欢了~~~            
(5星)	 噢！黎姿   噢！吴启华 （这大哥后来好像就一路委琐下去了。。。）            
(4星)	 最爱黎姿            
(3星)	 我喜欢这一版的纪晓芙和杨不悔，简直爱死了。            
(3星)	 我见过最好的赵敏            
(2星)	 关键是吴启华太不顺我胃口了。            
(3星)	 黎姿在这里真是美            
(3星)	 黎姿美则美哉，毫无灵魂            
(5星)	 黎姿加吴启华，很好。            
(4星)	 吴启华好老啊。            
(5星)	 六年级暑假和初一寒假的最爱            
(4星)	 过。            
(5星)	 我迷吴启华啊啊啊啊啊            
(3星)	 黎姿的赵敏总比贾静雯和安以轩强            
(5星)	 黎姿版赵敏无人能及！！            
(NA)	 小时候看的，印象很好啊            
(5星)	 超级喜欢来着            
(3星)	 讨厌死那时候的佘诗曼 要不是《无名天使》 我会讨厌她一世            
(NA)	 山寨= =            
(3星)	 开始添加TVB...            
(NA)	 小结巴，赵敏。            
(3星)	 阿佘最丑的一部了            
(4星)	 从这一部知道阿佘            
(NA)	 吴启华版的张无忌实在有些矮...            
(3星)	 倚天屠龙记            
(3星)	 吴启华怎么都不觉得帅            
(4星)	 金牛男+天平女+双子女            
(4星)	 我喜欢这个版            
(5星)	 心中永远的经典。除了人物年龄外人物形象等方面最接近原著的一版。            
(5星)	 爱死吴启华了！！            
(5星)	 最爱这版~~~            
(4星)	 Whatever!!!            
(3星)	 因为吴启华比较帅嘛 黎姿的赵敏也不错            
(3星)	 喜欢黎姿演的敏敏...            
(3星)	 很粗糙的一部戏。            
(NA)	 吴启华实在是太不适合这个角色了……            
(2星)	 四个字：人不对版。选演员选得太差了            
(3星)	 只为Gigi~~~~~            
(3星)	 看到整个色调是蓝蓝的港剧就头疼。            
(4星)	 这一版印象最深了，黎姿的形象真是深得我心啊！            
(4星)	 我更喜欢苏有朋的            
(4星)	 这部 正亦邪 邪亦正 的作品放在今日的社会 也不为过            
(4星)	 当年叶童的赵敏复杂而立面，大爱。荔枝版本的赵敏娇俏无比，灵气四射，也一样大爱...只是佘诗曼的周芷若....我更不DJ了，她还是家春分这个角色最好= =            
(4星)	 这个版本好啊            
(NA)	 童年回忆            
(4星)	 经典            
(3星)	 这个版本也不错            
(4星)	 黎姿真是美啊            
(NA)	 我无耻的只是为了增加与大美的共同爱好            
(5星)	 只看黎姿。            
(4星)	 小学六年级时看的，很老的张无忌            
(5星)	 最喜欢的一版无忌和敏敏            
(5星)	 黎姿啊，是真美啊~            
(NA)	 不管看哪一版我都是不动摇的周芷若派            
(4星)	 回不去的小时候..曾经陪伴我的TVB..（我最喜欢这版的 倚天屠龙记..黎姿很惊艳的说）            
(3星)	 为了看莫莫才看的，发现黎姿的演技很模式化不够味道，故事设计悬念多多但是介绍发展很不理想，有些乏味，结局太平。张无忌实在让人很想扇一帖子~！            
(NA)	 很爱。            
(4星)	 这宋青书中还真的有书生气            
(5星)	 还是启华哥哥这版最好，想当年看得我神魂颠倒~            
(4星)	 我也喜欢里面的黎姿。            
(3星)	 第一次记得佘MM            
(3星)	 就为了看滕丽名啊，可能是爱屋及乌的原因我觉得这版的杨逍最最好了，完全接近心目中的样子！最后实在忍不住感叹一下这版的造物弄人，配角都很喜欢啊连灭绝师太都挺好看的，可是这二位女主角把我最讨厌的全部中了...彻底无语了！！！            
(4星)	 黎姿好美貌，最好的赵敏！佘诗曼也挺漂亮的，总的来说女角都不错，吴启华有点糟            
(5星)	 非典的暑假靠这个活啊            
(NA)	 最喜欢的版本 黎姿~             
(4星)	 这个版本的也不错            
(3星)	 巫也大了点- -            
(NA)	 黎姿黎姿~~            
(4星)	 喜欢这个版本的赵敏~~~            
(3星)	 比较喜欢这个赵敏            
(5星)	 最爱的一版。            
(NA)	  张无忌老了点            
(2星)	 吴启华实在太不像张无忌了吧。。            
(4星)	 吴启华迷离的眼神老让我觉得他少了一副眼镜儿            
(NA)	 黎姿好漂亮，演杨逍的那个也好帅!符合我看小说时自己描绘的场景            
(4星)	 看来看去 还是这个版本的最经典咯             
(4星)	 gigi～～            
(5星)	 我是来看黎姿和吴启华的。。。            
(4星)	 黎姿呀~美女呀~我喜欢~哈哈~            
(NA)	 最喜欢这版的赵敏            
(4星)	 黎姿版的敏敏郡主 最是明艳 和贾静雯的素淡又不同 赵敏是敢爱敢恨女子 最是适合明艳色             
(NA)	 我那时候觉得黎姿太好看了~            
(NA)	 好奇怪啊吴启华……            
(5星)	 會推薦的話 也是因為主題歌我會唱～ 沒啦 主要是 黎姿演的趙敏太好了 是最好的趙敏版本呢！             
(3星)	 哎，黎姿啊——            
(5星)	 谁能去分正邪，从一而终。            
(3星)	 我总是倾向于周芷若这类因爱生恨的角色。所以即使那么多人都喜欢赵敏，我仍是爱周芷若。            
(3星)	 喜欢里面黎姿演的赵敏。            
(5星)	 很好看 黎姿的赵敏非常出彩~            
(5星)	 最经典版本~            
(5星)	 啊。还行还行。黎姿一百年都不老啊。都成妖精郡主了。            
(5星)	 黎姿的张敏是我看过最好的！            
(4星)	 喜歡的版本~            
(5星)	 承载着我太多tvb情节阿！~！~            
(NA)	 最喜欢的一部金庸作品，这个版本看了三遍            
(5星)	 黎姿你千万不要哭！            
(5星)	 除了黎姿很驚艷外，其他的女人要多丑有多丑，omg。。。            
(3星)	 蛮垃圾            
(3星)	 黎姿好漂亮            
(NA)	 至爱赵敏版            
(3星)	 一般，可以看            
(3星)	 吴启华太老了。            
(5星)	 最喜欢的赵敏❤            
(5星)	 比大陆的好一万倍……每次看都津津有味，另外佘诗曼也非常周芷若            
(4星)	 超级喜欢的一个版本.老将新人都很出采.特别是阿佘和黎姿.都好倩.            
(2星)	 这部戏的主角也让人喜欢不上，吴大叔不要太老了            
(3星)	 喜欢这版的郡主。大凡武侠剧里我都喜欢公主郡主一类的角色。强气啊！            
(4星)	 那时候看地多欢啊~            
(NA)	 演员方面，佘诗曼演不出周芷若变化前后的差异黎姿演不出赵敏的帅气还有能不能找个比吴启华更老一点的演张无忌。至于原著，别无其他，就是让张无忌这个B人得了好结果简直是查翁一时蒙了心眼啊。            
(NA)	 俺的大爱哟            
(3星)	 那时候总跟大天说：殷梨亭是个废物，凡是有他的镜头全是躺病榻上的            
(NA)	 最喜欢的赵敏~            
(4星)	 曼喜欢这个版本的。            
(NA)	 人长的都不好，除了黎姿            
(5星)	 大爱黎姿好么...吴启华虽然造型差点儿，但是绝对是个顶天立地的爷们儿啊！！！！佘诗曼演技也超好，芷若的娇柔和周掌门阴狠都演绎的非常好！！！经典！            
(4星)	 张无忌何德何能。大爱赵敏的情义两全。这，就是爱情啊！            
(4星)	 最喜歡的一版趙敏。            
(5星)	 早在这个时候某女就被gigi比下去了..五星打给最棒的赵敏V            
(5星)	 这个版本的才是心目中的经典。吴启华的张无忌也好，黎姿的赵敏也罢，简直就像是量身定做的角色。            
(4星)	 黎姿的赵敏太经典了            
(NA)	 【2001-04-09】            
(3星)	 嗷~我还是因为这部剧开始注意黎姿的啊~            
(5星)	 若是張無忌不換角讓鄧一君一路演下來就更好了！            
(4星)	 = =我喜欢吴启华呀吴启华呀             
(5星)	 黎姿还是蛮美的  记得电影版里演至若的  电视版倒演起郡主咯            
(4星)	 黎姿才是真正的赵敏            
(4星)	 黎姿加一颗星。。            
(5星)	 黎姿我心目中永远的敏敏少主  可惜吴启华的张无忌实在太不合气场            
(NA)	 查漏补缺            
(4星)	 黎姿够艳丽，吴启华有点抱歉，佘诗曼马马虎虎，小昭的演员吓死娘            
(5星)	 泪流满面啊真是            
(5星)	 看了超多遍            
(5星)	 黎姿……             
(4星)	 最爱黎姿了！！            
(4星)	 经典回顾            
(4星)	 最喜欢的倚天屠龙记版本            
(4星)	 总是老版的经典。            
(5星)	 黎姿！吴启华演张无忌太显老！            
(4星)	 还是最爱黎姿的赵敏            
(5星)	 黎姿啊！！！！敏敏啊！！！！！还有苏柏丽的配音啊！！！经典啊！！！            
(5星)	 我有碟我自豪            
(4星)	 这版的赵敏最得我心 殷梨亭跟杨不悔最最得我心~            
(3星)	 这版1般， 黎姿多乖            
(4星)	 这是我最喜欢的一版            
(4星)	 一天十集太爽鸟！！！！            
(NA)	 这个版本也不错            
(5星)	 最喜欢这个版本，尤其是黎姿的赵敏            
(NA)	 黎姿演的赵敏最棒。            
