http://movie.douban.com/subject/2170936/	香帅传奇
(4星)	 在我心里楚留香就是郑少秋那模样 看书的时候也是那张脸 虽然跟肥肥有那段经历但是讨厌不起他            
(3星)	 没看全……也记不清了……我当时喜欢杨丽菁            
(4星)	 弹指神功！            
(4星)	 都不记不清了，香帅真帅            
(5星)	 你可真香 你可真帅！~            
(5星)	 小时候看的第一部武侠片～            
(NA)	 回忆            
(5星)	 上初中时看的，当时觉得情节还不错，天天晚上看。            
(5星)	 秋官啊秋官~~            
(4星)	 当时我觉得香帅的某个红颜知己最PL的 囧            
(5星)	 还记得女主角蒙面的样子            
(NA)	 我当时多么想嫁给他啊。            
(2星)	 大脸姐姐，脸太大了吧！！香帅也老了            
(4星)	 不错。            
(4星)	 找不到比郑少秋更适合演楚留香的了。            
(4星)	 都忘了说什么了            
(4星)	 年轻时候的秋官还是不错的。            
(4星)	 港剧            
(3星)	 虽然都忘得差不多啦，不过秋官的样子想起来还是那么帅。。            
(3星)	 秋官是最好的香帅            
(3星)	 好长好长            
(4星)	 杨丽菁是儿童时期的偶像。            
(3星)	 只记得那首歌：天大地大何处是我家。完全的遗憾，没有看完小平同志就横插进来……爱国主义教育，现在又看不下去了。            
(5星)	 小时候爱看的剧集，那时超爱杨丽菁。            
(3星)	 基本上忘了。除了那首歌。            
(4星)	 小时候看了无数遍，真的是无数遍            
(4星)	 已经记不清剧情了  那时候太小  只记得学着香帅旋折扇   到现在仍然旋得流畅            
(4星)	 當時覺得鄭少秋好瀟灑哦！            
(4星)	 郑少秋挺帅的            
(NA)	 现在看片头感觉跟玩同人RPG游戏一样            
(4星)	 只记得好看。。。上官无极啊！            
(NA)	 好多年不怎么记得老~            
(4星)	 我们田田的最爱            
(4星)	 长大我一定要嫁个像楚留香这么拉风 聪明的帅哥。  小时候的我一直这么想。            
(NA)	 可能看过 女是香港打星 可能拍过3级            
(5星)	 至此觉得郑少秋和杨丽菁的古装扮相无敌了。            
