http://movie.douban.com/subject/2170998/	情丝万缕
(NA)	 语文老师在黑板上写下(   )丝万缕 ，请同学们成语填空。突然叫起一位正开小差的同学，同学站起来，低着头，眼睛左斜右瞟，求助于周围的人，大家开始嘘嘘嘘的小声递点子，他开始支支吾吾，看来，由他综合一下，答案快出笼了，“什么？”被老师这么一激一问，“情丝万缕！”同学干脆响亮地回答。            
(NA)	 苏州 儿时记忆。            
(4星)	 就放学留下大扫除，小朋友都喜欢等来等去。但是小朋友就催我“你快点扫呀！我要回去了！”“回去做什么？”“看情丝万LOU呀！”            
(3星)	 什么都忘了，只记得《两两相望》            
(5星)	 曾经一集不落            
(5星)	 非常喜欢的新加坡电视连续剧，因为这部连续剧，去同里水乡时候我在退思园沉思好久~            
(4星)	 小时候表姐管这个叫“情丝万楼”。            
(NA)	 小时候爱看            
(5星)	 潘玲玲很美，苏州形象好，辛奶奶的歌赞。            
(5星)	 至今一些场景仍鲜活地印在脑海里。            
(5星)	 哦哦哦哦,绝对是童年回忆啊~当年的潘玲玲, 当年的陈天文,那时候苏州的小桥流水. 还有那首辛晓琪的歌.一直不明白潘玲玲为什么嫁给黄世楠.......            
(4星)	 在苏州拍的，很不错            
(5星)	 小时候看过的电视剧，对苏州和主题曲印象深刻            
(5星)	 还想看～            
(NA)	 好像是第一次认识潘玲玲，美女啊            
(5星)	 童年最美丽的女主角跟爱情            
(5星)	 儿时记忆            
(4星)	 这名字起得……苏州真是太美了。            
(NA)	 只记得潘玲玲的眼睛大得快要掉出来了~            
(5星)	 两两相望啊。和小学好朋友一起看剧聊八卦的日子........各种回忆。            
(5星)	 这个太好看了啊。想当初女主角满足一切我对未来自己的幻想---美丽善良能干。当时觉得她的打扮好洋气，美爆了。            
(5星)	None
(4星)	 儿时很喜欢的连续剧            
(5星)	 我小时候也爱叫它“情丝万楼”哈哈            
(5星)	 主题曲！！            
(NA)	 新加坡剧。很好看。比较喜欢女主。结尾新郎新娘在苏州走桥……叫啥米风俗，记不起来了。            
(4星)	 我到现在都会唱那首辛晓琪的主题曲 眼看眉一字宽。。。            
(3星)	 记得分梨要分离的典故            
(4星)	 还记得不能分梨。            
(5星)	 小时候追的一部 终于给我找着了~主题曲印象相当深刻            
(5星)	 “拈朵微笑的花 想一番人世变换 到头来输赢又何妨 ” 你说十几年前的故事和如今的新事，究竟有什么区别？握不住的，还是风。            
(5星)	 小时候一度迷恋N久的电视剧，喜欢第二段感情...  潘玲玲漂亮..             
(4星)	 重回那些中午放學穿过小巷回家看電視的時光            
(4星)	 小时候看的片子啊，感觉还很好看的。和丝绸有关。            
(NA)	 童年的痴迷            
(4星)	 记得像天堂的苏杭            
(4星)	 小学的时候看过的片子，一直都不知道那个女主角的演员叫什么，最近才知道叫潘玲玲，满喜欢她的            
(3星)	 主题曲  《俩俩相忘》好听            
(5星)	 小学            
(5星)	 好久以前的事了            
(5星)	 突然想起这部戏，很立志，很经典阿。            
(4星)	 那个时侯的感动            
(4星)	 到现在都记得，潘玲玲蛮漂亮的，辛晓琪的歌蛮好听的            
(NA)	 是这个么？？真记不起来了~            
(5星)	 回忆            
(4星)	 就喜欢这妞            
(4星)	 那瓶写在洗发水瓶子上的诗，我记了这么多年。            
(NA)	 记得杭州的桥            
(NA)	 自己都不知道为什么从小到大都喜欢!            
(5星)	 喜欢 熟悉的歌曲……            
(NA)	 哈哈  就记得一个人叫“耿直”            
(4星)	 小时候看的,剧情都不记得了.唯一留还记得的可能只有&lt;俩俩相忘&gt;了.但那个时候应该是每天一集的在等着看的吧            
(5星)	 两两相望还是杨佩佩倚天屠龙记的ED之一。            
(4星)	None
(5星)	 至今没看过25集啊！！！            
(5星)	 那时的潘玲玲真美，那个年月的新加坡剧集真好看            
(NA)	 小时候跟老妈看的，剧情已经不记得。            
(5星)	 一回首 好多年            
(5星)	 终于找到了~~~好激动~~~~~《两两相忘》的旋律总是忘不了~~~            
(4星)	 又是一部当年爱的要死新加坡剧，当时喜欢第二段感情诶，不知道现在再看会不会有不同的理解！            
(NA)	 小学看的，当时觉得女主角非常有气质            
(4星)	 虽然忘了情节，但是记得这个名字            
(5星)	 就是喜欢范勤和耿直，为了看那三座桥还专门去同里走一遍。            
(5星)	 小时候看过的电视剧            
(4星)	 如果范勤和文轩在一起就完美了            
(4星)	 小时候颇为惦念的新加坡剧   还为此去了同里  我晕            
(5星)	 一直没看到最后一集。            
(NA)	 我的电视剧桥段普及剧~            
(NA)	 跟着我妈一起看的电视剧啊。            
(4星)	    確定看過，但情節都不太記得了，只記得那首歌還有最後結婚了過多少橋之類的~            
(4星)	 苦情和狗血确实是那个年代所特有的……很喜欢女主角……            
(5星)	 小时候，觉得她好美，好美啊。。。            
(NA)	 女主角在里面是不是叫boubou？            
(5星)	 很喜欢的一部新加坡剧，主题曲也很喜欢，喜欢潘玲玲            
(5星)	 主題曲很好聽啊~女演員也很PP。            
(5星)	 俩俩相望            
(4星)	 记忆中的经典啊~            
(4星)	 记得这剧里有苏州- -还有貌似两女人争一男人？片尾曲是两两相望印象很深            
(4星)	 潘玲玲也是新加坡剧的大红牌 这首主题曲还记得是辛晓琪的俩俩相望。            
(5星)	 从主题曲追到这个电视，有时间补一补。肯定看过。            
(NA)	 记得歌，那时候的电视有一种奇怪的亲和力            
(5星)	 总有一个人，愿意陪你一生一世，然后，再陪你生生世世。            
(4星)	 同里，耿直希望把那里的桥都过完，还记得这一幕。            
(4星)	 总觉得那首歌是为潘玲玲所写~            
(4星)	 主题曲好听            
(5星)	 小时候的经典啊！！那首《两两相忘》使我久久不能忘怀。。。            
(5星)	 经典，偶又想看了            
(4星)	 讲啥的嘞            
(5星)	 喜欢潘玲玲            
(5星)	 曾经的经典            
(NA)	 真看过，还是忘了在演什么            
(4星)	 很喜欢的电视剧，里面的主题曲也非常好听            
(3星)	 看过，但是没印象了            
(4星)	 好喜欢呶呶            
(4星)	 很多电视台把10年后的那个段落删掉了，其实范勤和文轩10年后还相遇过的！不过范勤还是选择了耿直。            
(3星)	 很小的时候看过，但是没看完，只记得里面的歌《两两相望》            
(3星)	 两两相望            
(4星)	 一直不理解结局！            
(5星)	 主题曲太好听了。辛晓琪的俩俩相望            
(4星)	 童年的梦想成真了，我踏上了新加坡的土地现在的她应该早已成为人母了吧真希望还能在电视上见到她            
(5星)	 俩俩相望，想起这首歌            
(4星)	 那时候潘玲玲是完美的女神~            
(5星)	 相当经典的新加坡剧啊，就是内地当年没放最后一集            
(5星)	 潘玲玲、陈天文、洪慧芳还有黄碧仁，全是实力派。            
(3星)	 新加坡剧一度很流行，主题曲记忆犹新啊            
(5星)	 童年滴有一部回忆。其中她的女朋友对她的恨居然原因是对于她的嫉妒。记得小时候看得很震撼。            
(5星)	 啊，为什么最后一集就被删掉不播了呢            
(5星)	 苏州！！！！            
(NA)	 童年记忆中的经典，沉吟至今。                                   特别喜欢女主角潘玲玲和主题曲《两两相忘》。            
(4星)	 想找个耿直那样的男子！            
(NA)	 少年不识情滋味~~~至今记得那曲两两相忘            
(5星)	 当年很喜欢~            
(5星)	 小学时候看的，没能看全，好想有机会再完整地看一遍！            
(5星)	 如果是完整版的就完美了            
(3星)	 小时候看过的剧小时候的我觉得里面的女主角好美,至于剧情早已不记得了现在我都会哼哼这主提曲&#34;拈朵微笑的花,看人世沧桑变化,到头来却悲喜...&#34;歌词已记不真切了,调调却一直很亲切            
(5星)	 小时候看的，印象好深，现在又翻出来了            
(3星)	 忘记大概了，只记得潘玲玲和那首两两相忘了            
(3星)	 那首鬼迷心窍和俩俩相望......            
(4星)	 一个不喜欢看连续剧的人怀念的一部连续剧            
(5星)	 小时候看过，现在可能都忘了吧，只记得那首主题曲            
(4星)	 哈哈，开始回忆新加坡老片~            
(4星)	 和老妈一起看的            
(5星)	 因为苏州而记得这部电视剧            
(5星)	 这部电视剧是童年的回忆，主题歌《两两相忘》好听的不得了            
(NA)	 女主角很漂亮            
(5星)	 曾经也走过同里的三桥，终究未成果，但算是满足了我一直以来小小的愿望。            
(3星)	 主题曲：两两相望            
(5星)	 对于这部片子，My heart will go on。。。            
(5星)	 最爱的新加坡剧~为了看它每天凌晨三点起来看山东卫视            
(4星)	 很小的时候看过的            
(NA)	 水乡里的爱情            
(5星)	 初中阶段最喜欢看的一部电视剧，迷恋了很久很久            
(NA)	 希望，再度重现荧幕...            
