http://movie.douban.com/subject/2173246/	霹雳菩萨
(NA)	 “阿舍就像是雷霆霹雳，阿得却像是救难菩萨”，石头和尚本性如阿舍，却一心想修成阿得，这是两个极端……            
(3星)	 我真的没看完 念想良久            
(NA)	 这也能再看到？！            
(3星)	 那个时候的徐静蕾好纯啊，也很喜欢杨丽菁，还记得有个男主角我满喜欢的，是谁忘了。想起来了~貌似是温兆伦            
(NA)	 一直觉得那会儿台湾古装剧的服装很有趣~            
(4星)	 杨丽菁 徐静蕾 好美 想你的365天好听 还有刘雪华 总之还蛮好看的。            
(NA)	 笑死啦，突然想起很小很小的时候，一个人坐在阴暗的客厅看完的~那时候看得还很入迷……            
(4星)	 好老啊~            
(NA)	 那个时候还不认识徐静蕾            
(3星)	 竟然有徐静蕾。。。            
(NA)	 当时好喜欢阿舍            
(NA)	 总有比生活更狗血的电视剧来安慰我。            
(4星)	 阿舍阿得，怎叫有情人舍得放下。            
(2星)	 超无聊。            
(3星)	 爱得深呀爱的真，怕姻缘似水            
(4星)	 想当年我喜欢过0 0            
(4星)	 初中时很喜欢的电视剧            
(3星)	 以前很迷的            
(5星)	 小时候那么爱啊= =            
(4星)	 还记得那年青涩的徐静蕾。            
(3星)	 我知道我该为你做的事让你的梦更美            
(3星)	 喜欢冷炎和骆日。            
(2星)	 喜欢杨丽菁            
(3星)	 就是古装片嘛，小时候喜欢看            
(4星)	 辟谷，就出自此。我童年的记忆呀。。。。            
(3星)	 囧            
(NA)	 梦里有人将我追 　　却看不清他是谁            
(NA)	 极小时看过，只记得这些演员记得阿舍阿得，其余的都没了印象。            
(3星)	 阿舍 阿得 还有邵峰~            
(2星)	 1998年冬天寒假            
(5星)	 太好看了这套单元剧，从颜色设定到故事情节到演员表演 都很赞            
(5星)	 小时候最爱啊！还有邵峰            
(5星)	 石惊天            
(3星)	 水姻缘。。。            
(4星)	 阿舍阿得，舍得舍得，有舍才有得。            
(3星)	 我居然能记得这个，我越来越崇拜我自己的记忆力了……            
(NA)	 我年少时一心想成为杨丽菁。            
(5星)	 鉴于当时我和我妈一起熬夜看这部戏，我决定给五星以纪念！            
(NA)	 当年SD影视频道流行杨丽菁(虽然俺当年不知道她姓啥名啥)..            
(5星)	 很喜欢杨丽菁 也很喜欢里面的石惊天 这里面的徐静蕾也和现在非常非常的不一样...            
(3星)	 记得田震唱的主题曲特别好听～            
(3星)	 以前看还哭来着            
(5星)	 这个。。喜欢啦！！！！            
(3星)	 除了将爱情进行到底 这部是我对徐静蕾最深的印象了            
(NA)	 徐静蕾……囧            
(4星)	 从雷的角度看，怎么看怎么值得推荐            
(3星)	 徐静蕾难得的古装            
(5星)	 当时看邵峰很是好啊~            
(NA)	 老徐难得的古装作品            
(NA)	 第一次看徐静蕾的戏。喜欢这个淡淡的姑娘和她那个冷冷的杀手情人。            
(5星)	 呀呀呀好看            
(3星)	 那时候觉得杨丽箐简直美若天仙，徐静蕾路人了            
(5星)	 内什么，石惊天真好看……就是眼影太重了……            
(NA)	 那个掉下悬崖的情节是这个吧。。。            
(3星)	 小学时代好的口            
(3星)	 虽然电视里徐静蕾一直都是张苦脸 但是小时候还是很喜欢她的 觉得纯纯的             
(3星)	 只记得徐静蕾的扮相了            
(4星)	 今日偶然想起年幼时还看过这个，加怀念四颗星            
(3星)	 演的是啥，我真的忘记了。            
(3星)	 杨丽菁杨丽菁~~~            
(5星)	 小时候中午回去吃饭的时候，家乡的电视台都在放这个，那时候好开心啊。            
(5星)	 当年好爱杨丽菁~            
(NA)	 片尾曲是田震唱的水姻缘  小时候看过N多遍            
(3星)	 这个……我好像还真看过几集……            
(4星)	 贼喜欢这部电视剧  当时特别喜欢 特别喜欢女主角            
(1星)	 徐静蕾- -            
(3星)	 那时候的徐静蕾很清纯            
(4星)	 看了觉 得没有我原来那么想看了            
(5星)	 阿得、阿舍，我小时候老是喜欢和妹妹分别扮演            
(5星)	 小时候的心头好！            
(NA)	 温兆伦年轻时可真是大帅锅一枚啊。            
(5星)	 小时候就爱看，重温了一遍还是很喜欢。想迷茫的时候有石头这样的师父解惑，委屈的时候有阿舍阿得这样的姐妹诉苦，集舍得精华于一身快意江湖。怀菩萨之心肠，行霹雳之手段，嬉笑怒骂、恩怨情仇。最后，与人执手并肩，热爱这人间。            
(3星)	 那时候看到邵峰惊艳了！话说徐静蕾那时还演过这样的戏，嘻嘻            
(NA)	 阿舍和啊得。那时候的徐静蕾多美            
(3星)	 阿舍和阿得            
(4星)	 我记着这个名字 又是一个洗脚专用电视剧啊 现在看着演员表还挺雷            
(3星)	 老徐也曾楚楚可怜过            
(3星)	 这是看的第一个徐静蕾演的片……            
(NA)	 当时迷上田震的水姻缘            
(4星)	 那时候看到邵峰惊艳了！话说徐静蕾那时还演过这样的戏，嘻嘻            
(5星)	 第一次知道到徐靜蕾。。那個青蔥啊            
(NA)	 小时候的记忆啊 金超群的配音真的好好 杨丽菁的配音是许仙啊            
(NA)	 像颜同学的女人            
(3星)	 那个拟音效果真卧槽……杨丽菁那时候真漂亮，老徐的面色一直仿佛病危            
(4星)	 最喜欢看有徐静蕾和温兆伦感情戏的那一段             
(3星)	 徐靜蕾 呵呵            
(4星)	 片头曲是李玟的想你的三百六十五天。            
(NA)	 笑噴。            
(4星)	 小时候好喜欢阿舍            
(2星)	 居然是台剧？？            
(3星)	 我擦。。。。今天在路上突然想起这个片子来，这应该是老徐比较早的片子了吧。。。。。那会儿陪着老爸老妈看完的。。。。。。            
(3星)	 邵峰很帅            
(NA)	 小时候看的 那时觉得落日好伤感            
(4星)	 唉，那飘飖白衣呀……            
(5星)	 邵峰演的石惊天很帅！喜欢白衣翩翩的公子！            
(3星)	 其实蛮不错的，只是因为成本太低，服装布景太差，但杨丽菁明媚动人、徐静蕾温婉可人，而且阿舍阿得的名字深得我心。            
(NA)	 呃，我喜欢那个穿白衣的XX公子，还有阿得和落日            
(5星)	 剧情实在是记不得了，只知道那是认为杨丽菁漂亮极了，而徐静蕾是后来才知道她在那里也有扮演过            
(5星)	 小时候超喜欢的一部剧，也算是那个时代的偶像剧吧~~喜欢烈火般的阿舍和外冷内热的石惊天，喜欢寂静的阿德和矛盾的杀手骆日，难忘的是年少的时候跟着剧中人物亦喜亦悲的心动心痛。真好~~            
(3星)	 我对每一部电视剧的记忆：就是里面的美女帅哥和感情戏……            
(3星)	 当时老徐很清纯，惊艳了我的石惊天~            
(3星)	 其实很烂，但为了杨丽菁还是给了三星            
(NA)	 有着浓浓的小时候的味道！            
(4星)	 怀旧呀怀旧~~            
(3星)	 好多年前看的了            
(3星)	 没了舍还有得。。。。。。            
(3星)	 红菩萨装的雪华姐印象深刻...杨丽菁大爱~~            
(3星)	 小时候            
(4星)	 虽然现在给四星真的很奇怪，但是放在那个时间的话给满分也不奇怪，我美好的爱。            
(3星)	 记得阿舍和阿得            
(3星)	 男演员竟然都是帅哥！！O(∩_∩)O 故事有点离谱，爱的快恨的快啊            
(NA)	 金超群。。。            
(NA)	 日 我竟然看过这么。。。            
(5星)	 少年时代大爱的电视剧，石惊天是最大的亮点，感情戏非常细腻，杨丽菁明艳动人，开朗大方，经典作。            
(3星)	 很小时候看的            
(3星)	 簌簌~~~            
(NA)	 我竟然看過這個 驚            
(4星)	 剧情现在看来很雷，但还是喜欢杨丽菁            
(4星)	 我小学的时候那是一个入迷啊            
(5星)	 我靠，这电视剧印象太深了，对徐静蕾的第一印象~            
(4星)	 啊我找的就是你啊石惊天！！！            
(4星)	 童年的记忆啊，灰常灰常美好……我记得当时还跟爷爷一起讨论主角来着。现在，偶跟爷爷已经不讨论主角，改讨论演员了……            
(3星)	 舍与得            
(NA)	 小时候看的~            
(3星)	 主题曲是田震的《水姻缘》，没想到她也可以唱这种风格歌，好听。            
(4星)	 我估计我小时候没看过~            
(5星)	 怀旧，深陷怀旧！            
(3星)	 记得里面有个公子叫石惊天？就是和杨丽箐一对的那个，我当时喜欢那个。他妈妈这样一个资深美女居然和胖和尚相爱……            
(3星)	 阿舍和阿得            
(3星)	 当时没注意过，竟然是徐静蕾演的。。。            
(3星)	 吐血吧            
(3星)	 舍得            
(4星)	 徐静蕾很少的片子之一            
(4星)	 虽然就看过几集- -            
(4星)	 很有古典味道和气质的一部剧            
(4星)	 反正我记得我看过，只是情节真的不记得了……            
(5星)	 没想到还有徐静蕾            
(NA)	  舍 得            
(5星)	 在我读五六年级的时候，让我每天想早点回家的理由，它是一个！            
(3星)	 就看杨丽菁            
