http://movie.douban.com/subject/2173257/	乞丐皇帝传奇 乞丐皇帝傳奇
(5星)	 杨丽菁很漂亮，小时候很喜欢            
(4星)	 喜欢明霞。一度觉得马皇后是小三。。。            
(4星)	 我只记得陈友谅，多么痴情的娃儿，其余都是尘埃我都不记得了。。。            
(5星)	 看过《明朝那些事儿》的人应该会对这部剧有印象。唯一缺少的就是那位“佩瑶妹妹”。不过我一直很喜欢陈友谅。             
(4星)	 陈友谅眼睛好大！亮亮的！            
(5星)	 陈！友！谅！！！！            
(3星)	 有天心啊            
(4星)	 演员表上居然没有佩瑶妹妹~~            
(3星)	 为什么天心不在演员表上？多美的天心啊            
(3星)	 那时候觉得杨丽菁好漂亮，天心好丑……现在反过来了……            
(5星)	 杨丽菁粉漂亮啊，但我跟喜欢佩瑶妹妹。徐达也赞。痴情的陈友谅～            
(2星)	 相当滴扯～            
(5星)	 小时候看的全是经典！            
(4星)	 当年的你英气逼人   太美好了那时比较喜欢公主             
(3星)	 朱重八 佩瑶            
(5星)	 童年记忆啊！当年在天心和杨丽菁两人之间徘徊了好久，最终认定天心更美~            
(3星)	 只记得明霞了            
(NA)	 我真的看过！！演朱元璋的尼玛的不就是展昭么！@！！！            
(3星)	 哈哈，我喜欢那个元朝公主！！！！            
(2星)	 哦天哪            
(4星)	 那时候觉得很美的杨丽菁            
(5星)	 喜欢他的眼神 温厚他还演过张三丰吧帅！            
(3星)	 小时候超迷杨丽菁。            
(3星)	 GOD，我的小学毕业的暑假！“守得云开见月明”            
(4星)	 当时看完全是为了杨            
(4星)	 记得当时年纪小...            
(3星)	 其实放现在也是一坨雷剧            
(4星)	 一开始很爱重八哥，后来发现友谅才是好男人那。            
(5星)	 好喜欢杨丽菁呀            
(4星)	 我一直以为。。。郡主和朱重八能在一起的  所以说不完美的能让人记得住            
(4星)	 觉得明霞好可怜~            
(5星)	 喜欢杨丽菁~~~            
(5星)	 守得云开见月明——那么多年，我始终记得她是如何无望的爱着那个倜傥的少年天子，于漫漫荒野轻衣落泪，悲矜难言。纵使此后有相对言欢，又如何？那些时日的悲凉底色，岂是一个长相守便能偿还。更何况，这样难堪薄凉的所谓胜利还是他还负了如此的佩瑶妹妹才赢得的。            
(4星)	 当时一点也不喜欢男女主角，只觉得宋达民好帅天心好漂亮            
(4星)	 我记得，当我看见最后的结局时还哭了            
(2星)	 刷条目好累            
(5星)	 喜欢明霞！            
(4星)	 很爱杨丽菁，可惜最后没在一起            
(4星)	 好喜欢那个悲催的陈友谅~~配药妹妹~~            
(4星)	 印象好深但就是一直没想起来叫什么名儿的剧。天心真的好美            
(NA)	 其实都忘记剧情了 只记得陈友谅巨痴情 觉得天心美到爆            
(NA)	 亲娘类~            
(4星)	 我还记得那 明霞 那一串特长的姓。            
(4星)	 小时候觉得杨丽菁真是美翻了...            
(4星)	 天心那个时侯我见犹怜，不过更喜欢杨丽菁            
(4星)	 喜欢啊 小时候就看的我很纠结 痴心的陈友谅 其实蛮喜欢他的 哪个女生不希望自己有个陈友谅呢？ 嘻嘻·····            
(3星)	 那时候觉得何家劲帅 杨丽菁美~~            
(3星)	 为了杨丽菁            
(4星)	 永远记得杨丽菁这部的扮相 还有那啥陈友谅            
(3星)	 就是喜欢杨丽菁啊~觉得陈友谅还挺痴情...还有最后有眼无珠的孩子            
(4星)	 喜欢明霞，为爱付出，最后为爱牺牲。没觉得佩瑶哪里好，本来就集万千宠爱于一身了~            
(5星)	 古典美女杨丽青啊 太美了            
(3星)	 杨丽菁，美女一枚。            
(5星)	 那时的杨丽菁 很有魅力            
(3星)	 这部电视，小时候喜欢郡主因为觉得杨丽菁漂亮，不喜欢陈友谅因为觉得反派。但长大后再看的话会既喜欢郡主又喜欢陈友谅的。光论长相，苏忆菁也很漂亮哎。            
(4星)	 聚集了我喜欢的杨丽菁和何家劲的戏，虽说剧情很雷，真的，但我还是坚持下来了，这部剧里我最喜欢的角色是徐达的说            
(3星)	 忘結局了.            
(4星)	 初识杨丽菁            
(4星)	 这剧太虐了            
(3星)	 陈友谅和徐佩瑶简直是绝配，都那么偏激，不顾一切，固执，疯狂，骄纵，让人想起恋爱的犀牛。。看到两人拿着剑对峙，然后哭哭笑笑的样子。。真是虐到极点。。当然，如果表演疯狂时不仅是吼叫和夸张表情。。台词舞台化，镜头拖泥带水也是问题。。            
(5星)	 硕明霞太可惜了，讨厌马皇后            
(4星)	 可以看的            
(5星)	 心中永远的经典！！！            
(NA)	 很早了。只记得朱重八就是朱元璋。杨丽菁是元朝的郡主。。。            
(3星)	 俺哥坚持认为天心比较好看，俺认识的女人全都持相反意见。            
(4星)	 火龍神投胎，朱家名重八            
(3星)	 噗~~小时候觉得好好看！            
(4星)	 李志希那张标致的脸啊...这是他自己最爱的一个角色，也是这部戏里最大的亮点——陈友谅            
(5星)	 古今第一痴情奇男子，不给五星情何以堪！！！！！             
(3星)	 對這部的印象非常深，什麽何家勁受刑啊，李志希的兒子有眼無珠啊（當時我還沒看這集，有個同學看的劇情介紹已經知道了，我還和她爭呢，說沒演就沒這回事兒什麽的……），之類的吧……            
(NA)	 虽反派，却有张帅脸，又痴情的不得了，陈友谅你赢了            
(4星)	 我是有多爱佩瑶和汉王那对啊！            
(5星)	 非常喜欢杨丽菁，明霞太爱你了。            
(NA)	 我就直接的那个乞丐皇帝上了一个女的...当时各种怨念...            
(3星)	 痴情男儿陈友谅 爱美人不爱江山            
(5星)	 小的时候特喜欢 朱重八= =            
(4星)	 雖然楊麗菁在天涯被批過臉盤子大，不過以前真的她的好幾個角色我都DJ的            
(4星)	 我喜欢重八和明霞，佩瑶么比较可怜，居然给陈友谅生了个双目无珠的女儿（预示陈末路将至啊），但陈友谅对她可是一往情深，隐瞒了事实，对向他表示歉意没生儿子的佩瑶安慰说女儿好，女儿贴心嘛……            
(4星)	 性启蒙教材耶！            
(2星)	 很扯很扯。            
(4星)	 陈友谅很痴情。            
(2星)	 我们班一男生叫X佩遥 我们都叫他佩遥妹妹 大概就是这部电视剧导致的吧 当时觉得佩遥这个女演员真丑 后来发现居然是天心演的 怪不得那么丑 也很讨厌这个角色            
(3星)	 小时候老觉得他叫兔八哥..            
(5星)	 我就支持天心从了陈友谅            
(1星)	 小时候我一直念叨朱元璋是麻子，不该这么帅的。当然剧情也是扯得一塌糊涂。            
(3星)	 我那时是多么喜欢杨丽倩，虽然她角色不太讨好。            
(5星)	 陈友谅            
(4星)	 儿时记忆啊 小时候一直没听清楚朱重八到底叫什么 我那时候好像觉得杨丽菁长得很美 很英气的美 陈友谅就是一个痴情种子啊 天心演的角色也演的蛮好的 总之还不错的剧情            
(NA)	 乱七八糟的剧情加演员！！！            
(NA)	 何家劲长得像我堂哥            
(5星)	 那时他们都还好年轻啊，天心演的佩瑶我很喜欢，陈友亮对她真好，从那时起，我就希望将来有一个男人能像陈友亮对佩瑶一样对我，那我这辈子就知足了。讨厌重八，明霞公主那么喜欢他，还为他生了儿子，结果他们没在一起。暑假时候看的，一度很入迷，邻居还把电视放到外面，大家一边乘凉一边看电视剧            
(3星)	 何家劲～～古老的展昭啊～            
(4星)	 小时候看过的啊！！！            
(3星)	 我记得此片似乎挺长，这还是我知道朱元璋是乞丐皇帝的开端。            
(NA)	 小时候不知道为什么感觉很长，并且从那时候就觉得陈友谅就是长那个样……            
