http://movie.douban.com/subject/2173261/	达摩祖师
(NA)	 好多的美女。。            
(3星)	 那段时间翁红老出现            
(3星)	 很喜欢翁虹的飞天            
(NA)	 八卦，八挂，偶牵挂。太丢脸了            
(4星)	 蒋勤勤真美。大悲咒带来力量。            
(4星)	 看了两遍吧            
(4星)	 和姥姥在一起的爱回忆~~            
(4星)	 很久很久了            
(4星)	 有点爱吕良伟            
(NA)	 这个 。。。。。。。电视原声带            
(4星)	 我记得这片拍得还挺精致的            
(NA)	 小时候竟然喜欢达摩这种型的叔  我真是个奇怪的叔控。。            
(3星)	 只记得黄安的主题曲了。            
(3星)	 。。。现在看看很雷人的。。。            
(3星)	 佛教配乐 挺治愈 扫清烦躁            
(4星)	 因为对这个印象真的很深啊...所以又看了一遍            
(2星)	 我还记得我小学三年级的发型被别人说成达摩发型。            
(3星)	 达摩把河里的水分开什么的！然后走过去！当时觉得超神器的！            
(4星)	 这片竟然是吕良伟演得。。            
(3星)	 节奏太慢太慢太慢。。。而且情节不知道是太哲了还是根本不知所谓，特效还不错，打戏太少太少。。。。。不过这篇虽然叫《达摩》。。。但是美女大把大把。。。            
(NA)	 啊啊啊啊啊。            
(NA)	 啊啊啊。原来印象里有那么一句台词“天降红雪，可以！”然后断臂是出自这里！看的时候感慨万分！诚心向佛果然是有感召力的！虽然重温的时候发现假手落地十分生硬。但也确定了他那一句咬牙切齿的台词是这里的没错！~            
(3星)	 达摩达摩恰火锅，恰完了火锅就开摩托…主题曲被我们唱成这样了…            
(4星)	 哼了哼主题曲，乐死我了            
(3星)	 我还记得俞小凡。            
(NA)	 达摩达摩神马的            
(3星)	 当时觉得翁虹特漂亮！！对了，我隐约记得黄晓明在里面跑龙套来着！就是一个被一剑刺死的富二代，是不是？是不是？            
(NA)	 还记得每次要放广告的时候， 达摩 达摩。。。            
(3星)	 小时候很喜欢看来着。            
(3星)	 觉得那个达摩的装扮很搞笑            
(2星)	 印象中看过，但不知道他说了什么            
(3星)	 一念万善生。            
(4星)	 无求于人，无心害人。行事自然坦荡磊落。            
(3星)	 只记得吕良伟那张脸在里边            
(3星)	 看的都忘记了            
(2星)	 小时候还挺喜欢翁虹的。            
(NA)	 我肯定我看过   我肯定我忘了            
(NA)	 八卦八卦，哇诶心挂~            
(2星)	 哇靠这片都有，我记得片尾曲还是什么的被我们改的不像话            
(5星)	 。。。。。。。。。            
(3星)	 美女如云            
(2星)	 现在看这特效做的真的好雷人。。。            
(NA)	 很小的时候看过的，里面全是美女有木有            
(5星)	 学生时代为之着迷的一部港剧            
(4星)	 这剧好长。。。            
(4星)	 再温习一遍。。。            
(3星)	 我为了最后一集一直耿耿于怀。。。。。还有那个 小学二年级的  盈盈。            
(4星)	 我TM怎么看过这么多肥皂剧            
(3星)	 我竟然看过            
(3星)	 这我也看过？？？！！！            
(3星)	 小学2年级吧            
(4星)	 真心觉得喜欢啊小时候……            
(3星)	 达摩好潮啊。            
(3星)	 跟我爸看的。当年我爸的口味真奇怪，现在也是。            
(NA)	 身外化身            
(5星)	 小时候很喜欢的了 不记得说什么的咯~ 但是演员的造型 却都还记得            
(3星)	 吕良伟的大眼睛            
(NA)	 高中时代暑假劳动课实习，每次组装完收音机从交大骑车回家就奔着去看达摩，回家一路上都是同班男生嚎叫唱主题歌的噪音            
(NA)	 太太说达摩祖师是国字脸            
(2星)	 剧情不知道在讲什么，记得主题曲“达摩，达摩……”            
(3星)	 记得片头曲很雷~~~美女很多~~~            
(3星)	 开启中国人了解佛学的入门电影，寓教于乐            
(5星)	 记得看过这样的一部，不知道是不是这部。            
(2星)	 美女倒是特别多.            
(3星)	 童年啊童年。。。            
(3星)	 里面有蒋勤勤，很美。但是，更让我惊艳的是翁虹的飞天。            
(3星)	 o(╯□╰)o小学时代看的~            
