http://movie.douban.com/subject/2190914/	桔子红了
(4星)	 电视剧也可以如此文艺，还喜欢《大明宫词》，还有周迅~            
(5星)	 最喜欢的一部周迅演的片子。            
(5星)	 压抑的            
(5星)	 剛上初中的時候吧，真是美不勝收。            
(5星)	 服装。。。。。            
(4星)	 当年全家在一块看的电视剧，第一次见着周迅，那时激动的要命，第一回找着声音和我如此相似的姑娘。            
(5星)	 元宵节，泪流满面～            
(5星)	 这种感觉太爱了！OST棒啊！            
(4星)	 不管怎样，归亚蕾的的确确是演技派的老佛爷了。            
(3星)	 1，一眼让人看到结局的故事不算个好故事；2，周迅在这里以一只猫的姿态出场；3，下一部吃饭该看什么了            
(3星)	 我就觉得特别诡异            
(NA)	 当时的小少女我在床上为结局哭得要昏死过去。            
(5星)	 就记得里面的主题曲啊 那个神啊            
(5星)	 但我仍旧自私的想要收入囊中。            
(NA)	 很久以前，初中            
(5星)	 虽然很沉重 但是很精致            
(4星)	 大陆            
(3星)	 陪妈妈看的片            
(3星)	 气氛营造上佳，叶锦添服饰。            
(5星)	 服饰道具那个考究阿！！！演员也很不错。            
(4星)	 很压抑 很唯美            
(4星)	 调子我很喜欢，当年的少红婶啊，还像个人。            
(NA)	 老妈的话说就是放她坐那只动不开口也拿奖??            
(3星)	 不太好看。            
(4星)	 喜欢前半段，如梦的少年时光。            
(4星)	 没看结局            
(4星)	 李少红的电视剧基本要当作戏来看才行            
(4星)	 很压抑。            
(4星)	 很喜欢他们的戏服            
(4星)	 周迅的装扮，让人过目不忘~            
(5星)	 收获不到的果实。            
(4星)	 冲着那衣服都得支持 orz  我是华丽控。            
(4星)	 服装设计不错            
(4星)	 剧本很赞            
(4星)	 很诡异            
(3星)	 海报弄的跟好电影一样            
(5星)	 喜欢这种隐忍的表现方式,音乐也好听.            
(5星)	 都是喜欢的人 最喜欢周迅的时候             
(4星)	 周迅，范儿            
(4星)	 演员都是比较欣赏的，不过不知什么原因，这个剧充满了压抑感，如果欣赏的话叶锦添的构想在此剧中倒是值得一看            
(5星)	 好喜欢            
(5星)	 李少红的气氛。            
(4星)	 鬼气森森            
(4星)	 周迅在里面很漂亮～ 所有人都衣服也都很漂亮 ：）            
(4星)	 少红的都很有味道            
(4星)	 现在已经烂了。            
(4星)	 很赞 高手拼戏 我享受            
(4星)	 画面挺美            
(4星)	 黄磊             
(NA)	 是的，我看过，很小的时候.......            
(NA)	 叶锦添            
(4星)	 喜欢黄磊的气质~            
(3星)	 看过而已            
(3星)	 迅哥儿还是很ＬＯＬＩ嘛            
(3星)	 现在的周迅不比当年            
(4星)	 演员很赞。服装场景考究。            
(4星)	 那年寒假那个围追堵截。。。            
(NA)	 http://movie.douban.com/pics/sth.gif            
(NA)	 喜欢黄磊            
(4星)	 过。            
(NA)	 有必要整这么瞎苦逼嘛！看着就烦 你们就不会私奔啊            
(3星)	 备忘Mark。现在想起来，其实蛮不错的，那时候黄磊的文学音乐大碟《等等等等》刚出不久，小女子周迅亦还一再地兜旋于李少红的私想里。            
(3星)	 装神弄鬼是少红姐作品的特定气质            
(5星)	 我觉得好            
(3星)	 我只喜欢周迅            
(5星)	 喜欢的风格            
(3星)	 画面太好看了，以至于我可以忽略剧情            
(4星)	 周迅惊鸿            
(4星)	 压抑            
(NA)	 周迅周迅周迅  黃磊黃磊黃磊            
(5星)	 文艺            
(3星)	 服饰和色调很加分。看就看了个情调，故事本身没什么出彩的。            
(2星)	 拖沓得糟蹋了琦君原作，女声背景音乐那叫一个阴鸷……            
(3星)	 被一个人戴绿帽子不要紧，被两个女人戴绿帽子也不要紧，起码还剩一个女人陪着你            
(4星)	 那感觉很阴暗            
(3星)	 归亚蕾真是美啊　我直接忽略掉周迅            
(5星)	 当年看的时候哭死了            
(5星)	 感人深思            
(5星)	 美透了            
(5星)	 很喜欢。            
(3星)	 时间在这部片子里被导演拍慢了。            
(5星)	 经典~            
(3星)	 好像鬼片……            
(4星)	 初中            
(4星)	 还看了2遍剧本。想去剧中的地方旅游            
(3星)	 那么唯美的画面，那么考究的服装，那么悲哀的人生，那么意外的结果。为了留住老爷，找个替代品。却不料，另一段感情被扼杀了，掩饰是徒劳的，结果是悲伤的，命运是无常的，选择是被动的。            
(3星)	 看的憋死了            
(3星)	 恐怖的配乐            
