http://movie.douban.com/subject/2190918/	梅花三弄之梅花烙
(NA)	 福晋和兰公主都比女主角美多了，我的审美啊！            
(2星)	 马景涛真牛。            
(2星)	 一群神经病大喊大叫            
(5星)	 梅花一弄断人肠，梅花二弄费思量，梅花三弄风波起，云烟深处水茫茫。            
(4星)	 梅花三弄，久远的记忆。也是难得和母辈兴趣的交集之一。            
(5星)	 小学，记得里面的格格特别漂亮，马景涛却不喜欢她，一直很不理解。            
(3星)	 哈哈哈哈哈哈哈！我告诉你们，教主和吟霜xxoo是在第六集！我一找就找到了！！！            
(NA)	 我很讨厌马景涛。            
(3星)	 整天喊来喊去的，累不累呀            
(3星)	 小时候，第一次看这部片子的时候，对里面的陈德容惊为天人。他娘的也太美了吧？            
(5星)	 咆哮帝经典之作！            
(3星)	 最近湖南卫视在早上重播诶，还行吧，琼瑶的台词确实写的很好。            
(2星)	 这片子小时候看的，完全不知所云。。。现在感觉是：很黄，很暴力。            
(4星)	 太他妈煽情了            
(5星)	 小学时跟外婆、小姨一起看的，温馨！            
(4星)	 好吧，我也曾经喜欢琼瑶            
(4星)	 不错。            
(NA)	 第一部，白吟霜。            
(5星)	 那时我多纯洁啊。。            
(4星)	 金铭……            
(4星)	 那时候都很爱看穷摇的剧啊哈哈            
(4星)	 插曲记忆犹新            
(4星)	 给四星是因为当时陈德容小姐惊为天人。            
(5星)	 为了教主            
(5星)	 我跟你说就是好看啊！！！！！！            
(4星)	 话说 呢个时候 陈德容真好看啊 人咋能越长越跑偏呢？            
(4星)	 琼瑶啊            
(4星)	 琼瑶剧。。。 马惊涛狂喊王            
(3星)	 三部曲之一            
(3星)	 我记得那女的追囚车时，我也哭成泪人了。            
(3星)	 咆哮教开山代表作！            
(NA)	 白吟霜 太 美 了!            
(NA)	 最销魂还是梅花三弄啊~~~            
(4星)	 陈德容那时相当惊艳            
(3星)	 我对这部印象还深点，我记得那个纹身！            
(3星)	 久远回忆            
(4星)	 我想说这么大了回头看这剧我竟然还会哭！银霜当年太水灵，的确很像狐狸精。开头那白狐太黑了。。。            
(3星)	 吟霜！！！吟霜！！！！吟霜！！！！太特么记忆犹新了~小时候看喜欢陈德容，现在才发现原来丫在里面是个小三，讨厌死了            
(NA)	 最好看的一部。            
(4星)	 多经典啊~不用羞于自己看过吧~帅哥美女给力情节的经典之作啊~赞！！！            
(2星)	 时隔多年回顾，心中的善恶早已颠覆。好一出“情难自禁”惹来的愚蠢悲剧，扣掉一星向意淫大师琼瑶致敬。            
(4星)	 哈哈哈，10岁时候必看电视啊！最讨厌《水云间》，天天哭，哭死不是一了百了么            
(4星)	 妈妈准我看电视剧但是不准我看小说～～～～～～～～            
(4星)	 怎么能忘了《梅花三弄》~            
(4星)	 回不去的童年            
(3星)	 ！！！！！！！！！！！！！！！！！            
(NA)	 补遗               
(2星)	 其实并不喜欢，是芒果台天天播，室友又追着看，被迫看的电视剧之一。            
(4星)	 瓊瑤阿姨也是 毒！            
(NA)	 ……            
(4星)	 老子看的是TVB配音`各种好            
(NA)	 那个矫情~哎呀~            
(3星)	 苦情呀苦情。            
(3星)	 写毕业论文时的消遣，和室友一起当成喜剧来看，被马教主的咆哮功雷到死～            
(5星)	 小时候看过的。印象很深。            
(3星)	 除了那个烙啥也不记得  ==             
(4星)	 梅花一弄断人肠   梅花二弄费思量   梅花三弄风波起   云烟深处水茫茫。   吟霜：“生相从，死相随，午时钟响，魂魄与你相会，天上人间，必时相聚”。            
(4星)	 我看得最早最完全最深刻印象的琼瑶剧！集合了琼瑶剧所有最煽情元素，引逗得我这个小女孩多了许多白日梦的素材            
(5星)	 我也爱过琼瑶的~            
(4星)	 悲剧就是烙印，让人想起来就悲伤。很多事情前世已经注定，阴差阳错，姻缘轮回，两人心相许，唯有共赴黄泉路。不能同年同日生，但愿同年同日死，爱的天昏地暗，此生只有他，奈何，变故从来都是破坏者，阴阳两隔永悲伤。爱的太纯粹，变成一场悲剧的序幕，无法逆转。            
(4星)	 当年的陈德容那个美啊，现在残的唉            
(4星)	 你都不知道当时我有多么喜欢这部电视剧            
(3星)	 看它时，我好象还没入学。当年看到陈德容，迷迷糊糊开始有了“美女”这么个概念。            
(3星)	 当初完全看不懂。            
(NA)	 继续囧..            
(NA)	 红尘自有痴情者 莫笑痴情太痴狂 若非一番寒澈骨 那得梅花扑鼻香 问世间情为何物 只教人生死相许 看人间多少故事 最消魂梅花三弄            
(3星)	 从这部戏开始对马景涛有了深刻的印象 只是不太明白这个印象究竟算是正面的还是负面的            
(3星)	 呜呜哇哇的哭。            
(3星)	 我居然看过……            
(NA)	 陈德容 马景涛             
(4星)	 咆哮马力作之一，陈德容长的就是一狐狸，美人啊            
(3星)	 马式吼叫，记忆深刻            
